,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Roger
                
                  Tuivasa-Sheck",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,28.0,,21.0,149.0,53,,50,-,-,-,-,2,-,12,4.09s,-,-,-,,-,2,10,30.0,0.48,,75%,6.0,2,-,-,6,,2,46,-,-,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Warriors,13,2019-06-08T05:00:00Z,Warriors vs Storm,2019
1,,"David
                
                  Fusitu'a",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,13.0,,13.0,105.0,-,,34,-,-,-,-,-,-,9,3.33s,-,-,-,,-,-,2,14.0,0.15,,100%,2.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,13,2019-06-08T05:00:00Z,Warriors vs Storm,2019
2,,"Peta
                
                  Hiku",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,27.0,,12.0,89.0,-,,30,-,1,1,-,1,1,11,3.68s,-,-,-,,-,1,4,12.0,0.33,,77.8%,14.0,3,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,13,2019-06-08T05:00:00Z,Warriors vs Storm,2019
3,,"Gerard
                
                  Beale",18.0,Centre,,80:00,,-,-,-,-,-,-,-,,23.0,,9.0,95.0,-,,23,-,-,-,-,-,-,7,3.21s,3,30,-,,-,-,1,8.0,0.11,,95.7%,22.0,1,-,-,-,,-,-,-,-,-,-,-,-,,2,1,-,1,-,-,-,,80:00,-,Warriors,13,2019-06-08T05:00:00Z,Warriors vs Storm,2019
4,,"Ken
                
                  Maumalo",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,47.0,,22.0,181.0,10,,57,1,-,-,-,5,1,20,3.31s,1,7,-,,-,-,-,20.0,-,,75%,3.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,13,2019-06-08T05:00:00Z,Warriors vs Storm,2019
5,,"Kodi
                
                  Nikorima",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,21.0,,10.0,70.0,-,,-,-,-,-,-,1,-,-,-,1,4,-,,-,1,22,26.0,2.2,,69.6%,16.0,6,1,-,-,,1,15,-,-,-,-,1,-,,3,3,-,-,-,-,-,,80:00,-,Warriors,13,2019-06-08T05:00:00Z,Warriors vs Storm,2019
6,,"Blake
                
                  Green",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,40.0,,6.0,29.0,-,,3,-,-,1,-,-,-,2,4.2s,-,-,-,,-,4,35,44.0,5.83,,100%,22.0,-,-,-,-,,7,222,-,2,2,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,13,2019-06-08T05:00:00Z,Warriors vs Storm,2019
7,,"Agnatius
                
                  Paasi",8.0,Prop,,45:00,,-,-,-,-,-,-,-,,43.0,,13.0,103.0,10,,34,-,-,-,-,-,11,6,4.04s,-,-,-,,6,2,1,13.0,0.08,,87.1%,27.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,21:34,23:49,Warriors,13,2019-06-08T05:00:00Z,Warriors vs Storm,2019
8,,"Issac
                
                  Luke",9.0,Hooker,,61:00,,2,-,1,2,-,50%,-,,40.0,,6.0,47.0,-,,6,-,-,-,-,-,1,1,3.96s,5,38,-,,1,-,61,65.0,10.17,,87.5%,35.0,3,2,-,-,,2,100,-,-,-,-,-,-,,1,1,-,-,-,-,-,,49:21,11:09,Warriors,13,2019-06-08T05:00:00Z,Warriors vs Storm,2019
9,,"Leeson
                
                  Ah Mau",10.0,Prop,,48:00,,-,-,-,-,-,-,-,,50.0,,13.0,121.0,30,,50,-,-,-,-,3,11,12,3.91s,-,-,-,,1,-,-,13.0,-,,96.4%,27.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,26:10,21:52,Warriors,13,2019-06-08T05:00:00Z,Warriors vs Storm,2019
