,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Moses
                
                  Mbye",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,37.0,,14.0,75.0,6,,7.0,-,-,-,-,1,-,10.0,3.66s,1,11,-,,1,2,19,31.0,1.36,,100%,18.0,-,-,-,1,,2,28,-,1,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
1,,"David
                
                  Nofoaluma",18.0,Winger,,80:00,,-,-,-,-,-,-,-,,36.0,,21.0,147.0,10,,31.0,-,-,-,-,5,-,18.0,2.99s,4,21,-,,-,-,5,28.0,0.24,,100%,7.0,-,-,-,4,,-,-,-,-,-,-,-,-,,2,-,-,-,-,-,-,,80:00,-,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
2,,"Mahe
                
                  Fonua",21.0,Centre,,44:00,,-,-,-,-,-,-,-,,16.0,,11.0,112.0,8,,29.0,-,-,-,-,1,-,10.0,2.88s,-,-,-,,-,-,-,11.0,-,,100%,2.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,10:48,33:03,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
3,,"Esan
                
                  Marsters",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,33.0,,15.0,124.0,-,,41.0,-,-,-,-,5,-,14.0,3.34s,7,61,-,,-,-,5,17.0,0.33,,77.8%,14.0,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
4,,"Corey
                
                  Thompson",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,39.0,,17.0,131.0,42,,9.0,1,-,-,-,7,-,15.0,3.76s,-,-,-,,-,-,5,24.0,0.29,,60%,3.0,1,1,-,4,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
5,,"Benji
                
                  Marshall",6.0,Five-Eighth,,41:00,,-,-,-,-,-,-,-,,15.0,,1.0,11.0,-,,4.0,-,-,-,-,-,-,1.0,2.2s,1,11,-,,-,-,11,14.0,11,,100%,12.0,-,-,-,-,,2,57,-,-,1,-,-,1,,-,-,-,-,-,-,-,,40:01,-,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
6,,"Luke
                
                  Brooks",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,51.0,,17.0,93.0,-,,9.0,-,1,-,-,-,-,3.0,3.33s,-,-,-,,2,4,40,59.0,2.35,,85.7%,24.0,4,-,-,-,,13,447,-,2,3,-,-,1,,1,-,-,-,-,-,-,,80:00,-,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
7,,"Ben
                
                  Matulino",8.0,Prop,,39:00,,-,-,-,-,-,-,-,,33.0,,6.0,51.0,-,,9.0,-,-,-,-,-,6,6.0,3.65s,-,-,-,,-,-,2,8.0,0.33,,100%,30.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,19:29,20:08,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
8,,"Robbie
                
                  Farah",9.0,Hooker,,66:00,,-,-,-,-,-,-,-,,46.0,,5.0,31.0,-,,7.0,-,-,-,-,-,1,1.0,3.84s,3,22,-,,-,-,63,70.0,12.6,,93%,40.0,3,-,-,-,,6,196,1,-,1,-,-,-,,1,-,-,-,-,-,-,,47:55,17:56,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
9,,"Alex
                
                  Twal",10.0,Prop,,58:00,,-,-,-,-,-,-,-,,53.0,,8.0,62.0,10,,10.0,-,-,-,-,-,7,7.0,2.98s,-,-,-,,-,-,1,9.0,0.13,,98%,49.0,-,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,26:40,30:44,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
10,,"Ryan
                
                  Matterson",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,71.0,,12.0,112.0,-,,31.0,-,-,-,-,1,11,10.0,4.04s,-,-,-,,1,1,2,13.0,0.17,,98.3%,57.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
11,,"Michael
                
                  Chee-Kam",17.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,29.0,,12.0,100.0,-,,23.0,-,-,-,-,2,2,11.0,2.81s,-,-,-,,-,-,1,12.0,0.08,,95%,19.0,1,-,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
12,,"Matthew
                
                  Eisenhuth",13.0,Lock,,51:00,,-,-,-,-,-,-,-,,44.0,,10.0,58.0,-,,16.0,-,-,-,-,-,10,9.0,3.5s,-,-,-,,-,-,1,11.0,0.1,,95.7%,45.0,2,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,26:49,23:44,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
13,,"Jacob
                
                  Liddle",14.0,Interchange,,32:00,,-,-,-,-,-,-,-,,17.0,,3.0,17.0,-,,2.0,-,-,-,-,-,-,1.0,1.72s,2,17,-,,-,3,44,45.0,14.67,,91.3%,21.0,2,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,32:00,-,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
14,,"Thomas
                
                  Mikaele",15.0,Interchange,,39:00,,-,-,-,-,-,-,-,,44.0,,9.0,89.0,17,,33.0,-,-,-,-,1,8,6.0,4.15s,-,-,-,,3,-,-,9.0,-,,93.9%,31.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,29:36,09:15,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
15,,"Josh
                
                  Aloiai",16.0,Interchange,,43:00,,-,-,-,-,-,-,-,,53.0,,10.0,99.0,-,,27.0,-,-,-,-,3,10,10.0,3.69s,-,-,-,,-,-,1,11.0,0.1,,97.5%,39.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,42:35,-,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
16,,"Chris
                
                  Lawrence",20.0,Interchange,,69:00,,-,-,-,-,-,-,-,,26.0,,7.0,61.0,-,,21.0,-,-,-,-,-,7,6.0,3.23s,-,-,-,,-,-,2,11.0,0.29,,92.9%,26.0,1,1,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,69:12,-,Wests,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
0,,"Charnze
                
                  Nicoll-Klokstad",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,22.0,,18.0,165.0,81,,38.0,-,-,1,-,-,-,17.0,4.07s,5,44,-,,-,2,11,29.0,0.61,,75%,3.0,1,-,-,2,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Raiders,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
1,,"Bailey
                
                  Simonsson",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,43.0,,23.0,195.0,10,,56.0,-,-,-,-,1,1,22.0,4.02s,3,23,-,,-,-,1,24.0,0.04,,90.9%,10.0,1,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Raiders,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
2,,"Jarrod
                
                  Croker",3.0,Centre,,80:00,,12,1,4,5,-,80%,-,,50.0,,9.0,118.0,-,,31.0,1,-,-,-,4,-,7.0,3.55s,1,16,-,,-,1,5,13.0,0.56,,80%,8.0,1,1,-,1,,2,40,1,-,2,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Raiders,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
3,,"Nick
                
                  Cotric",4.0,Centre,,70:00,,-,-,-,-,-,-,-,,25.0,,8.0,59.0,-,,5.0,-,1,1,-,1,-,6.0,3.81s,-,-,-,,-,-,2,10.0,0.25,,85.7%,12.0,1,1,-,-,,2,43,-,-,1,-,-,-,,1,1,-,-,-,-,-,,69:53,-,Raiders,13,2019-06-07T09:55:00Z,Wests Tigers vs Raiders,2019
