,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Eels vs Broncos,2019
1,Penalty - Offside Downtown,Jaydn Su'A,,,,Broncos,78:41,Eels vs Broncos,2019
2,Kick Bomb,Anthony Milford,,,,Broncos,78:38,Eels vs Broncos,2019
3,Penalty - 2nd Effort,Nathan Brown,,,,Eels,77:18,Eels vs Broncos,2019
4,Error,Gehamat Shibasaki,,,,Broncos,75:14,Eels vs Broncos,2019
5,Linebreak,Gehamat Shibasaki,,,,Broncos,75:10,Eels vs Broncos,2019
6,Error,Blake Ferguson,,,,Eels,74:29,Eels vs Broncos,2019
7,Interchange #8,,                   Reed Mahoney,                   Marata Niukore,,Eels,72:45,Eels vs Broncos,2019
8,Interchange #8,,                   Tevita Pangai Junior,                   Thomas Flegler,,Broncos,72:42,Eels vs Broncos,2019
9,Conversion-Made,Mitchell Moses,,,38-10,Eels,72:41,Eels vs Broncos,2019
10,Video Referee,Try,,,,Eels,71:50,Eels vs Broncos,2019
11,Try,Reed Mahoney,,,36-10,Eels,71:40,Eels vs Broncos,2019
12,Linebreak,Jaeman Salmon,,,,Eels,71:36,Eels vs Broncos,2019
13,Interchange #7,,                   Junior Paulo,                   Kane Evans,,Eels,71:12,Eels vs Broncos,2019
14,Error,Anthony Milford,,,,Broncos,70:23,Eels vs Broncos,2019
15,Error,Darius Boyd,,,,Broncos,68:29,Eels vs Broncos,2019
16,Linebreak,Gehamat Shibasaki,,,,Broncos,68:17,Eels vs Broncos,2019
17,Interchange #7,,                   David Fifita,                   Payne Haas,,Broncos,67:22,Eels vs Broncos,2019
18,Conversion-Made,Jamayne Isaako,,,32-10,Broncos,67:18,Eels vs Broncos,2019
19,Try,Corey Oates,,,32-8,Broncos,66:11,Eels vs Broncos,2019
20,Linebreak,Corey Oates,,,,Broncos,66:09,Eels vs Broncos,2019
21,Line Dropout,Mitchell Moses,,,,Eels,65:28,Eels vs Broncos,2019
22,Error,Nathan Brown,,,,Eels,63:32,Eels vs Broncos,2019
23,Line Dropout,Jamayne Isaako,,,,Broncos,63:28,Eels vs Broncos,2019
24,Interchange #6,,                   Payne Haas,                   Jaydn Su'A,,Broncos,60:29,Eels vs Broncos,2019
25,Error,Maika Sivo,,,,Eels,60:00,Eels vs Broncos,2019
26,Error,Sean O'Sullivan,,,,Broncos,59:13,Eels vs Broncos,2019
