,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Tom
                
                  Trbojevic",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,100.0,,28.0,341.0,74,,65,2,1,1,-,9,2,19,3.54s,5,65,-,,4,-,22,48.0,0.79,,75%,3.0,1,-,-,5,,1,-,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,14,2019-06-16T04:00:00Z,Sea Eagles vs Dragons,2019
1,,"Jorge
                
                  Taufua",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,33.0,,14.0,140.0,31,,31,-,-,-,-,5,2,13,3.86s,-,-,-,,1,-,5,19.0,0.36,,66.7%,6.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,14,2019-06-16T04:00:00Z,Sea Eagles vs Dragons,2019
2,,"Dylan
                
                  Walker",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,30.0,,12.0,135.0,3,,27,1,1,1,-,-,1,11,3.52s,-,-,-,,-,1,13,25.0,1.08,,62.5%,10.0,5,1,-,-,,1,17,-,-,1,-,-,1,,1,-,-,-,-,-,-,,80:00,-,Sea,14,2019-06-16T04:00:00Z,Sea Eagles vs Dragons,2019
3,,"Moses
                
                  Suli",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,32.0,,10.0,115.0,-,,37,-,1,-,-,3,-,8,2.79s,1,12,-,,-,-,5,12.0,0.5,,85.7%,12.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,14,2019-06-16T04:00:00Z,Sea Eagles vs Dragons,2019
4,,"Reuben
                
                  Garrick",5.0,Winger,,80:00,,14,1,5,6,-,83.33%,-,,50.0,,14.0,146.0,47,,24,1,-,-,-,3,1,12,3.05s,-,-,-,,-,-,7,21.0,0.5,,88.9%,8.0,1,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sea,14,2019-06-16T04:00:00Z,Sea Eagles vs Dragons,2019
5,,"Cade
                
                  Cust",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,49.0,,12.0,83.0,-,,29,1,-,1,-,3,-,9,3.5s,-,-,-,,-,1,21,36.0,1.75,,79.2%,19.0,3,2,-,-,,5,91,-,2,2,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Sea,14,2019-06-16T04:00:00Z,Sea Eagles vs Dragons,2019
6,,"Daly
                
                  Cherry-Evans",7.0,Halfback,,70:00,,-,-,-,-,-,-,-,,36.0,,5.0,24.0,-,,-,-,1,1,-,-,-,-,-,-,-,-,,-,1,32,48.0,6.4,,93.3%,14.0,-,1,-,-,,15,346,-,3,7,-,-,-,,1,1,-,2,-,-,-,,69:38,-,Sea,14,2019-06-16T04:00:00Z,Sea Eagles vs Dragons,2019
7,,"Addin
                
                  Fonua-Blake",8.0,Prop,,57:00,,-,-,-,-,-,-,-,,53.0,,13.0,159.0,28,,53,-,-,-,-,5,11,10,3.07s,-,-,-,,2,-,3,16.0,0.23,,100%,21.0,-,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,32:04,25:16,Sea,14,2019-06-16T04:00:00Z,Sea Eagles vs Dragons,2019
8,,"Apisai
                
                  Koroisau",9.0,Hooker,,23:00,,-,-,-,-,-,-,-,,16.0,,2.0,24.0,-,,6,-,-,-,-,-,-,1,3.48s,2,24,-,,-,-,18,20.0,9,,90%,18.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:22,-,Sea,14,2019-06-16T04:00:00Z,Sea Eagles vs Dragons,2019
9,,"Martin
                
                  Taupau",10.0,Prop,,59:00,,-,-,-,-,-,-,-,,72.0,,17.0,162.0,31,,43,-,-,-,-,7,15,12,2.66s,-,-,-,,4,-,3,20.0,0.18,,94.3%,33.0,1,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,28:07,30:55,Sea,14,2019-06-16T04:00:00Z,Sea Eagles vs Dragons,2019
