,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Alexander
                
                  Brimson",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,51.0,,13.0,158.0,70,,35.0,1,-,-,-,6,-,12.0,3.92s,-,-,-,,-,-,14,30.0,1.08,,66.7%,4.0,1,1,-,3,,2,31,-,1,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
1,,"Anthony
                
                  Don",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,12.0,,10.0,105.0,38,,24.0,-,-,-,-,1,-,9.0,3.27s,-,-,-,,-,1,10,22.0,1,,66.7%,4.0,1,1,-,2,,1,25,-,-,-,-,-,-,,3,3,-,-,-,-,-,,80:00,-,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
2,,"Jesse
                
                  Arthars",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,35.0,,13.0,134.0,-,,46.0,-,-,-,-,2,1,10.0,3.07s,-,-,-,,1,-,6,18.0,0.46,,90%,18.0,1,1,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
3,,"Brian
                
                  Kelly",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,45.0,,12.0,146.0,-,,47.0,1,-,-,-,4,-,10.0,3.42s,3,35,-,,1,1,4,17.0,0.33,,84.6%,11.0,1,1,-,-,,1,7,-,-,1,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
4,,"Dale
                
                  Copley",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,16.0,,17.0,146.0,33,,45.0,-,-,-,-,-,-,15.0,2.92s,-,-,-,,-,-,3,21.0,0.18,,100%,2.0,-,-,-,2,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
5,,"Tyrone
                
                  Roberts",6.0,Five-Eighth,,80:00,,8,-,3,3,1,100%,-,,54.0,,8.0,54.0,-,,3.0,-,1,1,-,4,-,2.0,1.86s,-,-,-,,-,2,34,49.0,4.25,,61.5%,8.0,3,2,-,-,,14,335,2,4,5,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
6,,"Ryley
                
                  Jacks",7.0,Halfback,,80:00,,4,1,-,-,-,-,-,,41.0,,9.0,40.0,1,,1.0,1,-,-,-,2,-,2.0,4.6s,-,-,-,,-,-,27,34.0,3,,85.2%,23.0,3,1,-,-,,3,89,-,3,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
7,,"Jarrod
                
                  Wallace",8.0,Prop,,73:00,,-,-,-,-,-,-,-,,53.0,,21.0,181.0,36,,69.0,-,1,1,-,-,17,18.0,3.64s,-,-,-,,1,2,5,26.0,0.24,,96.6%,28.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,68:52,03:47,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
8,,"Nathan
                
                  Peats",9.0,Hooker,,49:00,,-,-,-,-,-,-,-,,34.0,,6.0,51.0,-,,17.0,-,-,-,-,-,4,5.0,3.63s,1,10,-,,-,-,33,37.0,5.5,,89.7%,26.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:29,21:31,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
9,,"Moeaki
                
                  Fotuaika",10.0,Prop,,80:00,,-,-,-,-,-,-,-,,51.0,,16.0,141.0,-,,63.0,-,-,-,-,2,15,12.0,3.16s,-,-,-,,1,-,1,17.0,0.06,,84.8%,39.0,5,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
10,,"Bryce
                
                  Cartwright",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,61.0,,16.0,136.0,2,,39.0,-,1,1,-,1,8,7.0,2.93s,1,5,-,,2,2,12,23.0,0.75,,90.9%,40.0,2,2,-,-,,2,8,-,-,2,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
11,,"Tyrone
                
                  Peachey",12.0,2nd Row,,12:00,,-,-,-,-,-,-,-,,2.0,,1.0,10.0,-,,2.0,-,-,-,-,-,1,1.0,3.28s,-,-,-,,-,-,1,2.0,1,,100%,3.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,12:11,-,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
12,,"Jai
                
                  Arrow",13.0,Lock,,28:00,,-,-,-,-,-,-,-,,30.0,,8.0,85.0,-,,34.0,-,-,-,-,1,8,6.0,3.29s,-,-,-,,1,1,3,11.0,0.38,,95%,19.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:47,-,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
13,,"Mitch
                
                  Rein",14.0,Interchange,,53:00,,-,-,-,-,-,-,-,,33.0,,4.0,30.0,-,,11.0,-,-,-,-,-,-,2.0,2.66s,4,30,-,,-,1,75,77.0,18.75,,94.7%,36.0,1,1,-,-,,1,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,53:00,-,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
14,,"Shannon
                
                  Boyd",15.0,Interchange,,47:00,,-,-,-,-,-,-,-,,42.0,,13.0,122.0,13,,50.0,-,-,-,-,1,12,13.0,3.13s,-,-,1,,-,-,-,14.0,-,,89.2%,33.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,36:11,11:08,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
15,,"Jai
                
                  Whitbread",16.0,Interchange,,30:00,,-,-,-,-,-,-,-,,29.0,,9.0,74.0,-,,34.0,-,-,-,-,1,9,9.0,2.95s,-,-,-,,-,-,-,9.0,-,,92.6%,25.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,30:42,-,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
16,,"Jack
                
                  Stockwell",17.0,Interchange,,28:00,,-,-,-,-,-,-,-,,12.0,,7.0,54.0,-,,23.0,-,-,-,-,-,7,6.0,2.91s,-,-,-,,-,-,-,7.0,-,,75%,15.0,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:51,-,Titans,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
0,,"Roger
                
                  Tuivasa-Sheck",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,70.0,,22.0,222.0,31,,71.0,-,1,1,-,6,-,18.0,4.17s,2,29,-,,2,3,12,35.0,0.55,,87.5%,7.0,1,-,-,8,,1,3,-,-,1,-,-,-,,-,1,-,1,-,-,-,,80:00,-,Warriors,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
1,,"David
                
                  Fusitu'a",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,16.0,,16.0,124.0,17,,47.0,-,-,-,-,2,1,14.0,3.46s,-,-,-,,-,-,3,20.0,0.19,,66.7%,2.0,1,-,-,2,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Warriors,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
2,,"Peta
                
                  Hiku",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,46.0,,14.0,103.0,6,,36.0,-,2,1,-,2,-,9.0,3.81s,1,8,-,,2,-,5,17.0,0.36,,87%,20.0,2,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,14,2019-06-14T08:00:00Z,Titans vs Warriors,2019
