,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,90:00,Broncos vs Warriors,2019
1,Drop Goal-Missed,Anthony Milford,,,,Broncos,89:40,Broncos vs Warriors,2019
2,Drop Goal-Missed,Kodi Nikorima,,,,Warriors,88:47,Broncos vs Warriors,2019
3,Error,Darius Boyd,,,,Broncos,87:51,Broncos vs Warriors,2019
4,Linebreak,Darius Boyd,,,,Broncos,87:49,Broncos vs Warriors,2019
5,Interchange #10,,                   Payne Haas,                   Thomas Flegler,,Broncos,87:17,Broncos vs Warriors,2019
6,Linebreak,Roger Tuivasa-Sheck,,,,Warriors,86:48,Broncos vs Warriors,2019
7,Error,Peta Hiku,,,,Warriors,84:59,Broncos vs Warriors,2019
8,Interchange #10,,                   Leeson Ah Mau,                   Bunty Afoa,,Warriors,84:36,Broncos vs Warriors,2019
9,Drop Goal-Missed,Anthony Milford,,,,Broncos,84:07,Broncos vs Warriors,2019
10,Drop Goal-Missed,Kodi Nikorima,,,,Warriors,83:09,Broncos vs Warriors,2019
11,Drop Goal-Missed,James Segeyaro,,,,Broncos,81:53,Broncos vs Warriors,2019
12,Interchange #9,,                   Tevita Pangai Junior,                   Joe Ofahengaue,,Broncos,81:19,Broncos vs Warriors,2019
13,Drop Goal-Missed,Kodi Nikorima,,,,Warriors,81:01,Broncos vs Warriors,2019
14,Interchange #9,,                   Lachlan Burr,                   Agnatius Paasi,,Warriors,80:01,Broncos vs Warriors,2019
15,Error,Payne Haas,,,,Broncos,79:31,Broncos vs Warriors,2019
16,Error,Jazz Tevaga,,,,Warriors,78:40,Broncos vs Warriors,2019
17,Penalty - Dangerous Tackle,Tevita Pangai Junior,,,,Broncos,77:30,Broncos vs Warriors,2019
18,Penalty Shot-Made,Issac Luke,,,18-18,Warriors,76:20,Broncos vs Warriors,2019
19,Penalty - Ball Strip,Tevita Pangai Junior,,,,Broncos,75:08,Broncos vs Warriors,2019
20,Error,Herbie Farnworth,,,,Broncos,74:50,Broncos vs Warriors,2019
21,Error,Isaiah Papali'i,,,,Warriors,74:21,Broncos vs Warriors,2019
22,Kick Bomb,Anthony Milford,,,,Broncos,71:20,Broncos vs Warriors,2019
23,Interchange #8,,                   Thomas Flegler,                   Matthew Lodge,,Broncos,70:41,Broncos vs Warriors,2019
24,Kick Bomb,Blake Green,,,,Warriors,70:28,Broncos vs Warriors,2019
25,Kick Bomb,Jake Turpin,,,,Broncos,69:40,Broncos vs Warriors,2019
26,Interchange #8,,                   Agnatius Paasi,                   Leeson Ah Mau,,Warriors,67:37,Broncos vs Warriors,2019
27,Kick Bomb,Anthony Milford,,,,Broncos,67:24,Broncos vs Warriors,2019
28,Conversion-Made,Kotoni Staggs,,,18-16,Broncos,66:28,Broncos vs Warriors,2019
29,Try,David Fifita,,,16-16,Broncos,64:57,Broncos vs Warriors,2019
30,Linebreak,David Fifita,,,,Broncos,64:55,Broncos vs Warriors,2019
31,Interchange #7,,                   Sam Lisone,                   Lachlan Burr,,Warriors,63:27,Broncos vs Warriors,2019
32,Kick Bomb,Chanel Harris-Tavita,,,,Warriors,62:25,Broncos vs Warriors,2019
33,Error,Jake Turpin,,,,Broncos,60:47,Broncos vs Warriors,2019
34,Error,Blake Green,,,,Warriors,59:41,Broncos vs Warriors,2019
35,Interchange #7,,                   Matthew Lodge,                   Thomas Flegler,,Broncos,59:06,Broncos vs Warriors,2019
36,Kick Bomb,Anthony Milford,,,,Broncos,59:00,Broncos vs Warriors,2019
