,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Joseph
                
                  Manu",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,32.0,,21.0,215.0,68,,62,-,-,-,-,6,-,18.0,3.53s,1,10,-,,1,4,4,28.0,0.19,,25%,1.0,3,-,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Roosters,17,2019-07-14T04:00:00Z,Roosters vs Cowboys,2019
1,,"Daniel
                
                  Tupou",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,22.0,,18.0,179.0,19,,80,-,-,-,-,2,1,18.0,2.69s,1,7,-,,-,-,-,19.0,-,,50%,3.0,2,1,-,2,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Roosters,17,2019-07-14T04:00:00Z,Roosters vs Cowboys,2019
2,,"Latrell
                
                  Mitchell",3.0,Centre,,80:00,,4,-,2,2,-,100%,-,,42.0,,8.0,81.0,-,,19,-,3,-,-,8,-,3.0,3.6s,-,-,-,,1,-,7,14.0,0.88,,88.9%,8.0,1,-,-,-,,-,-,-,-,-,-,-,-,,3,3,-,1,-,-,-,,80:00,-,Roosters,17,2019-07-14T04:00:00Z,Roosters vs Cowboys,2019
3,,"Brett
                
                  Morris",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,49.0,,6.0,43.0,1,,13,1,-,-,-,4,-,3.0,2.51s,2,18,-,,1,-,1,9.0,0.17,,91.3%,21.0,1,1,-,2,,1,9,-,-,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Roosters,17,2019-07-14T04:00:00Z,Roosters vs Cowboys,2019
4,,"Ryan
                
                  Hall",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,40.0,,20.0,189.0,18,,61,-,-,-,-,5,3,18.0,2.7s,-,-,-,,-,-,5,24.0,0.25,,83.3%,5.0,-,1,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,17,2019-07-14T04:00:00Z,Roosters vs Cowboys,2019
5,,"Luke
                
                  Keary",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,36.0,,11.0,85.0,-,,12,1,-,-,-,1,-,6.0,3.38s,1,8,-,,-,7,41,54.0,3.73,,87.5%,21.0,3,-,-,-,,6,172,-,1,-,-,-,1,,1,1,-,-,-,-,-,,80:00,-,Roosters,17,2019-07-14T04:00:00Z,Roosters vs Cowboys,2019
6,,"Cooper
                
                  Cronk",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,36.0,,6.0,31.0,-,,5,-,-,-,-,-,-,2.0,2.88s,-,-,-,,-,5,39,52.0,6.5,,93.1%,27.0,1,1,-,1,,8,223,1,5,1,-,-,-,,1,1,-,2,-,-,-,,80:00,-,Roosters,17,2019-07-14T04:00:00Z,Roosters vs Cowboys,2019
7,,"Jared
                
                  Waerea-Hargreaves",8.0,Prop,,48:00,,-,-,-,-,-,-,-,,52.0,,15.0,139.0,27,,41,-,-,-,-,1,13,13.0,3.4s,-,-,-,,1,-,1,17.0,0.07,,92.9%,39.0,3,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,1,-,-,,28:34,18:53,Roosters,17,2019-07-14T04:00:00Z,Roosters vs Cowboys,2019
8,,"Victor
                
                  Radley",13.0,Hooker,,72:00,,-,-,-,-,-,-,-,,39.0,,8.0,64.0,-,,19,-,1,-,-,-,6,5.0,2.78s,-,-,-,,-,1,45,48.0,5.63,,84.1%,53.0,8,2,-,-,,-,-,-,-,-,-,-,-,,1,1,-,2,-,-,-,,69:41,02:48,Roosters,17,2019-07-14T04:00:00Z,Roosters vs Cowboys,2019
9,,"Siosiua
                
                  Taukeiaho",10.0,Prop,,34:00,,-,-,-,-,-,-,-,,30.0,,7.0,81.0,-,,31,-,-,-,-,-,7,7.0,3.34s,-,-,-,,-,1,-,7.0,-,,88%,22.0,-,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,21:24,12:32,Roosters,17,2019-07-14T04:00:00Z,Roosters vs Cowboys,2019
10,,"Nat
                
                  Butcher",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,56.0,,15.0,122.0,4,,37,1,-,-,-,1,14,13.0,2.62s,-,-,-,,-,-,1,16.0,0.07,,97.5%,39.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,17,2019-07-14T04:00:00Z,Roosters vs Cowboys,2019
