,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Storm vs Sharks,2019
1,Conversion-Made,Cameron Smith,,,40-16,Storm,79:10,Storm vs Sharks,2019
2,Video Referee,Try,,,,Storm,78:05,Storm vs Sharks,2019
3,Try,Brandon Smith,,,38-16,Storm,77:50,Storm vs Sharks,2019
4,Linebreak,Brandon Smith,,,,Storm,77:49,Storm vs Sharks,2019
5,Interchange #6,,                   Jack Williams,                   Aaron Woods,,Sharks,76:18,Storm vs Sharks,2019
6,Penalty - Dangerous Tackle,Chad Townsend,,,,Sharks,76:12,Storm vs Sharks,2019
7,Conversion-Missed,Cameron Smith,,,,Storm,73:31,Storm vs Sharks,2019
8,Interchange #8,,                   Jesse Bromwich,                   Christian Welch,,Storm,73:16,Storm vs Sharks,2019
9,Interchange #7,,                   Jahrome Hughes,                   Brandon Smith,,Storm,73:05,Storm vs Sharks,2019
10,Try,Joe Stimson,,,34-16,Storm,72:01,Storm vs Sharks,2019
11,Linebreak,Joe Stimson,,,,Storm,72:00,Storm vs Sharks,2019
12,On Report,Chad Townsend,,,,Sharks,71:29,Storm vs Sharks,2019
13,Penalties - Other,Chad Townsend,,,,Sharks,71:17,Storm vs Sharks,2019
14,Error,Matt Prior,,,,Sharks,70:41,Storm vs Sharks,2019
15,Error,Jesse Bromwich,,,,Storm,70:02,Storm vs Sharks,2019
16,Error,Bronson Xerri,,,,Sharks,68:57,Storm vs Sharks,2019
17,Interchange #6,,                   Nelson Asofa-Solomona,                   Ryan Papenhuyzen,,Storm,67:13,Storm vs Sharks,2019
18,Interchange #5,,                   Jayden Brailey,                   Blayke Brailey,,Sharks,64:35,Storm vs Sharks,2019
19,Conversion-Made,Cameron Smith,,,30-16,Storm,64:29,Storm vs Sharks,2019
20,Interchange #4,,                   Josh Morris,                   Matt Prior,,Sharks,63:38,Storm vs Sharks,2019
21,Interchange #5,,                   Brandon Smith,                   Joe Stimson,,Storm,63:38,Storm vs Sharks,2019
22,Try,Justin Olam,,,28-16,Storm,62:51,Storm vs Sharks,2019
23,Kick Bomb,Cameron Munster,,,,Storm,61:07,Storm vs Sharks,2019
24,Interchange - Free,,                   Aaron Woods,                   Andrew Fifita,,Sharks,60:13,Storm vs Sharks,2019
25,Conversion-Made,Cameron Smith,,,24-16,Storm,60:09,Storm vs Sharks,2019
26,Try,Brodie Croft,,,22-16,Storm,58:39,Storm vs Sharks,2019
27,Linebreak,Brodie Croft,,,,Storm,58:38,Storm vs Sharks,2019
28,Error,Briton Nikora,,,,Sharks,57:46,Storm vs Sharks,2019
29,Penalty - Early Tackle,Briton Nikora,,,,Sharks,57:02,Storm vs Sharks,2019
30,Interchange #4,,                   Christian Welch,                   Jesse Bromwich,,Storm,56:42,Storm vs Sharks,2019
31,Error,Briton Nikora,,,,Sharks,55:28,Storm vs Sharks,2019
32,Penalty - Ball Strip,Felise Kaufusi,,,,Storm,54:34,Storm vs Sharks,2019
33,Kick Bomb,Shaun Johnson,,,,Sharks,53:31,Storm vs Sharks,2019
34,Conversion-Made,Shaun Johnson,,,18-16,Sharks,52:31,Storm vs Sharks,2019
35,Try,Shaun Johnson,,,18-14,Sharks,51:00,Storm vs Sharks,2019
36,Linebreak,Shaun Johnson,,,,Sharks,51:00,Storm vs Sharks,2019
37,Line Dropout,Cameron Smith,,,,Storm,50:33,Storm vs Sharks,2019
38,Error,Jahrome Hughes,,,,Storm,49:44,Storm vs Sharks,2019
39,Interchange #3,,                   Dale Finucane,                   Nelson Asofa-Solomona,,Storm,48:58,Storm vs Sharks,2019
40,Conversion-Made,Shaun Johnson,,,18-10,Sharks,48:55,Storm vs Sharks,2019
41,Try,Kurt Capewell,,,18-8,Sharks,47:25,Storm vs Sharks,2019
42,Linebreak,Kurt Capewell,,,,Sharks,47:25,Storm vs Sharks,2019
43,Error,Brandon Smith,,,,Storm,46:25,Storm vs Sharks,2019
44,Error,Kurt Capewell,,,,Sharks,44:57,Storm vs Sharks,2019
45,Penalty - Hand in the Ruck,Kenneath Bromwich,,,,Storm,44:09,Storm vs Sharks,2019
46,Error,Aaron Woods,,,,Sharks,42:24,Storm vs Sharks,2019
47,Kick Bomb,Chad Townsend,,,,Sharks,40:57,Storm vs Sharks,2019
48,Error,Brodie Croft,,,,Storm,40:00,Storm vs Sharks,2019
49,Error,Sosaia Feki,,,,Sharks,38:55,Storm vs Sharks,2019
50,Interchange - Free,,                   Andrew Fifita,                   Aaron Woods,,Sharks,37:50,Storm vs Sharks,2019
51,On Report,Christian Welch,,,,Storm,37:45,Storm vs Sharks,2019
52,Penalty - Late Tackle,Christian Welch,,,,Storm,37:36,Storm vs Sharks,2019
53,Error,Josh Addo-Carr,,,,Storm,36:52,Storm vs Sharks,2019
54,Linebreak,Justin Olam,,,,Storm,36:49,Storm vs Sharks,2019
55,Conversion-Made,Cameron Smith,,,18-4,Storm,36:04,Storm vs Sharks,2019
56,Try,Brandon Smith,,,16-4,Storm,34:32,Storm vs Sharks,2019
57,Linebreak,Brandon Smith,,,,Storm,34:32,Storm vs Sharks,2019
58,Line Dropout,Shaun Johnson,,,,Sharks,33:49,Storm vs Sharks,2019
59,Error,Josh Morris,,,,Sharks,32:22,Storm vs Sharks,2019
60,Interchange #2,,                   Jesse Bromwich,                   Brandon Smith,,Storm,30:47,Storm vs Sharks,2019
61,Error,Cameron Smith,,,,Storm,28:55,Storm vs Sharks,2019
62,Error,Jayson Bukuya,,,,Sharks,27:41,Storm vs Sharks,2019
