,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Corey
                
                  Thompson",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,43.0,,14.0,110.0,66,,22.0,1,-,-,-,7,-,10.0,3.78s,2,23,-,,-,-,6,19.0,0.43,,100%,4.0,-,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,2,-,-,-,,80:00,-,Wests,17,2019-07-14T06:05:00Z,Wests Tigers vs Eels,2019
1,,"Robert
                
                  Jennings",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,27.0,,18.0,138.0,73,,35.0,1,-,-,-,3,-,15.0,3.78s,-,-,-,,-,-,3,22.0,0.17,,50%,4.0,2,2,-,3,,-,-,-,-,-,-,-,-,,3,2,-,2,-,-,-,,80:00,-,Wests,17,2019-07-14T06:05:00Z,Wests Tigers vs Eels,2019
2,,"Moses
                
                  Mbye",3.0,Centre,,80:00,,2,-,1,2,-,50%,-,,43.0,,13.0,114.0,-,,33.0,-,1,1,-,5,-,10.0,3.89s,1,9,-,,1,1,5,18.0,0.38,,90.9%,10.0,1,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Wests,17,2019-07-14T06:05:00Z,Wests Tigers vs Eels,2019
3,,"Esan
                
                  Marsters",4.0,Centre,,80:00,,-,-,-,2,-,-,-,,39.0,,8.0,77.0,-,,25.0,-,1,1,-,5,-,4.0,2.98s,3,29,-,,2,2,9,12.0,1.13,,88.9%,8.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,17,2019-07-14T06:05:00Z,Wests Tigers vs Eels,2019
4,,"David
                
                  Nofoaluma",5.0,Winger,,80:00,,8,2,-,-,-,-,-,,73.0,,18.0,147.0,9,,32.0,2,-,-,-,9,-,11.0,3.09s,2,19,-,,3,-,4,25.0,0.22,,75%,6.0,2,-,-,1,,1,29,-,-,-,-,1,-,,1,1,-,-,-,-,-,,80:00,-,Wests,17,2019-07-14T06:05:00Z,Wests Tigers vs Eels,2019
5,,"Benji
                
                  Marshall",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,40.0,,10.0,79.0,-,,14.0,-,1,1,-,1,-,2.0,2.84s,-,-,-,,2,5,37,46.0,3.7,,90.9%,20.0,1,1,-,-,,3,100,-,1,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Wests,17,2019-07-14T06:05:00Z,Wests Tigers vs Eels,2019
6,,"Luke
                
                  Brooks",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,21.0,,11.0,73.0,-,,7.0,-,1,1,-,-,-,4.0,3.09s,-,-,-,,-,4,34,50.0,3.09,,66.7%,10.0,4,1,-,-,,10,269,-,8,-,-,-,-,,2,1,-,2,-,-,-,,80:00,-,Wests,17,2019-07-14T06:05:00Z,Wests Tigers vs Eels,2019
7,,"Josh
                
                  Aloiai",8.0,Prop,,31:00,,-,-,-,-,-,-,-,,16.0,,9.0,75.0,17,,20.0,-,-,-,-,-,7,9.0,4.1s,-,-,-,,-,-,1,10.0,0.11,,81%,17.0,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,22:18,08:56,Wests,17,2019-07-14T06:05:00Z,Wests Tigers vs Eels,2019
8,,"Robbie
                
                  Farah",9.0,Hooker,,57:00,,-,-,-,-,-,-,-,,37.0,,7.0,84.0,-,,27.0,-,-,-,-,3,2,5.0,3.98s,5,70,-,,-,-,59,67.0,8.43,,100%,19.0,-,-,-,-,,2,60,1,-,1,-,-,-,,2,2,-,-,-,-,-,,51:25,05:20,Wests,17,2019-07-14T06:05:00Z,Wests Tigers vs Eels,2019
9,,"Alex
                
                  Twal",10.0,Prop,,57:00,,-,-,-,-,-,-,-,,52.0,,6.0,44.0,-,,14.0,-,-,-,-,-,5,5.0,2.65s,-,-,-,,-,-,2,7.0,0.33,,100%,48.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,57:03,-,Wests,17,2019-07-14T06:05:00Z,Wests Tigers vs Eels,2019
