,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Bulldogs vs Roosters,2019
1,Penalty - Lying in the Ruck,Sitili Tupouniua,,,,Roosters,78:28,Bulldogs vs Roosters,2019
2,On Report,Jared Waerea-Hargreaves,,,,Roosters,77:11,Bulldogs vs Roosters,2019
3,Penalty - Late Tackle,Jared Waerea-Hargreaves,,,,Roosters,76:46,Bulldogs vs Roosters,2019
4,Conversion-Made,Nick Meaney,,,12-20,Bulldogs,75:50,Bulldogs vs Roosters,2019
5,Try,Reimis Smith,,,10-20,Bulldogs,75:06,Bulldogs vs Roosters,2019
6,Line Dropout,Latrell Mitchell,,,,Roosters,73:46,Bulldogs vs Roosters,2019
7,Penalty - Offside inside 10m,Latrell Mitchell,,,,Roosters,72:02,Bulldogs vs Roosters,2019
8,Penalty - Offside inside 10m,Mitchell Aubusson,,,,Roosters,71:32,Bulldogs vs Roosters,2019
9,Linebreak,Jeremy Marshall-King,,,,Bulldogs,71:15,Bulldogs vs Roosters,2019
10,Error,Mitchell Aubusson,,,,Roosters,70:41,Bulldogs vs Roosters,2019
11,Error,Jack Cogger,,,,Bulldogs,70:07,Bulldogs vs Roosters,2019
12,Penalty - Hand in the Ruck,Corey Harawira-Naera,,,,Bulldogs,68:43,Bulldogs vs Roosters,2019
13,Interchange #7,,                   Siosiua Taukeiaho,                   Victor Radley,,Roosters,66:58,Bulldogs vs Roosters,2019
14,Penalty - Dangerous Tackle,Sitili Tupouniua,,,,Roosters,66:50,Bulldogs vs Roosters,2019
15,Interchange #7,,                   Renouf Toomaga,                   Aiden Tolman,,Bulldogs,66:31,Bulldogs vs Roosters,2019
16,Error,Joseph Manu,,,,Roosters,66:00,Bulldogs vs Roosters,2019
17,Error,Kerrod Holland,,,,Bulldogs,64:18,Bulldogs vs Roosters,2019
18,Penalty - Offside inside 10m,Jared Waerea-Hargreaves,,,,Roosters,63:35,Bulldogs vs Roosters,2019
19,Interchange #6,,                   Isaac Liu,                   Siosiua Taukeiaho,,Roosters,61:55,Bulldogs vs Roosters,2019
20,Interchange #5,,                   Zane Tetevano,                   Jared Waerea-Hargreaves,,Roosters,60:52,Bulldogs vs Roosters,2019
21,Interchange #6,,                   Chris Smith,                   Adam Elliott,,Bulldogs,59:59,Bulldogs vs Roosters,2019
22,Interchange #5,,                   Aiden Tolman,                   Dylan Napa,,Bulldogs,59:58,Bulldogs vs Roosters,2019
23,Conversion-Made,Latrell Mitchell,,,6-20,Roosters,59:55,Bulldogs vs Roosters,2019
24,On Report,Renouf Toomaga,,,,Bulldogs,59:43,Bulldogs vs Roosters,2019
25,Try,Brett Morris,,,6-18,Roosters,58:32,Bulldogs vs Roosters,2019
26,Linebreak,Brett Morris,,,,Roosters,58:29,Bulldogs vs Roosters,2019
27,Penalty - Holding Down,Chris Smith,,,,Bulldogs,57:22,Bulldogs vs Roosters,2019
28,Error,Lachlan Lewis,,,,Bulldogs,56:24,Bulldogs vs Roosters,2019
29,Conversion-Made,Nick Meaney,,,6-14,Bulldogs,56:08,Bulldogs vs Roosters,2019
30,Interchange #4,,                   Boyd Cordner,                   Sitili Tupouniua,,Roosters,55:42,Bulldogs vs Roosters,2019
31,Video Referee,Try,,,,Bulldogs,54:59,Bulldogs vs Roosters,2019
32,Try,Reimis Smith,,,4-14,Bulldogs,54:53,Bulldogs vs Roosters,2019
33,Linebreak,Reimis Smith,,,,Bulldogs,54:52,Bulldogs vs Roosters,2019
34,Penalty - Slow Peel,Sam Verrills,,,,Roosters,54:21,Bulldogs vs Roosters,2019
35,Line Dropout,Latrell Mitchell,,,,Roosters,54:00,Bulldogs vs Roosters,2019
36,Linebreak,Reimis Smith,,,,Bulldogs,53:18,Bulldogs vs Roosters,2019
37,Error,Latrell Mitchell,,,,Roosters,51:55,Bulldogs vs Roosters,2019
38,Error,Jeremy Marshall-King,,,,Bulldogs,50:23,Bulldogs vs Roosters,2019
39,Interchange #4,,                   Danny Fualalo,                   Renouf Toomaga,,Bulldogs,49:53,Bulldogs vs Roosters,2019
40,Kick Bomb,Cooper Cronk,,,,Roosters,46:16,Bulldogs vs Roosters,2019
41,Interchange #3,,                   Victor Radley,                   Angus Crichton,,Roosters,46:00,Bulldogs vs Roosters,2019
42,Error,Will Hopoate,,,,Bulldogs,45:18,Bulldogs vs Roosters,2019
43,Line Dropout,Latrell Mitchell,,,,Roosters,44:02,Bulldogs vs Roosters,2019
44,Error,Brett Morris,,,,Roosters,42:08,Bulldogs vs Roosters,2019
45,Penalty - Pressure on Kicker,Victor Radley,,,,Roosters,41:02,Bulldogs vs Roosters,2019
46,Kick Bomb,Lachlan Lewis,,,,Bulldogs,41:01,Bulldogs vs Roosters,2019
47,Kick Bomb,Cooper Cronk,,,,Roosters,39:58,Bulldogs vs Roosters,2019
48,Error,Josh Jackson,,,,Bulldogs,39:02,Bulldogs vs Roosters,2019
49,Penalty - Hand in the Ruck,Mitchell Aubusson,,,,Roosters,38:20,Bulldogs vs Roosters,2019
50,Error,Boyd Cordner,,,,Roosters,35:18,Bulldogs vs Roosters,2019
51,Penalty - Ball Strip,Nick Meaney,,,,Bulldogs,34:00,Bulldogs vs Roosters,2019
52,Error,Reimis Smith,,,,Bulldogs,32:20,Bulldogs vs Roosters,2019
53,Penalty - Leg Pull,Jack Cogger,,,,Bulldogs,31:29,Bulldogs vs Roosters,2019
54,Penalty - Slow Peel,Aiden Tolman,,,,Bulldogs,31:09,Bulldogs vs Roosters,2019
55,Penalty - 2nd Effort,Aiden Tolman,,,,Bulldogs,30:32,Bulldogs vs Roosters,2019
56,Interchange #2,,                   Jared Waerea-Hargreaves,                   Isaac Liu,,Roosters,30:29,Bulldogs vs Roosters,2019
57,Interchange #1,,                   Siosiua Taukeiaho,                   Zane Tetevano,,Roosters,30:07,Bulldogs vs Roosters,2019
58,Penalty - Offside Downtown,Sam Verrills,,,,Roosters,28:37,Bulldogs vs Roosters,2019
59,Kick Bomb,Luke Keary,,,,Roosters,28:34,Bulldogs vs Roosters,2019
60,Conversion-Made,Latrell Mitchell,,,0-14,Roosters,27:35,Bulldogs vs Roosters,2019
61,Interchange #3,,                   Michael Lichaa,                   Jeremy Marshall-King,,Bulldogs,27:11,Bulldogs vs Roosters,2019
62,Video Referee,Try,,,,Roosters,26:26,Bulldogs vs Roosters,2019
63,Try,Joseph Manu,,,0-12,Roosters,26:19,Bulldogs vs Roosters,2019
64,Linebreak,Joseph Manu,,,,Roosters,26:19,Bulldogs vs Roosters,2019
65,Interchange #2,,                   Dylan Napa,                   Danny Fualalo,,Bulldogs,24:59,Bulldogs vs Roosters,2019
66,Error,Michael Lichaa,,,,Bulldogs,24:59,Bulldogs vs Roosters,2019
67,Kick Bomb,Luke Keary,,,,Roosters,24:21,Bulldogs vs Roosters,2019
68,Penalty Shot-Made,Latrell Mitchell,,,0-8,Roosters,23:01,Bulldogs vs Roosters,2019
69,On Report,Dylan Napa,,,,Bulldogs,22:25,Bulldogs vs Roosters,2019
70,Interchange #1,,                   Adam Elliott,                   Chris Smith,,Bulldogs,22:11,Bulldogs vs Roosters,2019
71,Penalty - Late Tackle,Dylan Napa,,,,Bulldogs,21:32,Bulldogs vs Roosters,2019
72,Error,Aiden Tolman,,,,Bulldogs,20:35,Bulldogs vs Roosters,2019
73,Kick Bomb,Lachlan Lewis,,,,Bulldogs,19:56,Bulldogs vs Roosters,2019
74,Penalty - Offside General,Mitchell Aubusson,,,,Roosters,16:59,Bulldogs vs Roosters,2019
75,Error,Boyd Cordner,,,,Roosters,15:29,Bulldogs vs Roosters,2019
76,Error,Jack Cogger,,,,Bulldogs,15:17,Bulldogs vs Roosters,2019
77,Penalty - Offside inside 10m,Sam Verrills,,,,Roosters,14:41,Bulldogs vs Roosters,2019
78,Error,James Tedesco,,,,Roosters,14:12,Bulldogs vs Roosters,2019
79,Kick Bomb,Jack Cogger,,,,Bulldogs,13:27,Bulldogs vs Roosters,2019
80,Error,Sam Verrills,,,,Roosters,12:04,Bulldogs vs Roosters,2019
81,Penalties - Other,Dallin Watene-Zelezniak,,,,Bulldogs,11:15,Bulldogs vs Roosters,2019
82,Conversion-Made,Latrell Mitchell,,,0-6,Roosters,11:04,Bulldogs vs Roosters,2019
83,Try,James Tedesco,,,0-4,Roosters,09:49,Bulldogs vs Roosters,2019
84,Linebreak,Victor Radley,,,,Roosters,09:44,Bulldogs vs Roosters,2019
85,Error,Joseph Manu,,,,Roosters,05:48,Bulldogs vs Roosters,2019
86,Linebreak,Daniel Tupou,,,,Roosters,05:30,Bulldogs vs Roosters,2019
87,Kick Bomb,Jack Cogger,,,,Bulldogs,04:57,Bulldogs vs Roosters,2019
88,Penalty - Dangerous Tackle,Jared Waerea-Hargreaves,,,,Roosters,03:32,Bulldogs vs Roosters,2019
89,Error,James Tedesco,,,,Roosters,02:29,Bulldogs vs Roosters,2019
90,Linebreak,James Tedesco,,,,Roosters,02:28,Bulldogs vs Roosters,2019
91,Error,Kerrod Holland,,,,Bulldogs,01:41,Bulldogs vs Roosters,2019
92,Kick Bomb,Lachlan Lewis,,,,Bulldogs,01:36,Bulldogs vs Roosters,2019
93,KICK OFF,,,,,,00:00,Bulldogs vs Roosters,2019
