,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Dragons vs Rabbitohs,2019
1,Error,Jacob Host,,,,Dragons,78:56,Dragons vs Rabbitohs,2019
2,Penalty - Dangerous Tackle,Ben Hunt,,,,Dragons,77:31,Dragons vs Rabbitohs,2019
3,Conversion-Made,Gareth Widdop,,,18-34,Dragons,75:46,Dragons vs Rabbitohs,2019
4,Try,Timoteo Lafai,,,16-34,Dragons,74:51,Dragons vs Rabbitohs,2019
5,Linebreak,Timoteo Lafai,,,,Dragons,74:50,Dragons vs Rabbitohs,2019
6,Penalties - Other,Adam Reynolds,,,,Rabbitohs,74:11,Dragons vs Rabbitohs,2019
7,Error,Dane Gagai,,,,Rabbitohs,72:13,Dragons vs Rabbitohs,2019
8,Error,Matthew Dufty,,,,Dragons,72:05,Dragons vs Rabbitohs,2019
9,Error,Greg Inglis,,,,Rabbitohs,71:32,Dragons vs Rabbitohs,2019
10,Conversion-Made,Adam Reynolds,,,12-34,Rabbitohs,71:21,Dragons vs Rabbitohs,2019
11,Interchange #8,,                   Sam Burgess,                   Thomas Burgess,,Rabbitohs,71:20,Dragons vs Rabbitohs,2019
12,Video Referee,Try,,,,Rabbitohs,70:27,Dragons vs Rabbitohs,2019
13,Try,Sam Burgess,,,12-32,Rabbitohs,70:23,Dragons vs Rabbitohs,2019
14,Linebreak,Sam Burgess,,,,Rabbitohs,70:23,Dragons vs Rabbitohs,2019
15,Error,Matthew Dufty,,,,Dragons,69:37,Dragons vs Rabbitohs,2019
16,Penalty - Ball Strip,Cameron Murray,,,,Rabbitohs,69:29,Dragons vs Rabbitohs,2019
17,Interchange - HIA Cleared,,                   James Graham,                   Blake Lawrie,,Dragons,69:25,Dragons vs Rabbitohs,2019
18,Interchange #6,,                   Cameron McInnes,                   Jeremy Latimore,,Dragons,68:56,Dragons vs Rabbitohs,2019
19,Interchange #7,,                   Thomas Burgess,                   Tevita Tatola,,Rabbitohs,68:23,Dragons vs Rabbitohs,2019
20,Error,Cameron McInnes,,,,Dragons,67:32,Dragons vs Rabbitohs,2019
21,Error,Dane Gagai,,,,Rabbitohs,66:26,Dragons vs Rabbitohs,2019
22,Error,Dane Gagai,,,,Rabbitohs,64:48,Dragons vs Rabbitohs,2019
23,Penalty - Ball Strip,Cameron Murray,,,,Rabbitohs,63:16,Dragons vs Rabbitohs,2019
24,Linebreak,Braidon Burns,,,,Rabbitohs,62:44,Dragons vs Rabbitohs,2019
25,Conversion-Missed,Adam Reynolds,,,,Rabbitohs,62:06,Dragons vs Rabbitohs,2019
26,Interchange #5,,                   Luciano Leilua,                   Matthew Dufty,,Dragons,61:12,Dragons vs Rabbitohs,2019
27,Try,Campbell Graham,,,12-28,Rabbitohs,60:33,Dragons vs Rabbitohs,2019
28,Linebreak,Campbell Graham,,,,Rabbitohs,60:31,Dragons vs Rabbitohs,2019
29,Error,Gareth Widdop,,,,Dragons,59:16,Dragons vs Rabbitohs,2019
30,Error,Sam Burgess,,,,Rabbitohs,58:18,Dragons vs Rabbitohs,2019
31,Line Dropout,Gareth Widdop,,,,Dragons,57:50,Dragons vs Rabbitohs,2019
32,Conversion-Made,Adam Reynolds,,,12-24,Rabbitohs,56:21,Dragons vs Rabbitohs,2019
33,Interchange #4,,                   Jeremy Latimore,                   Paul Vaughan,,Dragons,55:22,Dragons vs Rabbitohs,2019
34,Video Referee,Try,,,,Rabbitohs,55:13,Dragons vs Rabbitohs,2019
35,Interchange - HIA,,                   Blake Lawrie,                   Jacob Host,,Dragons,55:12,Dragons vs Rabbitohs,2019
36,Try,Braidon Burns,,,12-22,Rabbitohs,55:07,Dragons vs Rabbitohs,2019
37,Interchange #6,,                   Liam Knight,                   Thomas Burgess,,Rabbitohs,54:08,Dragons vs Rabbitohs,2019
38,Penalty - 2nd Effort,Euan Aitken,,,,Dragons,53:30,Dragons vs Rabbitohs,2019
39,Error,Jordan Pereira,,,,Dragons,52:15,Dragons vs Rabbitohs,2019
40,Interchange #5,,                   Mark Nicholls,                   Cameron Murray,,Rabbitohs,51:35,Dragons vs Rabbitohs,2019
41,Error,Damien Cook,,,,Rabbitohs,51:27,Dragons vs Rabbitohs,2019
42,Error,Damien Cook,,,,Rabbitohs,50:29,Dragons vs Rabbitohs,2019
43,Conversion-Made,Adam Reynolds,,,12-18,Rabbitohs,47:37,Dragons vs Rabbitohs,2019
44,Try,Cody Walker,,,12-16,Rabbitohs,46:06,Dragons vs Rabbitohs,2019
45,Linebreak,Cody Walker,,,,Rabbitohs,46:05,Dragons vs Rabbitohs,2019
46,Line Dropout,Gareth Widdop,,,,Dragons,45:36,Dragons vs Rabbitohs,2019
47,Interchange #3,,                   Josh Kerr,                   James Graham,,Dragons,45:11,Dragons vs Rabbitohs,2019
48,Kick Bomb,Adam Reynolds,,,,Rabbitohs,44:57,Dragons vs Rabbitohs,2019
