,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sea Eagles vs Roosters,2019
1,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,79:57,Sea Eagles vs Roosters,2019
2,Line Dropout,Latrell Mitchell,,,,Roosters,79:39,Sea Eagles vs Roosters,2019
3,Linebreak,Manase Fainu,,,,Sea Eagles,78:49,Sea Eagles vs Roosters,2019
4,Kick Bomb,Daly Cherry-Evans,,,,Sea Eagles,77:22,Sea Eagles vs Roosters,2019
5,Conversion-Made,Daly Cherry-Evans,,,18-26,Sea Eagles,76:14,Sea Eagles vs Roosters,2019
6,Try,Moses Suli,,,16-26,Sea Eagles,75:04,Sea Eagles vs Roosters,2019
7,Linebreak,Daly Cherry-Evans,,,,Sea Eagles,74:55,Sea Eagles vs Roosters,2019
8,Error,Joseph Manu,,,,Roosters,71:45,Sea Eagles vs Roosters,2019
9,Error,Kane Elgey,,,,Sea Eagles,71:38,Sea Eagles vs Roosters,2019
10,Error,Daniel Tupou,,,,Roosters,70:28,Sea Eagles vs Roosters,2019
11,Eagles Interchange #6,,                   Toafofoa Sipley,                   Kelepi Tanginoa,,Sea,69:08,Sea Eagles vs Roosters,2019
12,Error,Luke Keary,,,,Roosters,69:01,Sea Eagles vs Roosters,2019
13,Penalty - Slow Peel,Jake Trbojevic,,,,Sea Eagles,68:04,Sea Eagles vs Roosters,2019
14,Error,Brendan Elliot,,,,Sea Eagles,66:58,Sea Eagles vs Roosters,2019
15,Kick Bomb,Luke Keary,,,,Roosters,66:55,Sea Eagles vs Roosters,2019
16,Error,Joseph Manu,,,,Roosters,64:14,Sea Eagles vs Roosters,2019
17,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,64:10,Sea Eagles vs Roosters,2019
18,Error,Jorge Taufua,,,,Sea Eagles,62:26,Sea Eagles vs Roosters,2019
19,Penalties - Other,Latrell Mitchell,,,,Roosters,60:53,Sea Eagles vs Roosters,2019
20,Conversion-Made,Daly Cherry-Evans,,,12-26,Sea Eagles,60:46,Sea Eagles vs Roosters,2019
21,Interchange - HIA Cleared,,                   Zane Tetevano,                   Luke Keary,,Roosters,59:56,Sea Eagles vs Roosters,2019
22,Try,Jake Trbojevic,,,10-26,Sea Eagles,59:27,Sea Eagles vs Roosters,2019
23,Linebreak,Reuben Garrick,,,,Sea Eagles,59:21,Sea Eagles vs Roosters,2019
24,Eagles Interchange #5,,                   Corey Waddell,                   Moses Suli,,Sea,58:34,Sea Eagles vs Roosters,2019
