,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Moses
                
                  Mbye",18.0,Fullback,,80:00,,-,-,-,-,-,-,-,,52.0,,16.0,116.0,40,,28.0,-,-,-,-,12,-,15.0,4.13s,1,5,-,,-,4,6.0,23.0,0.38,,85.7%,6.0,1,-,-,5,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
1,,"Mahe
                
                  Fonua",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,20.0,,13.0,122.0,15,,39.0,-,-,-,-,-,2,10.0,3s,-,-,-,,1,-,2.0,16.0,0.15,,50%,1.0,1,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
2,,"Robert
                
                  Jennings",5.0,Centre,,80:00,,4,1,-,-,-,-,-,,42.0,,17.0,126.0,-,,33.0,-,-,-,-,2,1,15.0,4.1s,-,-,-,,3,-,5.0,21.0,0.29,,83.3%,10.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
3,,"Esan
                
                  Marsters",4.0,Centre,,80:00,,10,-,3,6,2,62.5%,-,,45.0,,14.0,108.0,-,,31.0,-,-,-,-,5,-,11.0,2.95s,3,21,-,,2,-,3.0,16.0,0.21,,60%,6.0,2,2,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
4,,"Corey
                
                  Thompson",1.0,Winger,,80:00,,8,2,-,-,-,-,-,,32.0,,11.0,120.0,19,,34.0,2,-,-,-,-,2,9.0,3.14s,1,19,-,,-,-,2.0,14.0,0.18,,50%,2.0,2,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
5,,"Benji
                
                  Marshall",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,26.0,,6.0,40.0,-,,10.0,-,-,1,-,-,-,3.0,4.07s,2,10,-,,-,2,32.0,44.0,5.33,,68.2%,15.0,4,3,-,-,,8,243,-,4,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
6,,"Luke
                
                  Brooks",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,55.0,,19.0,138.0,-,,14.0,-,1,1,-,1,-,7.0,3.8s,1,4,-,,2,2,42.0,60.0,2.21,,77.3%,17.0,1,4,-,-,,10,239,1,2,4,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
7,,"Ben
                
                  Matulino",8.0,Prop,,33:00,,-,-,-,-,-,-,-,,28.0,,5.0,43.0,-,,13.0,-,-,-,-,-,5,5.0,4.36s,-,-,-,,-,-,2.0,7.0,0.4,,92.3%,24.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,22:00,11:15,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
8,,"Robbie
                
                  Farah",9.0,Hooker,,80:00,,4,1,-,-,-,-,-,,79.0,,6.0,41.0,-,,13.0,1,2,3,-,3,-,2.0,4.48s,5,41,-,,-,2,122.0,128.0,20.33,,91.9%,34.0,1,2,-,1,,3,58,1,-,2,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
9,,"Alex
                
                  Twal",10.0,Prop,,54:00,,-,-,-,-,-,-,-,,61.0,,16.0,150.0,43,,38.0,-,-,-,-,3,13,15.0,3.69s,-,-,-,,-,-,1.0,17.0,0.06,,97.4%,37.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,32:02,21:37,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
10,,"Ryan
                
                  Matterson",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,51.0,,11.0,104.0,-,,34.0,-,-,-,-,4,11,11.0,4.12s,-,-,-,,-,-,2.0,15.0,0.18,,93.8%,30.0,-,2,-,1,,1,13,-,-,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
11,,"Luke
                
                  Garner",12.0,2nd Row,,68:00,,-,-,-,-,-,-,-,,47.0,,10.0,71.0,5,,25.0,-,-,-,-,1,9,10.0,4.03s,-,-,-,,1,-,3.0,14.0,0.3,,87.5%,35.0,-,5,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,67:37,-,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
12,,"Elijah
                
                  Taylor",13.0,Lock,,47:00,,-,-,-,-,-,-,-,,33.0,,5.0,37.0,-,,6.0,-,-,-,-,-,3,5.0,3.94s,-,-,-,,-,-,4.0,9.0,0.8,,88.4%,38.0,3,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,27:15,19:41,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
13,,"Russell
                
                  Packer",14.0,Interchange,,35:00,,-,-,-,-,-,-,-,,19.0,,13.0,133.0,52,,44.0,-,-,-,-,-,10,12.0,4.1s,-,-,-,,1,-,2.0,15.0,0.15,,76.9%,10.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,24:50,10:14,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
14,,"Thomas
                
                  Mikaele",15.0,Interchange,,31:00,,-,-,-,-,-,-,-,,11.0,,9.0,91.0,-,,34.0,-,-,-,-,-,9,7.0,3.44s,-,-,-,,-,-,1.0,10.0,0.11,,80%,8.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,24:51,06:25,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
15,,"Josh
                
                  Aloiai",16.0,Interchange,,40:00,,-,-,-,-,-,-,-,,36.0,,15.0,137.0,-,,46.0,-,-,-,-,4,15,13.0,4.2s,-,-,-,,-,1,2.0,17.0,0.13,,92.9%,13.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,38:19,01:31,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
16,,"Michael
                
                  Chee-Kam",17.0,Interchange,,12:00,,4,1,-,-,-,-,-,,28.0,,6.0,59.0,-,,19.0,1,-,-,-,3,6,4.0,3.56s,-,-,-,,-,-,1.0,7.0,0.17,,100%,4.0,-,-,-,-,,-,-,-,-,-,-,-,-,,1,1,1,-,-,-,-,,12:00,-,Wests,2,2019-03-24T07:10:00Z,Wests Tigers vs Warriors,2019
