,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"James
                
                  Tedesco",1.0,Fullback,,80:00,,8,2,-,-,-,-,-,,92.0,,19.0,273.0,56,,45,-,3,2,-,8,1,14,4.65s,1,7,-,,1,4,8,27.0,0.42,,83.3%,5.0,-,1,-,4,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Roosters,20,2019-08-04T04:00:00Z,Roosters vs Titans,2019
1,,"Brett
                
                  Morris",5.0,Winger,,80:00,,12,3,-,-,-,-,-,,72.0,,19.0,164.0,26,,39,2,-,-,-,5,-,15,3.26s,-,-,-,,1,-,2,24.0,0.11,,100%,8.0,-,-,1,1,,-,-,-,-,-,-,-,-,,2,3,-,-,-,-,-,,80:00,-,Roosters,20,2019-08-04T04:00:00Z,Roosters vs Titans,2019
2,,"Joseph
                
                  Manu",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,36.0,,9.0,67.0,1,,14,-,1,1,-,2,-,7,3.05s,2,15,-,,2,-,1,10.0,0.11,,85%,17.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Roosters,20,2019-08-04T04:00:00Z,Roosters vs Titans,2019
3,,"Latrell
                
                  Mitchell",3.0,Centre,,80:00,,26,2,9,10,-,90%,-,,70.0,,9.0,141.0,-,,22,2,1,1,-,1,-,4,3.13s,-,-,-,,-,1,5,14.0,0.56,,75%,3.0,-,1,-,-,,2,26,1,-,1,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Roosters,20,2019-08-04T04:00:00Z,Roosters vs Titans,2019
4,,"Daniel
                
                  Tupou",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,47.0,,16.0,181.0,3,,63,1,-,-,-,4,-,13,3.07s,-,-,-,,2,-,1,17.0,0.06,,50%,1.0,1,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,20,2019-08-04T04:00:00Z,Roosters vs Titans,2019
5,,"Luke
                
                  Keary",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,49.0,,5.0,33.0,-,,-,-,3,1,-,-,-,-,-,1,3,-,,-,2,42,54.0,8.4,,89.5%,17.0,1,1,-,-,,11,363,2,5,1,-,-,1,,1,1,-,-,-,-,-,,80:00,-,Roosters,20,2019-08-04T04:00:00Z,Roosters vs Titans,2019
6,,"Cooper
                
                  Cronk",7.0,Halfback,,80:00,,4,1,-,-,-,-,-,,33.0,,8.0,45.0,-,,6,-,-,-,-,-,-,4,3.59s,-,-,-,,-,-,35,45.0,4.38,,85%,17.0,2,1,-,1,,5,193,-,1,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Roosters,20,2019-08-04T04:00:00Z,Roosters vs Titans,2019
7,,"Isaac
                
                  Liu",8.0,Prop,,42:00,,-,-,-,-,-,-,-,,33.0,,12.0,142.0,87,,29,-,-,-,-,-,6,12,3.04s,-,-,-,,-,-,-,12.0,-,,87.5%,21.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:35,13:58,Roosters,20,2019-08-04T04:00:00Z,Roosters vs Titans,2019
8,,"Sam
                
                  Verrills",9.0,Hooker,,80:00,,4,1,-,-,-,-,-,,60.0,,9.0,76.0,-,,10,1,-,-,-,3,-,5,4.25s,9,76,-,,-,5,102,102.0,11.33,,84%,42.0,5,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,20,2019-08-04T04:00:00Z,Roosters vs Titans,2019
9,,"Zane
                
                  Tetevano",10.0,Prop,,41:00,,-,-,-,-,-,-,-,,30.0,,15.0,136.0,-,,46,-,-,-,-,-,14,13,4.01s,-,-,-,,-,-,3,17.0,0.2,,100%,17.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,31:19,10:02,Roosters,20,2019-08-04T04:00:00Z,Roosters vs Titans,2019
