,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Tom
                
                  Trbojevic",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,50.0,,22.0,221.0,36,,60.0,-,-,-,-,11,-,17.0,2.89s,5,59,-,,-,2,13,37.0,0.59,,80%,4.0,1,-,-,3,,1,11,-,-,1,-,-,-,,4,5,-,1,-,-,-,,80:00,-,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
1,,"Jorge
                
                  Taufua",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,30.0,,19.0,139.0,6,,36.0,1,-,-,-,2,-,15.0,3.59s,1,4,-,,-,-,3,21.0,0.16,,80%,4.0,1,-,-,1,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
2,,"Brad
                
                  Parker",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,21.0,,14.0,109.0,-,,28.0,-,1,1,-,-,-,12.0,3.64s,-,-,-,,-,-,6,17.0,0.43,,87.5%,7.0,-,1,-,1,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
3,,"Moses
                
                  Suli",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,25.0,,10.0,127.0,-,,42.0,-,-,-,-,2,-,7.0,3.41s,-,-,-,,1,-,1,10.0,0.1,,73.3%,11.0,2,2,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
4,,"Reuben
                
                  Garrick",5.0,Winger,,80:00,,14,2,3,6,-,50%,-,,44.0,,11.0,98.0,-,,24.0,1,-,-,-,2,-,10.0,3.9s,1,6,-,,1,-,3,15.0,0.27,,60%,6.0,3,1,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
5,,"Dylan
                
                  Walker",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,32.0,,22.0,123.0,-,,24.0,-,1,1,-,1,-,6.0,3.43s,-,-,-,,2,5,39,50.0,1.77,,71.4%,10.0,2,2,-,-,,3,52,-,2,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
6,,"Daly
                
                  Cherry-Evans",7.0,Halfback,,72:00,,-,-,-,-,-,-,-,,72.0,,14.0,92.0,1,,1.0,-,2,3,-,3,-,2.0,5.14s,1,2,-,,2,1,32,48.0,2.29,,81%,17.0,4,-,1,1,,13,431,-,3,1,-,1,-,,-,-,-,-,-,-,-,,72:25,-,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
7,,"Addin
                
                  Fonua-Blake",8.0,Prop,,56:00,,-,-,-,-,-,-,-,,39.0,,16.0,192.0,69,,69.0,-,-,-,-,-,11,12.0,3.23s,-,-,-,,1,-,4,19.0,0.25,,90.9%,20.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,32:56,23:23,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
8,,"Apisai
                
                  Koroisau",19.0,Hooker,,34:00,,-,-,-,-,-,-,-,,30.0,,5.0,45.0,-,,9.0,-,-,-,-,2,-,2.0,2.8s,4,43,-,,-,1,48,50.0,9.6,,87%,20.0,-,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,26:10,07:35,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
9,,"Martin
                
                  Taupau",10.0,Prop,,36:00,,4,1,-,-,-,-,-,,61.0,,13.0,120.0,14,,37.0,1,-,-,-,3,12,11.0,4.06s,-,-,-,,-,-,1,14.0,0.08,,96.6%,28.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:46,12:25,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
10,,"Joel
                
                  Thompson",11.0,2nd Row,,80:00,,4,1,-,-,-,-,-,,61.0,,16.0,153.0,-,,43.0,1,-,-,-,3,16,15.0,3.76s,-,-,-,,-,-,-,16.0,-,,96.7%,29.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
11,,"Curtis
                
                  Sironen",12.0,2nd Row,,80:00,,4,1,-,-,-,-,-,,48.0,,9.0,81.0,-,,29.0,1,-,-,-,2,9,7.0,2.97s,-,-,-,,-,-,-,11.0,-,,88.2%,30.0,1,3,-,-,,1,39,-,-,-,-,-,-,,1,1,-,3,-,-,-,,80:00,-,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
12,,"Jake
                
                  Trbojevic",13.0,Lock,,70:00,,-,-,-,-,-,-,-,,48.0,,14.0,102.0,-,,20.0,-,-,-,-,-,8,7.0,3.25s,-,-,-,,1,3,15,23.0,1.07,,97.3%,36.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,69:39,-,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
13,,"Manase
                
                  Fainu",9.0,Interchange,,54:00,,-,-,-,-,-,-,-,,41.0,,18.0,105.0,8,,14.0,-,-,-,-,3,4,5.0,4.27s,12,68,-,,4,2,68,79.0,3.78,,86.4%,19.0,-,3,-,1,,-,-,-,-,-,-,-,-,,2,2,-,1,-,-,-,,54:00,-,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
14,,"Corey
                
                  Waddell",15.0,Interchange,,14:00,,-,-,-,-,-,-,-,,17.0,,6.0,65.0,-,,26.0,-,-,-,-,2,6,5.0,3.78s,-,-,-,,1,-,1,7.0,0.17,,60%,3.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,14:00,-,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
15,,"Morgan
                
                  Boyle",16.0,Interchange,,24:00,,-,-,-,-,-,-,-,,20.0,,5.0,55.0,16,,12.0,-,-,-,-,-,4,5.0,4.36s,-,-,-,,-,-,-,5.0,-,,100%,15.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,23:41,-,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
16,,"Taniela
                
                  Paseka",17.0,Interchange,,39:00,,-,-,-,-,-,-,-,,35.0,,10.0,93.0,19,,36.0,-,-,-,-,1,9,9.0,3.09s,-,-,-,,-,-,-,10.0,-,,90%,27.0,1,2,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,29:20,10:22,Sea,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
0,,"Kalyn
                
                  Ponga",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,33.0,,17.0,146.0,47,,11.0,1,-,-,-,6,-,6.0,4.15s,2,18,-,,-,4,34,49.0,2,,16.7%,1.0,5,-,-,2,,3,58,-,1,2,-,-,-,,3,2,-,-,-,-,-,,80:00,-,Knights,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
1,,"Shaun
                
                  Kenny-Dowall",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,23.0,,13.0,141.0,43,,40.0,-,-,-,-,3,4,12.0,3.08s,-,-,-,,-,-,4,18.0,0.31,,66.7%,4.0,1,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Knights,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
2,,"Hymel
                
                  Hunt",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,28.0,,10.0,79.0,-,,22.0,-,-,-,-,2,-,9.0,3.4s,-,-,-,,1,-,3,14.0,0.3,,92%,23.0,2,-,-,-,,-,-,-,-,-,-,-,-,,1,-,-,2,-,-,-,,80:00,-,Knights,20,2019-08-03T05:00:00Z,Sea Eagles vs Knights,2019
