,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Warriors vs Raiders,2019
1,Conversion-Made,Iosia Soliola,,,12-46,Raiders,80:00,Warriors vs Raiders,2019
2,Try,Jack Wighton,,,12-44,Raiders,79:53,Warriors vs Raiders,2019
3,Linebreak,Jack Wighton,,,,Raiders,79:50,Warriors vs Raiders,2019
4,Error,Michael Oldfield,,,,Raiders,75:06,Warriors vs Raiders,2019
5,Interchange #8,,                   Josh Papalii,                   Iosia Soliola,,Raiders,74:31,Warriors vs Raiders,2019
6,Penalty - Offside General,Adam Blair,,,,Warriors,73:24,Warriors vs Raiders,2019
7,Error,Chanel Harris-Tavita,,,,Warriors,73:24,Warriors vs Raiders,2019
8,Kick Bomb,Chanel Harris-Tavita,,,,Warriors,73:20,Warriors vs Raiders,2019
9,Interchange #7,,                   Josh Hodgson,                   Corey Horsburgh,,Raiders,72:28,Warriors vs Raiders,2019
10,Conversion-Made,Chanel Harris-Tavita,,,12-40,Warriors,72:25,Warriors vs Raiders,2019
11,Try,Chanel Harris-Tavita,,,10-40,Warriors,71:34,Warriors vs Raiders,2019
12,Linebreak,Chanel Harris-Tavita,,,,Warriors,71:32,Warriors vs Raiders,2019
13,Penalty - Ball Strip,Josh Hodgson,,,,Raiders,70:27,Warriors vs Raiders,2019
14,Error,John Bateman,,,,Raiders,69:46,Warriors vs Raiders,2019
15,40/20 Kick,Aidan Sezer,,,,Raiders,68:47,Warriors vs Raiders,2019
16,Interchange #7,,                   Isaiah Papali'i,                   Lachlan Burr,,Warriors,67:28,Warriors vs Raiders,2019
17,Error,Bailey Simonsson,,,,Raiders,66:14,Warriors vs Raiders,2019
18,Kick Bomb,Jack Wighton,,,,Raiders,66:09,Warriors vs Raiders,2019
19,Interchange #6,,                   Elliott Whitehead,                   Joseph Tapine,,Raiders,65:15,Warriors vs Raiders,2019
20,Conversion-Made,Jarrod Croker,,,6-40,Raiders,65:15,Warriors vs Raiders,2019
21,Video Referee,Try,,,,Raiders,64:24,Warriors vs Raiders,2019
22,Try,Josh Hodgson,,,6-38,Raiders,64:21,Warriors vs Raiders,2019
23,Linebreak,Josh Hodgson,,,,Raiders,64:21,Warriors vs Raiders,2019
24,Penalty - Offside inside 10m,Blake Green,,,,Warriors,63:06,Warriors vs Raiders,2019
25,Penalty - Working on the Ground,Adam Blair,,,,Warriors,61:40,Warriors vs Raiders,2019
26,Error,Agnatius Paasi,,,,Warriors,60:41,Warriors vs Raiders,2019
27,Interchange #6,,                   Bunty Afoa,                   Leeson Ah Mau,,Warriors,60:29,Warriors vs Raiders,2019
28,Penalty - Leg Pull,Siliva Havili,,,,Raiders,59:27,Warriors vs Raiders,2019
29,Kick Bomb,Jack Wighton,,,,Raiders,59:01,Warriors vs Raiders,2019
30,Conversion-Missed,Jarrod Croker,,,,Raiders,57:58,Warriors vs Raiders,2019
31,Interchange #5,,                   Karl Lawton,                   Agnatius Paasi,,Warriors,57:50,Warriors vs Raiders,2019
32,Interchange #5,,                   Dunamis Lui,                   Siliva Havili,,Raiders,57:29,Warriors vs Raiders,2019
33,Interchange #4,,                   Corey Horsburgh,                   Josh Papalii,,Raiders,57:27,Warriors vs Raiders,2019
34,Video Referee,Try,,,,Raiders,57:01,Warriors vs Raiders,2019
35,Try,Bailey Simonsson,,,6-34,Raiders,56:53,Warriors vs Raiders,2019
36,Linebreak,Bailey Simonsson,,,,Raiders,56:53,Warriors vs Raiders,2019
37,Kick Bomb,Chanel Harris-Tavita,,,,Warriors,55:35,Warriors vs Raiders,2019
38,Conversion-Made,Chanel Harris-Tavita,,,6-30,Warriors,54:44,Warriors vs Raiders,2019
39,Try,Chanel Harris-Tavita,,,4-30,Warriors,53:11,Warriors vs Raiders,2019
40,Linebreak,Chanel Harris-Tavita,,,,Warriors,53:10,Warriors vs Raiders,2019
41,Penalty - Early Tackle,Jordan Rapana,,,,Raiders,52:10,Warriors vs Raiders,2019
42,Penalty - Hand in the Ruck,Dunamis Lui,,,,Raiders,50:52,Warriors vs Raiders,2019
43,Error,Michael Oldfield,,,,Raiders,49:24,Warriors vs Raiders,2019
44,Interchange #4,,                   Lachlan Burr,                   Joshua Curran,,Warriors,48:14,Warriors vs Raiders,2019
45,Interchange #3,,                   Joseph Tapine,                   Emre Guler,,Raiders,47:09,Warriors vs Raiders,2019
46,Penalty - Working on the Ground,Chanel Harris-Tavita,,,,Warriors,43:55,Warriors vs Raiders,2019
47,Kick Bomb,Chanel Harris-Tavita,,,,Warriors,42:09,Warriors vs Raiders,2019
48,Conversion-Made,Jarrod Croker,,,0-30,Raiders,39:33,Warriors vs Raiders,2019
49,Try,Joseph Tapine,,,0-28,Raiders,38:02,Warriors vs Raiders,2019
50,Linebreak,Joseph Tapine,,,,Raiders,38:02,Warriors vs Raiders,2019
51,Conversion-Made,Jarrod Croker,,,0-24,Raiders,37:04,Warriors vs Raiders,2019
52,Try,Bailey Simonsson,,,0-22,Raiders,35:33,Warriors vs Raiders,2019
53,Linebreak,Jarrod Croker,,,,Raiders,35:29,Warriors vs Raiders,2019
54,Error,Dunamis Lui,,,,Raiders,33:11,Warriors vs Raiders,2019
55,Penalty - Flop,Michael Oldfield,,,,Raiders,32:39,Warriors vs Raiders,2019
56,Conversion-Made,Jarrod Croker,,,0-18,Raiders,31:19,Warriors vs Raiders,2019
57,Interchange #2,,                   Josh Papalii,                   Corey Horsburgh,,Raiders,31:14,Warriors vs Raiders,2019
58,Try,Michael Oldfield,,,0-16,Raiders,29:49,Warriors vs Raiders,2019
59,Error,Jazz Tevaga,,,,Warriors,28:56,Warriors vs Raiders,2019
60,Penalty - Slow Peel,Josh Hodgson,,,,Raiders,27:58,Warriors vs Raiders,2019
61,Line Dropout,Roger Tuivasa-Sheck,,,,Warriors,26:52,Warriors vs Raiders,2019
62,Interchange #3,,                   Agnatius Paasi,                   Bunty Afoa,,Warriors,24:12,Warriors vs Raiders,2019
63,Interchange #2,,                   Leeson Ah Mau,                   Karl Lawton,,Warriors,24:04,Warriors vs Raiders,2019
64,Error,Josh Hodgson,,,,Raiders,23:13,Warriors vs Raiders,2019
65,Interchange #1,,                   Kodi Nikorima,                   Chanel Harris-Tavita,,Warriors,20:41,Warriors vs Raiders,2019
66,Conversion-Made,Jarrod Croker,,,0-12,Raiders,20:37,Warriors vs Raiders,2019
67,Try,Josh Papalii,,,0-10,Raiders,19:07,Warriors vs Raiders,2019
68,Linebreak,Josh Papalii,,,,Raiders,19:07,Warriors vs Raiders,2019
69,Line Dropout,Roger Tuivasa-Sheck,,,,Warriors,17:52,Warriors vs Raiders,2019
70,Interchange #1,,                   Iosia Soliola,                   Dunamis Lui,,Raiders,17:45,Warriors vs Raiders,2019
71,Error,Peta Hiku,,,,Warriors,16:16,Warriors vs Raiders,2019
72,Kick Bomb,Jack Wighton,,,,Raiders,15:37,Warriors vs Raiders,2019
73,Error,Gerard Beale,,,,Warriors,14:05,Warriors vs Raiders,2019
74,Conversion-Made,Jarrod Croker,,,0-6,Raiders,11:57,Warriors vs Raiders,2019
75,Try,Iosia Soliola,,,0-4,Raiders,10:21,Warriors vs Raiders,2019
76,Linebreak,Iosia Soliola,,,,Raiders,10:17,Warriors vs Raiders,2019
77,Kick Bomb,Jack Wighton,,,,Raiders,08:43,Warriors vs Raiders,2019
78,Error,Jarrod Croker,,,,Raiders,07:02,Warriors vs Raiders,2019
79,Error,Adam Blair,,,,Warriors,06:08,Warriors vs Raiders,2019
80,Error,Lachlan Burr,,,,Warriors,04:29,Warriors vs Raiders,2019
81,Kick Bomb,Blake Green,,,,Warriors,04:24,Warriors vs Raiders,2019
82,Error,Jarrod Croker,,,,Raiders,03:13,Warriors vs Raiders,2019
83,Line Dropout,Roger Tuivasa-Sheck,,,,Warriors,02:10,Warriors vs Raiders,2019
84,Error,Adam Blair,,,,Warriors,00:23,Warriors vs Raiders,2019
85,KICK OFF,,,,,,00:00,Warriors vs Raiders,2019
