,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
0,80:00,FULL TIME,,,,,,Cowboys vs Broncos,2019
1,79:59,Conversion-Made,Jamayne Isaako,Broncos,,,14-18,Cowboys vs Broncos,2019
2,79:06,Try,Jake Turpin,Broncos,,,14-16,Cowboys vs Broncos,2019
3,79:04,Linebreak,Jake Turpin,Broncos,,,,Cowboys vs Broncos,2019
4,77:59,Error,Gideon Gela-Mosby,Cowboys,,,,Cowboys vs Broncos,2019
5,76:42,Interchange - HIA,,Cowboys,                   John Asiata,                   Matthew Scott,,Cowboys vs Broncos,2019
6,73:37,Error,Jamayne Isaako,Broncos,,,,Cowboys vs Broncos,2019
7,72:49,Error,Matthew Scott,Cowboys,,,,Cowboys vs Broncos,2019
8,71:50,Penalty Shot-Made,Jake Clifford,Cowboys,,,14-12,Cowboys vs Broncos,2019
9,70:19,Penalty - Lying in the Ruck,Payne Haas,Broncos,,,,Cowboys vs Broncos,2019
10,69:44,Error,Tevita Pangai Junior,Broncos,,,,Cowboys vs Broncos,2019
11,65:44,Interchange #8,,Cowboys,                   Matthew Scott,                   John Asiata,,Cowboys vs Broncos,2019
12,65:44,Conversion-Made,Jamayne Isaako,Broncos,,,12-12,Cowboys vs Broncos,2019
13,65:37,Interchange #8,,Broncos,                   Matthew Lodge,                   Rhys Kennedy,,Cowboys vs Broncos,2019
14,64:51,Video Referee,Try,Broncos,,,,Cowboys vs Broncos,2019
15,64:48,Try,David Fifita,Broncos,,,12-10,Cowboys vs Broncos,2019
16,64:47,Linebreak,David Fifita,Broncos,,,,Cowboys vs Broncos,2019
17,64:18,Penalty - Flop,Michael Morgan,Cowboys,,,,Cowboys vs Broncos,2019
18,63:24,Error,Gideon Gela-Mosby,Cowboys,,,,Cowboys vs Broncos,2019
19,63:20,Kick Bomb,Jake Turpin,Broncos,,,,Cowboys vs Broncos,2019
20,62:20,Kick Bomb,Michael Morgan,Cowboys,,,,Cowboys vs Broncos,2019
21,62:14,Interchange #7,,Cowboys,                   Josh McGuire,                   Peter Hola,,Cowboys vs Broncos,2019
22,60:47,Error,Payne Haas,Broncos,,,,Cowboys vs Broncos,2019
23,60:10,Interchange #7,,Broncos,                   Joe Ofahengaue,                   Patrick Carrigan,,Cowboys vs Broncos,2019
24,59:12,Error,Patrick Carrigan,Broncos,,,,Cowboys vs Broncos,2019
25,58:42,Error,Gavin Cooper,Cowboys,,,,Cowboys vs Broncos,2019
26,58:26,Error,Tevita Pangai Junior,Broncos,,,,Cowboys vs Broncos,2019
27,57:55,Conversion-Made,Jake Clifford,Cowboys,,,12-6,Cowboys vs Broncos,2019
28,56:23,Try,Jake Clifford,Cowboys,,,10-6,Cowboys vs Broncos,2019
29,55:29,Interchange #6,,Cowboys,                   Jason Taumalolo,                   Scott Bolton,,Cowboys vs Broncos,2019
30,53:57,Line Dropout,Kyle Feldt,Cowboys,,,,Cowboys vs Broncos,2019
31,53:14,Kick Bomb,Jake Turpin,Broncos,,,,Cowboys vs Broncos,2019
32,52:51,Interchange #6,,Broncos,                   Rhys Kennedy,                   Thomas Flegler,,Cowboys vs Broncos,2019
33,52:44,Interchange #5,,Broncos,                   James Segeyaro,                   Andrew McCullough,,Cowboys vs Broncos,2019
34,51:34,Error,Coen Hess,Cowboys,,,,Cowboys vs Broncos,2019
35,50:49,Interchange #5,,Cowboys,                   Peter Hola,                   Francis Molo,,Cowboys vs Broncos,2019
36,49:36,Interchange #4,,Cowboys,                   Jake Granville,                   Josh McGuire,,Cowboys vs Broncos,2019
37,49:32,Interchange #4,,Broncos,                   Payne Haas,                   Matthew Lodge,,Cowboys vs Broncos,2019
38,49:22,Penalty - Ball Strip,Josh McGuire,Cowboys,,,,Cowboys vs Broncos,2019
39,48:44,Error,Patrick Carrigan,Broncos,,,,Cowboys vs Broncos,2019
40,48:06,Penalty - Obstruction,Gavin Cooper,Cowboys,,,,Cowboys vs Broncos,2019
41,47:09,Penalty - Marker Not Square,Anthony Milford,Broncos,,,,Cowboys vs Broncos,2019
42,46:14,On Report,Thomas Flegler,Broncos,,,,Cowboys vs Broncos,2019
43,45:46,Kick Bomb,Jake Clifford,Cowboys,,,,Cowboys vs Broncos,2019
44,45:46,Penalty - Pressure on Kicker,Thomas Flegler,Broncos,,,,Cowboys vs Broncos,2019
45,42:01,Penalty - Grapple,Andrew McCullough,Broncos,,,,Cowboys vs Broncos,2019
46,41:44,Kick Bomb,Jake Turpin,Broncos,,,,Cowboys vs Broncos,2019
47,39:59,Drop Goal-Missed,Anthony Milford,Broncos,,,,Cowboys vs Broncos,2019
48,39:43,Penalties - Other,Josh McGuire,Cowboys,,,,Cowboys vs Broncos,2019
