,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
0,80:00,FULL TIME,,,,,,Knights vs Cowboys,2019
1,79:39,Error,Mason Lino,Knights,,,,Knights vs Cowboys,2019
2,78:49,Penalty - Dangerous Tackle,John Asiata,Cowboys,,,,Knights vs Cowboys,2019
3,73:57,Conversion-Made,Mason Lino,Knights,,,42-6,Knights vs Cowboys,2019
4,73:24,Interchange #8,,Knights,                   Aidan Guerra,                   Mitchell Barnett,,Knights vs Cowboys,2019
5,72:24,Try,Mason Lino,Knights,,,40-6,Knights vs Cowboys,2019
6,72:22,Linebreak,Mason Lino,Knights,,,,Knights vs Cowboys,2019
7,71:09,Error,Coen Hess,Cowboys,,,,Knights vs Cowboys,2019
8,71:04,Interchange #8,,Cowboys,                   Scott Bolton,                   Jordan McLean,,Knights vs Cowboys,2019
9,69:54,Kick Bomb,Jake Clifford,Cowboys,,,,Knights vs Cowboys,2019
10,67:39,Conversion-Made,Mason Lino,Knights,,,36-6,Knights vs Cowboys,2019
11,67:19,Interchange #7,,Knights,                   Josh King,                   Herman Ese'ese,,Knights vs Cowboys,2019
12,66:44,Interchange #7,,Cowboys,                   Matthew Scott,                   Scott Bolton,,Knights vs Cowboys,2019
13,66:08,Try,Sione Mata'utia,Knights,,,34-6,Knights vs Cowboys,2019
14,66:06,Linebreak,Sione Mata'utia,Knights,,,,Knights vs Cowboys,2019
15,65:17,Penalty - Flop,Scott Drinkwater,Cowboys,,,,Knights vs Cowboys,2019
16,64:52,Linebreak,Shaun Kenny-Dowall,Knights,,,,Knights vs Cowboys,2019
17,63:16,Kick Bomb,Mitchell Pearce,Knights,,,,Knights vs Cowboys,2019
18,62:26,Interchange #6,,Cowboys,                   John Asiata,                   Francis Molo,,Knights vs Cowboys,2019
19,62:21,Conversion-Made,Mason Lino,Knights,,,30-6,Knights vs Cowboys,2019
20,60:48,Try,Mitchell Barnett,Knights,,,28-6,Knights vs Cowboys,2019
21,60:48,Linebreak,Mitchell Barnett,Knights,,,,Knights vs Cowboys,2019
22,59:22,Penalties - Other,Kyle Feldt,Cowboys,,,,Knights vs Cowboys,2019
23,59:16,Conversion-Made,Mason Lino,Knights,,,24-6,Knights vs Cowboys,2019
24,58:42,Interchange #6,,Knights,                   David Klemmer,                   Aidan Guerra,,Knights vs Cowboys,2019
25,58:37,Interchange #5,,Cowboys,                   Jordan McLean,                   Peter Hola,,Knights vs Cowboys,2019
26,58:08,Interchange #4,,Cowboys,                   Reuben Cotter,                   Jake Granville,,Knights vs Cowboys,2019
27,57:52,Video Referee,Try,Knights,,,,Knights vs Cowboys,2019
28,57:47,Try,Mitchell Pearce,Knights,,,22-6,Knights vs Cowboys,2019
29,57:46,Linebreak,Mitchell Pearce,Knights,,,,Knights vs Cowboys,2019
30,56:50,Error,Tom Opacic,Cowboys,,,,Knights vs Cowboys,2019
31,56:41,Interchange #5,,Knights,                   Daniel Saifiti,                   Jacob Saifiti,,Knights vs Cowboys,2019
32,55:48,Error,Tom Opacic,Cowboys,,,,Knights vs Cowboys,2019
33,53:37,Interchange #4,,Knights,                   Kurt Mann,                   Connor Watson,,Knights vs Cowboys,2019
34,53:28,Penalty - Ball Strip,Aidan Guerra,Knights,,,,Knights vs Cowboys,2019
35,51:33,Error,Michael Morgan,Cowboys,,,,Knights vs Cowboys,2019
36,50:25,Error,Kyle Feldt,Cowboys,,,,Knights vs Cowboys,2019
37,46:47,Error,Hymel Hunt,Knights,,,,Knights vs Cowboys,2019
38,45:58,Error,Jordan Kahu,Cowboys,,,,Knights vs Cowboys,2019
39,45:50,Linebreak,Coen Hess,Cowboys,,,,Knights vs Cowboys,2019
40,43:03,Penalty - Offside inside 10m,Mason Lino,Knights,,,,Knights vs Cowboys,2019
41,42:17,Line Dropout,Mitchell Pearce,Knights,,,,Knights vs Cowboys,2019
42,40:22,Error,Aidan Guerra,Knights,,,,Knights vs Cowboys,2019
43,39:55,Conversion-Made,Mason Lino,Knights,,,18-6,Knights vs Cowboys,2019
44,38:21,Try,Kalyn Ponga,Knights,,,16-6,Knights vs Cowboys,2019
45,38:20,Linebreak,Kalyn Ponga,Knights,,,,Knights vs Cowboys,2019
46,37:53,Error,Coen Hess,Cowboys,,,,Knights vs Cowboys,2019
47,37:21,Error,Tautau Moga,Knights,,,,Knights vs Cowboys,2019
48,37:11,Linebreak,Connor Watson,Knights,,,,Knights vs Cowboys,2019
49,35:51,Error,Gavin Cooper,Cowboys,,,,Knights vs Cowboys,2019
50,35:22,Line Dropout,Mitchell Pearce,Knights,,,,Knights vs Cowboys,2019
51,33:28,Penalty - Obstruction,Mitchell Barnett,Knights,,,,Knights vs Cowboys,2019
52,32:42,Penalty - Leg Pull,Michael Morgan,Cowboys,,,,Knights vs Cowboys,2019
53,32:23,Interchange #3,,Knights,                   Aidan Guerra,                   David Klemmer,,Knights vs Cowboys,2019
54,31:17,Error,Shane Wright,Cowboys,,,,Knights vs Cowboys,2019
55,30:50,Interchange #3,,Cowboys,                   Peter Hola,                   Jordan McLean,,Knights vs Cowboys,2019
56,30:35,Kick Bomb,Mitchell Pearce,Knights,,,,Knights vs Cowboys,2019
57,28:52,Interchange #2,,Knights,                   Herman Ese'ese,                   Daniel Saifiti,,Knights vs Cowboys,2019
58,28:47,Conversion-Made,Jordan Kahu,Cowboys,,,12-6,Knights vs Cowboys,2019
59,27:45,Interchange #2,,Cowboys,                   Francis Molo,                   John Asiata,,Knights vs Cowboys,2019
60,27:19,Try,Jake Clifford,Cowboys,,,12-4,Knights vs Cowboys,2019
61,27:18,Linebreak,Jake Clifford,Cowboys,,,,Knights vs Cowboys,2019
62,27:02,Error,Mitchell Pearce,Knights,,,,Knights vs Cowboys,2019
63,25:51,Error,Mitchell Pearce,Knights,,,,Knights vs Cowboys,2019
64,25:00,Error,Tautau Moga,Knights,,,,Knights vs Cowboys,2019
65,24:51,Interchange #1,,Knights,                   Jacob Saifiti,                   Josh King,,Knights vs Cowboys,2019
66,24:42,Error,Jordan McLean,Cowboys,,,,Knights vs Cowboys,2019
