,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
0,80:00,FULL TIME,,,,,,Rabbitohs vs Bulldogs,2019
1,79:58,Error,Corey Harawira-Naera,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
2,78:30,Penalties - Other,Campbell Graham,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
3,78:20,Penalty Shot-Made,Nick Meaney,Bulldogs,,,6-14,Rabbitohs vs Bulldogs,2019
4,76:50,Penalty - Lying in the Ruck,Adam Doueihi,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
5,76:26,Error,John Sutton,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
6,75:33,Kick Bomb,Lachlan Lewis,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
7,74:42,Error,Adam Reynolds,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
8,74:32,Interchange #6,,Bulldogs,                   Corey Harawira-Naera,                   Chris Smith,,Rabbitohs vs Bulldogs,2019
9,74:29,Interchange - HIA Cleared,,Bulldogs,                   Chris Smith,                   Corey Harawira-Naera,,Rabbitohs vs Bulldogs,2019
10,74:00,Error,Liam Knight,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
11,73:33,Penalty - Ball Strip,Dallin Watene-Zelezniak,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
12,70:55,Interchange - HIA,,Rabbitohs,                   Liam Knight,                   Thomas Burgess,,Rabbitohs vs Bulldogs,2019
13,69:28,Penalty - Dangerous Tackle,James Roberts,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
14,69:24,Kick Bomb,James Roberts,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
15,68:39,Interchange #8,,Rabbitohs,                   Dean Britt,                   Jaydn Su'A,,Rabbitohs vs Bulldogs,2019
16,68:26,Kick Bomb,Lachlan Lewis,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
17,67:54,Interchange #5,,Bulldogs,                   Aiden Tolman,                   Raymond Faitala-Mariner,,Rabbitohs vs Bulldogs,2019
18,66:31,Error,Dallin Watene-Zelezniak,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
19,65:46,Line Dropout,Adam Reynolds,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
20,64:06,Error,Ethan Lowe,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
21,62:57,Linebreak,Dallin Watene-Zelezniak,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
22,60:15,Interchange - HIA,,Bulldogs,                   Adam Elliott,                   Chris Smith,,Rabbitohs vs Bulldogs,2019
23,57:40,Interchange #7,,Rabbitohs,                   Thomas Burgess,                   Tevita Tatola,,Rabbitohs vs Bulldogs,2019
24,57:31,Penalty - Dangerous Tackle,Tevita Tatola,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
25,56:53,Conversion-Made,Nick Meaney,Bulldogs,,,6-12,Rabbitohs vs Bulldogs,2019
26,56:21,Interchange #6,,Rabbitohs,                   Sam Burgess,                   Liam Knight,,Rabbitohs vs Bulldogs,2019
27,55:26,Try,Corey Harawira-Naera,Bulldogs,,,6-10,Rabbitohs vs Bulldogs,2019
28,55:25,Linebreak,Corey Harawira-Naera,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
29,54:02,Error,Cameron Murray,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
30,53:25,Interchange #5,,Rabbitohs,                   Cameron Murray,                   Dean Britt,,Rabbitohs vs Bulldogs,2019
31,52:31,Interchange #4,,Bulldogs,                   Raymond Faitala-Mariner,                   Aiden Tolman,,Rabbitohs vs Bulldogs,2019
32,51:08,Penalty Shot-Made,Adam Reynolds,Rabbitohs,,,6-6,Rabbitohs vs Bulldogs,2019
33,50:31,Interchange #3,,Bulldogs,                   Dylan Napa,                   Renouf Toomaga,,Rabbitohs vs Bulldogs,2019
34,50:15,Penalty - 2nd Effort,Renouf Toomaga,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
35,49:14,Error,Dallin Watene-Zelezniak,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
36,49:10,Kick Bomb,Lachlan Lewis,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
37,48:05,Conversion-Missed,Nick Meaney,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
38,47:20,Video Referee,Try,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
39,47:13,Try,Corey Harawira-Naera,Bulldogs,,,4-6,Rabbitohs vs Bulldogs,2019
40,45:48,Error,Dean Britt,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
41,45:00,Penalty Shot-Made,Adam Reynolds,Rabbitohs,,,4-2,Rabbitohs vs Bulldogs,2019
42,43:53,Penalty - Crowding,Renouf Toomaga,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
43,43:04,Error,Kieran Foran,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
44,38:06,Error,James Roberts,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
45,37:07,Error,Lachlan Lewis,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
46,35:28,Error,Adam Doueihi,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
47,35:24,Kick Bomb,Kieran Foran,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
48,34:02,Error,Tevita Tatola,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
49,32:34,Error,Kerrod Holland,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
50,31:14,Error,Cody Walker,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
51,30:03,Penalty - Hand in the Ruck,Corey Harawira-Naera,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
52,29:50,Interchange #4,,Rabbitohs,                   John Sutton,                   Braidon Burns,,Rabbitohs vs Bulldogs,2019
53,29:38,Interchange #3,,Rabbitohs,                   Dean Britt,                   Cameron Murray,,Rabbitohs vs Bulldogs,2019
54,29:28,Kick Bomb,Lachlan Lewis,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
55,27:37,Interchange #2,,Rabbitohs,                   Tevita Tatola,                   Sam Burgess,,Rabbitohs vs Bulldogs,2019
56,27:13,Interchange #2,,Bulldogs,                   Renouf Toomaga,                   Dylan Napa,,Rabbitohs vs Bulldogs,2019
57,25:34,Interchange #1,,Bulldogs,                   Chris Smith,                   Adam Elliott,,Rabbitohs vs Bulldogs,2019
58,24:54,Kick Bomb,Cody Walker,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
59,24:10,Interchange #1,,Rabbitohs,                   Liam Knight,                   Thomas Burgess,,Rabbitohs vs Bulldogs,2019
60,23:29,Error,Kerrod Holland,Bulldogs,,,,Rabbitohs vs Bulldogs,2019
61,22:31,Error,Jaydn Su'A,Rabbitohs,,,,Rabbitohs vs Bulldogs,2019
