,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Tom
                
                  Trbojevic",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,54.0,,24.0,265.0,67,,69,1,1,1,-,5,-,18,3.55s,2,25,-,,1,1,19,42.0,0.79,,50%,1.0,1,-,-,1,,1,14,1,-,1,-,-,-,,1,2,-,-,-,-,-,,80:00,-,Sea,22,2019-08-15T09:50:00Z,Sea Eagles vs Wests Tigers,2019
1,,"Jorge
                
                  Taufua",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,30.0,,14.0,141.0,12,,62,1,-,-,-,2,1,12,4.01s,1,6,-,,-,1,3,17.0,0.21,,50%,1.0,1,-,-,1,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Sea,22,2019-08-15T09:50:00Z,Sea Eagles vs Wests Tigers,2019
2,,"Brendan
                
                  Elliot",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,57.0,,10.0,158.0,3,,45,2,-,-,-,8,1,9,4.16s,2,43,-,,-,-,10,17.0,1,,88.9%,8.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,22,2019-08-15T09:50:00Z,Sea Eagles vs Wests Tigers,2019
3,,"Moses
                
                  Suli",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,38.0,,14.0,148.0,-,,50,2,-,-,-,2,-,11,3.54s,-,-,-,,1,-,7,19.0,0.5,,70%,7.0,2,1,-,1,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Sea,22,2019-08-15T09:50:00Z,Sea Eagles vs Wests Tigers,2019
4,,"Reuben
                
                  Garrick",5.0,Winger,,80:00,,8,-,4,6,-,66.67%,-,,33.0,,12.0,119.0,57,,32,-,1,1,-,3,1,10,4.22s,1,14,-,,-,-,1,13.0,0.08,,50%,4.0,3,1,-,2,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Sea,22,2019-08-15T09:50:00Z,Sea Eagles vs Wests Tigers,2019
5,,"Dylan
                
                  Walker",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,54.0,,18.0,160.0,-,,25,-,1,-,-,3,-,7,3.35s,-,-,-,,3,5,42,58.0,2.33,,66.7%,10.0,3,2,-,1,,4,86,2,2,2,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Sea,22,2019-08-15T09:50:00Z,Sea Eagles vs Wests Tigers,2019
6,,"Daly
                
                  Cherry-Evans",7.0,Halfback,,73:00,,-,-,-,-,-,-,-,,49.0,,9.0,32.0,-,,-,-,1,2,-,3,-,-,-,-,-,-,,-,5,51,64.0,5.67,,100%,14.0,-,-,-,-,,12,237,2,5,3,-,1,-,,2,2,-,-,-,-,-,,72:40,-,Sea,22,2019-08-15T09:50:00Z,Sea Eagles vs Wests Tigers,2019
7,,"Addin
                
                  Fonua-Blake",8.0,Prop,,54:00,,4,1,-,-,-,-,-,,74.0,,20.0,216.0,50,,86,1,-,-,-,8,17,17,3.8s,-,-,-,,-,-,4,24.0,0.2,,91.3%,21.0,1,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,22:56,30:35,Sea,22,2019-08-15T09:50:00Z,Sea Eagles vs Wests Tigers,2019
8,,"Apisai
                
                  Koroisau",9.0,Hooker,,33:00,,-,-,-,-,-,-,-,,28.0,,6.0,54.0,-,,8,-,-,-,-,2,1,5,5.26s,4,49,-,,-,1,51,58.0,8.5,,89.3%,25.0,2,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,25:59,07:20,Sea,22,2019-08-15T09:50:00Z,Sea Eagles vs Wests Tigers,2019
9,,"Martin
                
                  Taupau",10.0,Prop,,55:00,,-,-,-,-,-,-,-,,42.0,,19.0,160.0,23,,56,-,-,-,-,-,16,17,3.97s,-,-,-,,1,1,2,20.0,0.11,,95.7%,22.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,27:45,26:40,Sea,22,2019-08-15T09:50:00Z,Sea Eagles vs Wests Tigers,2019
