,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
0,80:00,FULL TIME,,,,,,Sharks vs Dragons,2019
1,78:55,Error,Euan Aitken,Dragons,,,,Sharks vs Dragons,2019
2,77:05,Conversion-Made,Shaun Johnson,Sharks,,,18-12,Sharks vs Dragons,2019
3,75:43,Video Referee,Try,Sharks,,,,Sharks vs Dragons,2019
4,75:39,Try,Bronson Xerri,Sharks,,,16-12,Sharks vs Dragons,2019
5,75:29,Kick Bomb,Shaun Johnson,Sharks,,,,Sharks vs Dragons,2019
6,75:12,Interchange #8,,Sharks,                   Jack Williams,                   Aaron Woods,,Sharks vs Dragons,2019
7,72:50,Error,Shaun Johnson,Sharks,,,,Sharks vs Dragons,2019
8,72:13,Line Dropout,Corey Norman,Dragons,,,,Sharks vs Dragons,2019
9,70:38,Error,Korbin Sims,Dragons,,,,Sharks vs Dragons,2019
10,70:04,Drop Goal-Missed,Chad Townsend,Sharks,,,,Sharks vs Dragons,2019
11,70:02,Interchange #7,,Sharks,                   Braden Hamlin-Uele,                   Jack Williams,,Sharks vs Dragons,2019
12,68:22,Error,Timoteo Lafai,Dragons,,,,Sharks vs Dragons,2019
13,67:12,Penalties - Other,James Graham,Dragons,,,,Sharks vs Dragons,2019
14,67:06,Error,Gareth Widdop,Dragons,,,,Sharks vs Dragons,2019
15,65:39,Error,Kurt Capewell,Sharks,,,,Sharks vs Dragons,2019
16,65:24,Kick Bomb,Gareth Widdop,Dragons,,,,Sharks vs Dragons,2019
17,64:34,Conversion-Made,Gareth Widdop,Dragons,,,12-12,Sharks vs Dragons,2019
18,63:48,Try,Luciano Leilua,Dragons,,,12-10,Sharks vs Dragons,2019
19,63:48,Linebreak,Luciano Leilua,Dragons,,,,Sharks vs Dragons,2019
20,63:42,Error,Wade Graham,Sharks,,,,Sharks vs Dragons,2019
21,62:59,Interchange #8,,Dragons,                   Blake Lawrie,                   Tyson Frizell,,Sharks vs Dragons,2019
22,62:15,Penalty - Offside inside 10m,Aaron Woods,Sharks,,,,Sharks vs Dragons,2019
23,61:47,Error,Jack Williams,Sharks,,,,Sharks vs Dragons,2019
24,61:15,Kick Bomb,Gareth Widdop,Dragons,,,,Sharks vs Dragons,2019
25,60:34,Interchange #7,,Dragons,                   Paul Vaughan,                   Jeremy Latimore,,Sharks vs Dragons,2019
26,58:54,Error,Mikaele Ravalawa,Dragons,,,,Sharks vs Dragons,2019
27,57:40,Error,Jack Williams,Sharks,,,,Sharks vs Dragons,2019
28,57:05,Interchange #6,,Sharks,                   Paul Gallen,                   Billy Magoulias,,Sharks vs Dragons,2019
29,57:05,Interchange #5,,Sharks,                   Aaron Woods,                   Braden Hamlin-Uele,,Sharks vs Dragons,2019
30,57:05,Line Dropout,Josh Dugan,Sharks,,,,Sharks vs Dragons,2019
31,55:21,Interchange #6,,Dragons,                   James Graham,                   Blake Lawrie,,Sharks vs Dragons,2019
32,55:14,Error,Josh Morris,Sharks,,,,Sharks vs Dragons,2019
33,54:03,Penalty - Ball Strip,Gareth Widdop,Dragons,,,,Sharks vs Dragons,2019
34,53:03,Penalty - Hand in the Ruck,Euan Aitken,Dragons,,,,Sharks vs Dragons,2019
35,51:38,Error,Billy Magoulias,Sharks,,,,Sharks vs Dragons,2019
36,50:54,Error,Braden Hamlin-Uele,Sharks,,,,Sharks vs Dragons,2019
37,50:51,Error,Cameron McInnes,Dragons,,,,Sharks vs Dragons,2019
38,49:47,Error,Wade Graham,Sharks,,,,Sharks vs Dragons,2019
39,49:17,Interchange #4,,Sharks,                   Kurt Capewell,                   Matt Moylan,,Sharks vs Dragons,2019
40,47:53,Penalty - 2nd Effort,Billy Magoulias,Sharks,,,,Sharks vs Dragons,2019
41,46:40,Error,Billy Magoulias,Sharks,,,,Sharks vs Dragons,2019
42,45:33,Kick Bomb,Gareth Widdop,Dragons,,,,Sharks vs Dragons,2019
43,43:42,Interchange #5,,Dragons,                   Tyson Frizell,                   Ben Hunt,,Sharks vs Dragons,2019
44,42:50,Error,Jeremy Latimore,Dragons,,,,Sharks vs Dragons,2019
45,42:09,Line Dropout,Corey Norman,Dragons,,,,Sharks vs Dragons,2019
46,41:02,Error,Mikaele Ravalawa,Dragons,,,,Sharks vs Dragons,2019
47,37:30,Error,Korbin Sims,Dragons,,,,Sharks vs Dragons,2019
48,36:49,Conversion-Made,Gareth Widdop,Dragons,,,12-6,Sharks vs Dragons,2019
49,35:38,Video Referee,Try,Dragons,,,,Sharks vs Dragons,2019
50,35:31,Try,Jackson Ford,Dragons,,,12-4,Sharks vs Dragons,2019
51,34:31,Interchange #4,,Dragons,                   Jeremy Latimore,                   James Graham,,Sharks vs Dragons,2019
52,31:37,Linebreak,Sosaia Feki,Sharks,,,,Sharks vs Dragons,2019
53,31:31,Interchange #3,,Sharks,                   Billy Magoulias,                   Paul Gallen,,Sharks vs Dragons,2019
