,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
0,80:00,FULL TIME,,,,,,Titans vs Eels,2019
1,80:00,Drop Goal-Missed,Mitchell Moses,Eels,,,,Titans vs Eels,2019
2,78:29,Error,Jai Whitbread,Titans,,,,Titans vs Eels,2019
3,78:12,Error,Maika Sivo,Eels,,,,Titans vs Eels,2019
4,77:07,Conversion-Made,Tyrone Peachey,Titans,,,12-36,Titans vs Eels,2019
5,76:01,Try,Jesse Arthars,Titans,,,10-36,Titans vs Eels,2019
6,76:01,Linebreak,Jesse Arthars,Titans,,,,Titans vs Eels,2019
7,75:47,Penalty - Slow Peel,Reed Mahoney,Eels,,,,Titans vs Eels,2019
8,75:19,Penalty - Dangerous Tackle,Daniel Alvaro,Eels,,,,Titans vs Eels,2019
9,74:50,Linebreak,Brian Kelly,Titans,,,,Titans vs Eels,2019
10,74:23,Interchange #8,,Eels,                   Tepai Moeroa,                   Manu Ma'u,,Titans vs Eels,2019
11,74:05,Error,Dylan Brown,Eels,,,,Titans vs Eels,2019
12,71:36,Conversion-Made,Mitchell Moses,Eels,,,6-36,Titans vs Eels,2019
13,70:55,Interchange #7,,Eels,                   Reed Mahoney,                   Clinton Gutherson,,Titans vs Eels,2019
14,70:47,Video Referee,Try,Eels,,,,Titans vs Eels,2019
15,70:44,Try,Marata Niukore,Eels,,,6-34,Titans vs Eels,2019
16,70:43,Linebreak,Marata Niukore,Eels,,,,Titans vs Eels,2019
17,69:57,Penalty - Slow Peel,Mitch Rein,Titans,,,,Titans vs Eels,2019
18,69:14,Error,Michael Gordon,Titans,,,,Titans vs Eels,2019
19,66:47,Line Dropout,Clinton Gutherson,Eels,,,,Titans vs Eels,2019
20,66:18,Interchange #6,,Eels,                   Daniel Alvaro,                   Tepai Moeroa,,Titans vs Eels,2019
21,65:59,Interchange #7,,Titans,                   Jai Whitbread,                   Kallum Watkins,,Titans vs Eels,2019
22,65:00,Error,Mitchell Moses,Eels,,,,Titans vs Eels,2019
23,64:33,Error,Tyrone Peachey,Titans,,,,Titans vs Eels,2019
