,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
0,80:00,FULL TIME,,,,,,Eels vs Bulldogs,2019
1,79:55,Error,Reed Mahoney,Eels,,,,Eels vs Bulldogs,2019
2,79:37,Line Dropout,Lachlan Lewis,Bulldogs,,,,Eels vs Bulldogs,2019
3,78:08,Line Dropout,Lachlan Lewis,Bulldogs,,,,Eels vs Bulldogs,2019
4,77:35,Interchange #8,,Bulldogs,                   Renouf Toomaga,                   Dylan Napa,,Eels vs Bulldogs,2019
5,74:53,Interchange #7,,Bulldogs,                   Aiden Tolman,                   Raymond Faitala-Mariner,,Eels vs Bulldogs,2019
6,73:45,Kick Bomb,Kieran Foran,Bulldogs,,,,Eels vs Bulldogs,2019
7,71:41,Error,Shaun Lane,Eels,,,,Eels vs Bulldogs,2019
8,70:28,Penalty - 2nd Effort,Kerrod Holland,Bulldogs,,,,Eels vs Bulldogs,2019
9,70:23,Interchange #7,,Eels,                   Kane Evans,                   Tepai Moeroa,,Eels vs Bulldogs,2019
10,69:24,Conversion-Made,Nick Meaney,Bulldogs,,,6-12,Eels vs Bulldogs,2019
11,68:15,Video Referee,Try,Bulldogs,,,,Eels vs Bulldogs,2019
12,68:09,Penalty Try,Nick Meaney,Bulldogs,,,6-10,Eels vs Bulldogs,2019
13,68:08,Linebreak,Nick Meaney,Bulldogs,,,,Eels vs Bulldogs,2019
14,67:07,Line Dropout,Clinton Gutherson,Eels,,,,Eels vs Bulldogs,2019
15,66:30,Linebreak,Kerrod Holland,Bulldogs,,,,Eels vs Bulldogs,2019
16,65:20,Penalty - Offside Downtown,Dylan Brown,Eels,,,,Eels vs Bulldogs,2019
17,65:14,Kick Bomb,Mitchell Moses,Eels,,,,Eels vs Bulldogs,2019
18,62:45,Kick Bomb,Lachlan Lewis,Bulldogs,,,,Eels vs Bulldogs,2019
19,61:43,Interchange #6,,Bulldogs,                   Adam Elliott,                   Aiden Tolman,,Eels vs Bulldogs,2019
20,61:28,Error,Maika Sivo,Eels,,,,Eels vs Bulldogs,2019
21,59:59,Error,Kerrod Holland,Bulldogs,,,,Eels vs Bulldogs,2019
22,59:34,Interchange - Sin Bin Return,Reimis Smith,Bulldogs,,,,Eels vs Bulldogs,2019
23,58:50,Interchange #5,,Bulldogs,                   Dallin Watene-Zelezniak,                   Chris Smith,,Eels vs Bulldogs,2019
24,58:45,Error,Maika Sivo,Eels,,,,Eels vs Bulldogs,2019
25,58:05,Interchange - Sin Bin Return,Nathan Brown,Eels,,,,Eels vs Bulldogs,2019
26,57:19,Interchange #6,,Eels,                   Tepai Moeroa,                   Marata Niukore,,Eels vs Bulldogs,2019
27,57:14,Penalty - Offside inside 10m,Lachlan Lewis,Bulldogs,,,,Eels vs Bulldogs,2019
28,57:06,Error,Will Hopoate,Bulldogs,,,,Eels vs Bulldogs,2019
29,56:13,Linebreak,Will Hopoate,Bulldogs,,,,Eels vs Bulldogs,2019
30,55:55,Linebreak,Waqa Blake,Eels,,,,Eels vs Bulldogs,2019
31,55:09,Kick Bomb,Kieran Foran,Bulldogs,,,,Eels vs Bulldogs,2019
32,53:21,Interchange #5,,Eels,                   Junior Paulo,                   David Gower,,Eels vs Bulldogs,2019
33,52:57,Error,Josh Jackson,Bulldogs,,,,Eels vs Bulldogs,2019
34,52:27,Linebreak,Josh Jackson,Bulldogs,,,,Eels vs Bulldogs,2019
35,52:01,Interchange #4,,Bulldogs,                   Raymond Faitala-Mariner,                   Dallin Watene-Zelezniak,,Eels vs Bulldogs,2019
36,51:53,Error,Maika Sivo,Eels,,,,Eels vs Bulldogs,2019
37,51:07,Line Dropout,Lachlan Lewis,Bulldogs,,,,Eels vs Bulldogs,2019
38,50:38,Interchange #3,,Bulldogs,                   Dylan Napa,                   Renouf Toomaga,,Eels vs Bulldogs,2019
39,49:29,On Report,Reimis Smith,Bulldogs,,,,Eels vs Bulldogs,2019
40,49:29,Sin Bin,Reimis Smith,Bulldogs,,,,Eels vs Bulldogs,2019
41,49:22,Penalties - Other,Reimis Smith,Bulldogs,,,,Eels vs Bulldogs,2019
42,49:15,Error,Maika Sivo,Eels,,,,Eels vs Bulldogs,2019
43,47:57,Interchange #4,,Eels,                   Reed Mahoney,                   Daniel Alvaro,,Eels vs Bulldogs,2019
44,47:57,On Report,Nathan Brown,Eels,,,,Eels vs Bulldogs,2019
45,47:57,Sin Bin,Nathan Brown,Eels,,,,Eels vs Bulldogs,2019
46,47:51,Penalty - Shoulder Charge,Nathan Brown,Eels,,,,Eels vs Bulldogs,2019
47,46:07,Penalty - Leg Pull,Lachlan Lewis,Bulldogs,,,,Eels vs Bulldogs,2019
48,45:35,Kick Bomb,Kieran Foran,Bulldogs,,,,Eels vs Bulldogs,2019
49,44:01,Error,Manu Ma'u,Eels,,,,Eels vs Bulldogs,2019
50,41:10,Error,Reimis Smith,Bulldogs,,,,Eels vs Bulldogs,2019
51,39:47,Conversion-Made,Nick Meaney,Bulldogs,,,6-6,Eels vs Bulldogs,2019
52,38:15,Try,Will Hopoate,Bulldogs,,,6-4,Eels vs Bulldogs,2019
53,38:15,Linebreak,Will Hopoate,Bulldogs,,,,Eels vs Bulldogs,2019
