,Time,Event Type,Player,Team,Player On,Player Off,Score,Match,Year
0,80:00,FULL TIME,,,,,,Storm vs Titans,2019
1,79:54,Penalty - Slow Peel,Tyrone Peachey,Titans,,,,Storm vs Titans,2019
2,79:28,Error,Brian Kelly,Titans,,,,Storm vs Titans,2019
3,78:52,Error,Josh Addo-Carr,Storm,,,,Storm vs Titans,2019
4,78:36,Kick Bomb,Tyrone Peachey,Titans,,,,Storm vs Titans,2019
5,77:12,Penalty - Dangerous Tackle,Suliasi Vunivalu,Storm,,,,Storm vs Titans,2019
6,77:09,Kick Bomb,Cameron Munster,Storm,,,,Storm vs Titans,2019
7,76:10,Kick Bomb,Michael Gordon,Titans,,,,Storm vs Titans,2019
8,75:16,Error,Brandon Smith,Storm,,,,Storm vs Titans,2019
9,74:55,Interchange #7,,Storm,                   Tui Kamikamica,                   Jesse Bromwich,,Storm vs Titans,2019
10,72:34,Interchange #6,,Storm,                   Tom Eisenhuth,                   Cameron Smith,,Storm vs Titans,2019
11,72:34,Interchange - Free,,Storm,                   Brandon Smith,                   Felise Kaufusi,,Storm vs Titans,2019
12,72:26,Conversion-Missed,Cameron Smith,Storm,,,,Storm vs Titans,2019
13,70:50,Try,Josh Addo-Carr,Storm,,,24-8,Storm vs Titans,2019
14,70:50,Linebreak,Josh Addo-Carr,Storm,,,,Storm vs Titans,2019
15,69:51,Error,Tyrone Peachey,Titans,,,,Storm vs Titans,2019
16,69:24,Linebreak,Ryan Papenhuyzen,Storm,,,,Storm vs Titans,2019
17,68:04,Penalties - Other,Jai Arrow,Titans,,,,Storm vs Titans,2019
18,67:32,Penalty Shot-Made,Cameron Smith,Storm,,,20-8,Storm vs Titans,2019
19,66:08,Penalty - Offside inside 10m,Kevin Proctor,Titans,,,,Storm vs Titans,2019
20,65:56,Error,Alexander Brimson,Titans,,,,Storm vs Titans,2019
21,64:04,Interchange - Free,,Storm,                   Max King,                   Brandon Smith,,Storm vs Titans,2019
22,64:04,On Report,Mitch Rein,Titans,,,,Storm vs Titans,2019
23,63:34,Penalty - Dangerous Tackle,Mitch Rein,Titans,,,,Storm vs Titans,2019
24,61:34,Error,Suliasi Vunivalu,Storm,,,,Storm vs Titans,2019
25,60:20,Penalty - Late Tackle,Dale Finucane,Storm,,,,Storm vs Titans,2019
26,58:47,Error,Justin Olam,Storm,,,,Storm vs Titans,2019
27,58:07,Conversion-Made,Cameron Smith,Storm,,,18-8,Storm vs Titans,2019
28,57:07,Interchange #5,,Titans,                   Jai Arrow,                   Jai Whitbread,,Storm vs Titans,2019
29,56:37,Try,Dale Finucane,Storm,,,16-8,Storm vs Titans,2019
30,56:37,Linebreak,Dale Finucane,Storm,,,,Storm vs Titans,2019
31,55:45,Penalty - Offside inside 10m,Kevin Proctor,Titans,,,,Storm vs Titans,2019
32,54:45,Interchange #5,,Storm,                   Dale Finucane,                   Tui Kamikamica,,Storm vs Titans,2019
33,53:16,Kick Bomb,Jahrome Hughes,Storm,,,,Storm vs Titans,2019
34,52:34,Interchange #4,,Storm,                   Jesse Bromwich,                   Nelson Asofa-Solomona,,Storm vs Titans,2019
35,52:27,Error,Nathan Peats,Titans,,,,Storm vs Titans,2019
36,52:20,Kick Bomb,Ryley Jacks,Titans,,,,Storm vs Titans,2019
37,51:29,Interchange #4,,Titans,                   Moeaki Fotuaika,                   Jarrod Wallace,,Storm vs Titans,2019
38,50:53,Error,Josh Addo-Carr,Storm,,,,Storm vs Titans,2019
39,50:32,Linebreak,Curtis Scott,Storm,,,,Storm vs Titans,2019
40,48:20,Line Dropout,Tyrone Peachey,Titans,,,,Storm vs Titans,2019
41,47:07,Penalty - Slow Peel,Nathan Peats,Titans,,,,Storm vs Titans,2019
42,46:44,Error,Michael Gordon,Titans,,,,Storm vs Titans,2019
43,45:24,Conversion-Made,Cameron Smith,Storm,,,12-8,Storm vs Titans,2019
44,43:51,Try,Ryan Papenhuyzen,Storm,,,10-8,Storm vs Titans,2019
45,43:51,Linebreak,Ryan Papenhuyzen,Storm,,,,Storm vs Titans,2019
46,43:22,Penalty - Slow Peel,Sam Stone,Titans,,,,Storm vs Titans,2019
47,42:21,Error,Tyrone Peachey,Titans,,,,Storm vs Titans,2019
48,41:48,Kick Bomb,Jahrome Hughes,Storm,,,,Storm vs Titans,2019
49,40:01,Interchange #3,,Titans,                   Alexander Brimson,                   Jesse Arthars,,Storm vs Titans,2019
50,40:01,Interchange - HIA Cleared,,Titans,                   Tyrone Peachey,                   Alexander Brimson,,Storm vs Titans,2019
51,39:38,Penalty - Dangerous Tackle,Josh Addo-Carr,Storm,,,,Storm vs Titans,2019
52,39:34,Kick Bomb,Cameron Munster,Storm,,,,Storm vs Titans,2019
53,38:01,Interchange - HIA,,Titans,                   Alexander Brimson,                   Tyrone Peachey,,Storm vs Titans,2019
54,37:37,Error,Cameron Munster,Storm,,,,Storm vs Titans,2019
55,36:50,Error,Mitch Rein,Titans,,,,Storm vs Titans,2019
56,36:08,Penalty - Ball Strip,Cameron Munster,Storm,,,,Storm vs Titans,2019
57,35:11,Error,Cameron Munster,Storm,,,,Storm vs Titans,2019
58,34:29,Line Dropout,Tyrone Peachey,Titans,,,,Storm vs Titans,2019
59,33:18,Interchange #3,,Storm,                   Nelson Asofa-Solomona,                   Dale Finucane,,Storm vs Titans,2019
60,32:23,Kick Bomb,Jahrome Hughes,Storm,,,,Storm vs Titans,2019
61,31:24,Conversion-Made,Cameron Smith,Storm,,,6-8,Storm vs Titans,2019
62,29:54,Try,Kenneath Bromwich,Storm,,,4-8,Storm vs Titans,2019
63,29:54,Linebreak,Kenneath Bromwich,Storm,,,,Storm vs Titans,2019
64,29:05,Penalty - Dangerous Tackle,Tyrone Peachey,Titans,,,,Storm vs Titans,2019
65,28:36,Line Dropout,Tyrone Peachey,Titans,,,,Storm vs Titans,2019
66,28:04,Interchange #2,,Titans,                   Jarrod Wallace,                   Moeaki Fotuaika,,Storm vs Titans,2019
67,26:41,Penalty - Offside inside 10m,Brian Kelly,Titans,,,,Storm vs Titans,2019
68,26:39,Interchange #2,,Storm,                   Tui Kamikamica,                   Jesse Bromwich,,Storm vs Titans,2019
69,26:29,Kick Bomb,Ryley Jacks,Titans,,,,Storm vs Titans,2019
70,24:49,Error,Josh Addo-Carr,Storm,,,,Storm vs Titans,2019
71,24:36,Error,Michael Gordon,Titans,,,,Storm vs Titans,2019
72,24:34,Interchange #1,,Titans,                   Jai Whitbread,                   Jai Arrow,,Storm vs Titans,2019
73,22:36,Penalty - Verbal Dissent,Cameron Munster,Storm,,,,Storm vs Titans,2019
74,22:30,Error,Cameron Smith,Storm,,,,Storm vs Titans,2019
75,20:12,Error,Cameron Smith,Storm,,,,Storm vs Titans,2019
76,19:32,Interchange #1,,Storm,                   Brandon Smith,                   Nelson Asofa-Solomona,,Storm vs Titans,2019
77,19:13,Penalty - Slow Peel,Kallum Watkins,Titans,,,,Storm vs Titans,2019
78,17:22,Penalty - Flop,Justin Olam,Storm,,,,Storm vs Titans,2019
79,16:36,Conversion-Made,Michael Gordon,Titans,,,0-8,Storm vs Titans,2019
80,15:46,Video Referee,Try,Titans,,,,Storm vs Titans,2019
81,15:40,Try,Jesse Arthars,Titans,,,0-6,Storm vs Titans,2019
82,14:11,On Report,Curtis Scott,Storm,,,,Storm vs Titans,2019
83,14:02,Penalty - Dangerous Tackle,Curtis Scott,Storm,,,,Storm vs Titans,2019
84,13:18,Penalty Shot-Made,Michael Gordon,Titans,,,0-2,Storm vs Titans,2019
85,11:50,Penalty - Hand in the Ruck,Dale Finucane,Storm,,,,Storm vs Titans,2019
86,11:04,Penalty - Verbal Dissent,Cameron Munster,Storm,,,,Storm vs Titans,2019
87,10:56,Error,Cameron Munster,Storm,,,,Storm vs Titans,2019
88,10:08,Error,Justin Olam,Storm,,,,Storm vs Titans,2019
89,07:50,Error,Suliasi Vunivalu,Storm,,,,Storm vs Titans,2019
90,07:33,Penalty - Offside Downtown,Dale Finucane,Storm,,,,Storm vs Titans,2019
91,06:31,Line Dropout,Jai Arrow,Titans,,,,Storm vs Titans,2019
92,04:33,Error,Moeaki Fotuaika,Titans,,,,Storm vs Titans,2019
93,04:08,Line Dropout,Cameron Smith,Storm,,,,Storm vs Titans,2019
94,01:51,Error,Josh Addo-Carr,Storm,,,,Storm vs Titans,2019
95,01:47,Kick Bomb,Ryley Jacks,Titans,,,,Storm vs Titans,2019
96,00:00,KICK OFF,,,,,,Storm vs Titans,2019
