,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"James
                
                  Tedesco",1.0,Fullback,,80:00,,4,1,-,-,-,-,-,,59.0,,22.0,196.0,49,,41.0,1,-,-,-,7,3,12.0,4.4s,4,47,-,,3,1,2,25.0,0.09,,33.3%,1,2,-,-,2,,1,14,1,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,24,2019-08-31T09:35:00Z,Roosters vs Panthers,2019
1,,"Daniel
                
                  Tupou",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,25.0,,18.0,191.0,51,,68.0,1,-,-,-,-,1,15.0,2.99s,1,11,-,,-,-,1,20.0,0.06,,-,-,-,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,2,-,-,-,,80:00,-,Roosters,24,2019-08-31T09:35:00Z,Roosters vs Panthers,2019
2,,"Latrell
                
                  Mitchell",3.0,Centre,,80:00,,10,1,2,4,1,60%,-,,47.0,,8.0,47.0,-,,14.0,1,1,1,-,4,-,2.0,3.46s,-,-,-,,1,-,4,11.0,0.5,,72.7%,8,1,2,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Roosters,24,2019-08-31T09:35:00Z,Roosters vs Panthers,2019
3,,"Joseph
                
                  Manu",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,14.0,,9.0,65.0,4,,25.0,-,-,-,-,1,-,9.0,3.5s,1,6,-,,-,-,4,15.0,0.44,,68.4%,13,5,1,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,24,2019-08-31T09:35:00Z,Roosters vs Panthers,2019
4,,"Brett
                
                  Morris",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,26.0,,11.0,136.0,25,,54.0,-,-,-,-,5,-,11.0,3.41s,2,19,-,,-,-,1,17.0,0.09,,80%,4,1,-,-,2,,-,-,-,-,-,-,-,-,,2,2,-,1,-,-,-,,80:00,-,Roosters,24,2019-08-31T09:35:00Z,Roosters vs Panthers,2019
5,,"Luke
                
                  Keary",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,57.0,,11.0,51.0,-,,9.0,-,-,1,-,3,-,4.0,4.66s,-,-,-,,2,1,36,58.0,3.27,,83.3%,15,2,1,-,1,,15,458,1,3,1,-,2,-,,-,-,-,1,-,-,-,,80:00,-,Roosters,24,2019-08-31T09:35:00Z,Roosters vs Panthers,2019
6,,"Drew
                
                  Hutchison",25.0,Halfback,,80:00,,-,-,-,-,-,-,-,,26.0,,6.0,21.0,-,,5.0,-,1,-,-,-,-,2.0,3.82s,-,-,-,,-,-,28,33.0,4.67,,86.2%,25,3,1,-,-,,3,76,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Roosters,24,2019-08-31T09:35:00Z,Roosters vs Panthers,2019
7,,"Jared
                
                  Waerea-Hargreaves",8.0,Prop,,43:00,,-,-,-,-,-,-,-,,25.0,,16.0,109.0,-,,30.0,-,-,-,-,-,15,15.0,3.9s,-,-,-,,-,-,1,16.0,0.06,,85.2%,23,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,27:05,15:40,Roosters,24,2019-08-31T09:35:00Z,Roosters vs Panthers,2019
8,,"Sam
                
                  Verrills",9.0,Hooker,,80:00,,4,1,-,-,-,-,-,,68.0,,5.0,43.0,-,,7.0,1,1,1,-,3,1,1.0,4.12s,4,37,-,,1,1,118,113.0,23.6,,90.9%,50,5,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,3,-,-,-,,80:00,-,Roosters,24,2019-08-31T09:35:00Z,Roosters vs Panthers,2019
9,,"Isaac
                
                  Liu",10.0,Prop,,47:00,,-,-,-,-,-,-,-,,47.0,,11.0,117.0,48,,43.0,-,-,-,-,1,7,11.0,3.86s,-,-,-,,-,-,2,13.0,0.18,,100%,33,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,28:28,18:19,Roosters,24,2019-08-31T09:35:00Z,Roosters vs Panthers,2019
