,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Darius
                
                  Boyd",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,26.0,,20.0,167.0,73,,17.0,-,-,-,-,1,-,13.0,3.29s,2,11,-,,1,-,25,40.0,1.25,,66.7%,4.0,2,-,-,4,,1,23,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
1,,"Corey
                
                  Oates",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,38.0,,14.0,167.0,47,,30.0,-,-,-,-,8,-,14.0,2.89s,-,-,-,,-,-,-,19.0,-,,50%,4.0,4,-,-,2,,-,-,-,-,-,-,-,-,,4,4,-,-,-,-,-,,80:00,-,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
2,,"James
                
                  Roberts",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,51.0,,8.0,157.0,94,,9.0,-,-,-,-,2,-,8.0,3.84s,-,-,-,,-,-,7,13.0,0.88,,91.3%,21.0,-,2,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
3,,"Jack
                
                  Bird",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,37.0,,12.0,110.0,-,,23.0,-,-,-,-,3,-,10.0,3.11s,3,44,-,,-,-,6,16.0,0.5,,67.9%,19.0,5,4,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
4,,"Jamayne
                
                  Isaako",5.0,Winger,,80:00,,8,-,4,4,-,100%,-,,36.0,,13.0,125.0,30,,30.0,-,-,-,-,4,-,12.0,3.48s,-,-,-,,-,-,2,19.0,0.15,,87.5%,7.0,-,1,-,1,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
5,,"Anthony
                
                  Milford",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,57.0,,15.0,101.0,4,,8.0,-,-,1,-,6,-,4.0,2.92s,-,-,-,,2,1,23,43.0,1.53,,66.7%,10.0,5,-,-,1,,13,393,1,4,5,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
6,,"Kodi
                
                  Nikorima",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,38.0,,11.0,98.0,-,,4.0,1,-,-,-,2,-,5.0,3.35s,2,16,-,,2,1,21,33.0,1.91,,77.8%,28.0,6,2,-,1,,3,57,-,-,1,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
7,,"Tevita
                
                  Pangai Junior",8.0,Prop,,70:00,,-,-,-,-,-,-,-,,50.0,,18.0,172.0,-,,48.0,-,-,-,-,3,18,13.0,2.68s,-,-,-,,3,-,2,20.0,0.11,,85.7%,30.0,5,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,20:52,49:14,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
8,,"Andrew
                
                  McCullough",9.0,Hooker,,80:00,,-,-,-,-,-,-,-,,46.0,,2.0,17.0,-,,4.0,-,-,-,-,-,-,2.0,2.86s,2,17,-,,-,1,93,95.0,46.5,,95.9%,47.0,2,-,-,-,,2,83,-,1,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
9,,"Joe
                
                  Ofahengaue",10.0,Prop,,49:00,,-,-,-,-,-,-,-,,46.0,,12.0,122.0,44,,26.0,-,-,-,-,-,9,10.0,2.97s,-,-,-,,2,-,3,15.0,0.25,,92.3%,36.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,24:18,24:50,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
10,,"Alex
                
                  Glenn",11.0,2nd Row,,80:00,,4,1,-,-,-,-,-,,48.0,,7.0,56.0,-,,7.0,-,1,-,-,2,5,4.0,2.5s,1,2,-,,-,1,9,16.0,1.29,,90%,36.0,3,1,-,1,,-,-,-,-,-,-,-,-,,1,-,-,1,-,-,-,,80:00,-,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
11,,"David
                
                  Fifita",12.0,2nd Row,,63:00,,-,-,-,-,-,-,-,,49.0,,11.0,101.0,-,,31.0,-,-,-,-,3,10,11.0,3.15s,1,6,-,,-,1,3,15.0,0.27,,91.4%,32.0,1,2,-,-,,1,7,-,-,1,-,-,-,,-,-,-,-,-,-,-,,62:45,-,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
12,,"Matt
                
                  Gillett",13.0,Lock,,63:00,,-,-,-,-,-,-,-,,29.0,,7.0,58.0,-,,13.0,-,-,-,-,-,7,7.0,3.05s,-,-,-,,-,-,3,12.0,0.43,,86.5%,32.0,2,3,-,-,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,30:46,31:33,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
13,,"Kotoni
                
                  Staggs",14.0,Interchange,,07:00,,-,-,-,-,-,-,-,,9.0,,2.0,28.0,-,,12.0,-,-,-,-,1,2,1.0,2.12s,-,-,-,,1,-,-,2.0,-,,100%,2.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,07:00,-,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
14,,"Jaydn
                
                  Su'A",15.0,Interchange,,34:00,,-,-,-,-,-,-,-,,25.0,,7.0,70.0,16,,17.0,-,-,-,-,-,6,7.0,3.22s,-,-,-,,-,-,1,8.0,0.14,,88%,22.0,2,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,34:18,-,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
15,,"Thomas
                
                  Flegler",16.0,Interchange,,24:00,,-,-,-,-,-,-,-,,15.0,,8.0,76.0,33,,16.0,-,-,-,-,-,6,7.0,3.42s,-,-,-,,-,-,-,9.0,-,,92.3%,12.0,-,1,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,24:09,-,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
16,,"Shaun
                
                  Fensom",17.0,Interchange,,10:00,,-,-,-,-,-,-,-,,14.0,,2.0,17.0,-,,3.0,-,-,-,-,-,2,2.0,3s,-,-,-,,-,-,-,2.0,-,,100%,13.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,09:43,-,Broncos,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
0,,"Gareth
                
                  Widdop",1.0,Fullback,,74:00,,8,-,3,4,1,80%,-,,25.0,,8.0,40.0,27,,2.0,-,-,-,-,2,-,5.0,4s,-,-,-,,-,1,26,38.0,3.25,,70.6%,12,5,-,-,3,,6,129,-,-,2,-,1,-,,1,1,-,1,-,-,-,,74:08,-,Dragons,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
1,,"Jordan
                
                  Pereira",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,46.0,,17.0,174.0,25,,21.0,1,-,-,-,5,2,16.0,3.16s,-,-,-,,-,-,-,17.0,-,,83.3%,5,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Dragons,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
2,,"Euan
                
                  Aitken",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,48.0,,10.0,142.0,-,,14.0,2,-,-,-,6,-,9.0,3.44s,-,-,-,,-,-,2,11.0,0.2,,77.8%,14,2,2,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Dragons,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
3,,"Timoteo
                
                  Lafai",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,29.0,,9.0,81.0,-,,14.0,-,1,1,-,1,2,6.0,3.15s,1,8,-,,1,-,7,14.0,0.78,,78.9%,15,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
4,,"Mikaele
                
                  Ravalawa",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,35.0,,15.0,149.0,34,,22.0,1,-,-,-,4,-,12.0,4.11s,-,-,-,,-,-,1,17.0,0.07,,50%,2,-,2,-,1,,-,-,-,-,-,-,-,-,,3,2,-,-,-,-,-,,80:00,-,Dragons,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
5,,"Corey
                
                  Norman",6.0,Five-Eighth,,80:00,,1,-,-,-,-,-,1,,55.0,,14.0,109.0,27,,21.0,-,1,1,-,3,1,13.0,3.24s,2,14,-,,-,1,13,34.0,0.93,,81.8%,9,-,2,-,2,,7,239,1,2,1,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
6,,"Ben
                
                  Hunt",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,44.0,,15.0,108.0,-,,5.0,1,-,-,-,4,-,3.0,3.99s,3,34,-,,1,6,32,44.0,2.13,,63.2%,12,6,1,-,1,,9,313,-,3,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
7,,"James
                
                  Graham",8.0,Prop,,53:00,,-,-,-,-,-,-,-,,51.0,,12.0,96.0,-,,28.0,-,-,-,-,2,12,12.0,3.36s,-,-,-,,-,1,1,13.0,0.08,,97.4%,38,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,26:08,26:45,Dragons,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
8,,"Cameron
                
                  McInnes",9.0,Hooker,,80:00,,4,1,-,-,-,-,-,,87.0,,7.0,94.0,-,,10.0,1,1,1,-,3,2,4.0,2.75s,4,78,-,,1,1,118,124.0,16.86,,91.8%,45,1,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
9,,"Paul
                
                  Vaughan",10.0,Prop,,61:00,,-,-,-,-,-,-,-,,54.0,,19.0,189.0,61,,39.0,-,-,-,-,2,15,18.0,3.78s,-,-,-,,1,-,2,21.0,0.11,,88.4%,38,4,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,18:06,32:06,Dragons,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
10,,"Jacob
                
                  Host",11.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,29.0,,15.0,131.0,-,,32.0,-,-,-,-,1,15,11.0,3.9s,-,-,-,,1,-,2,16.0,0.13,,75%,21,5,2,1,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Dragons,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
11,,"Tariq
                
                  Sims",12.0,2nd Row,,71:00,,-,-,-,-,-,-,-,,23.0,,12.0,83.0,-,,18.0,-,-,-,-,-,12,10.0,3.34s,-,-,-,,1,-,-,13.0,-,,85.7%,24,4,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,71:00,-,Dragons,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
12,,"Blake
                
                  Lawrie",13.0,Lock,,42:00,,-,-,-,-,-,-,-,,36.0,,12.0,96.0,-,,28.0,-,-,-,-,-,12,12.0,4.09s,-,-,-,,-,-,-,12.0,-,,96.4%,27,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,22:16,19:37,Dragons,3,2019-03-28T09:05:00Z,Broncos vs Dragons,2019
