,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Clinton
                
                  Gutherson",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,38.0,,17.0,190.0,49,,31.0,-,2,2,-,1,2,11,3.93s,2,31,-,,-,-,11,28.0,0.65,,50%,5.0,5,-,-,2,,4,59,1,1,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Eels,3,2019-03-29T09:05:00Z,Eels vs Roosters,2019
1,,"Maika
                
                  Sivo",2.0,Winger,,80:00,,8,2,-,-,-,-,-,,72.0,,14.0,137.0,50,,30.0,2,-,-,-,10,1,10,3.51s,-,-,-,,-,-,-,15.0,-,,100%,3.0,-,-,-,4,,1,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Eels,3,2019-03-29T09:05:00Z,Eels vs Roosters,2019
2,,"Michael
                
                  Jennings",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,19.0,,3.0,28.0,-,,7.0,-,-,-,-,1,-,2,1.76s,1,15,-,,1,-,5,7.0,1.67,,80%,16.0,2,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,3,2019-03-29T09:05:00Z,Eels vs Roosters,2019
3,,"Brad
                
                  Takairangi",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,29.0,,7.0,84.0,-,,9.0,1,-,1,-,-,-,2,2.7s,-,-,-,,2,-,5,10.0,0.71,,90.9%,10.0,-,1,-,-,,1,1,-,-,1,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Eels,3,2019-03-29T09:05:00Z,Eels vs Roosters,2019
4,,"Blake
                
                  Ferguson",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,32.0,,16.0,182.0,-,,51.0,-,-,-,-,2,1,13,3.5s,-,-,-,,1,-,2,20.0,0.13,,50%,2.0,1,1,-,-,,1,39,-,-,-,-,-,1,,2,1,-,-,-,-,-,,80:00,-,Eels,3,2019-03-29T09:05:00Z,Eels vs Roosters,2019
5,,"Dylan
                
                  Brown",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,30.0,,7.0,64.0,-,,24.0,-,-,-,-,1,-,7,3.17s,-,-,-,,-,1,28,39.0,4,,87%,20.0,2,1,-,-,,4,113,1,-,2,-,-,1,,1,-,-,-,-,-,-,,80:00,-,Eels,3,2019-03-29T09:05:00Z,Eels vs Roosters,2019
6,,"Mitchell
                
                  Moses",7.0,Halfback,,80:00,,6,-,3,3,-,100%,-,,30.0,,7.0,53.0,-,,17.0,-,-,-,-,1,-,3,4.21s,-,-,-,,-,1,22,34.0,3.14,,81.8%,9.0,1,1,-,-,,7,221,1,2,1,-,1,-,,1,1,-,1,-,-,-,,80:00,-,Eels,3,2019-03-29T09:05:00Z,Eels vs Roosters,2019
7,,"Daniel
                
                  Alvaro",8.0,Prop,,45:00,,-,-,-,-,-,-,-,,44.0,,9.0,102.0,68,,15.0,-,-,-,-,2,4,8,3.48s,-,-,-,,-,-,-,9.0,-,,94.4%,34.0,2,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,29:47,14:45,Eels,3,2019-03-29T09:05:00Z,Eels vs Roosters,2019
8,,"Reed
                
                  Mahoney",9.0,Hooker,,66:00,,-,-,-,-,-,-,-,,31.0,,4.0,16.0,-,,3.0,-,-,-,-,1,1,1,3.44s,2,16,-,,-,-,94,94.0,23.5,,89.1%,41.0,5,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,66:20,-,Eels,3,2019-03-29T09:05:00Z,Eels vs Roosters,2019
9,,"Junior
                
                  Paulo",10.0,Prop,,62:00,,-,-,-,-,-,-,-,,43.0,,14.0,86.0,-,,24.0,-,1,-,-,-,12,6,2.65s,-,-,-,,5,-,2,14.0,0.14,,96.7%,29.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,34:40,27:29,Eels,3,2019-03-29T09:05:00Z,Eels vs Roosters,2019
