,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Rabbitohs vs Titans,2019
1,Penalty Shot-Made,Adam Reynolds,,,28-20,Rabbitohs,79:53,Rabbitohs vs Titans,2019
2,Penalties - Other,Anthony Don,,,,Titans,78:56,Rabbitohs vs Titans,2019
3,Line Dropout,Tyrone Peachey,,,,Titans,78:53,Rabbitohs vs Titans,2019
4,Kick Bomb,Alexander Brimson,,,,Titans,77:26,Rabbitohs vs Titans,2019
5,Kick Bomb,Adam Reynolds,,,,Rabbitohs,76:16,Rabbitohs vs Titans,2019
6,Error,Tyrone Peachey,,,,Titans,75:17,Rabbitohs vs Titans,2019
7,Interchange #8,,                   Jai Arrow,                   Phillip Sami,,Titans,74:50,Rabbitohs vs Titans,2019
8,Error,Cameron Murray,,,,Rabbitohs,74:25,Rabbitohs vs Titans,2019
9,Penalty Shot-Missed,Adam Reynolds,,,,Rabbitohs,73:46,Rabbitohs vs Titans,2019
10,Penalty - Escorts,Brian Kelly,,,,Titans,72:09,Rabbitohs vs Titans,2019
11,Kick Bomb,Cody Walker,,,,Rabbitohs,72:06,Rabbitohs vs Titans,2019
12,Interchange #8,,                   Thomas Burgess,                   Mark Nicholls,,Rabbitohs,71:37,Rabbitohs vs Titans,2019
13,Kick Bomb,Adam Reynolds,,,,Rabbitohs,69:51,Rabbitohs vs Titans,2019
14,Interchange #7,,                   Jarrod Wallace,                   Shannon Boyd,,Titans,69:33,Rabbitohs vs Titans,2019
15,Penalty Shot-Made,Adam Reynolds,,,26-20,Rabbitohs,68:28,Rabbitohs vs Titans,2019
16,Penalty - Offside inside 10m,Kevin Proctor,,,,Titans,67:22,Rabbitohs vs Titans,2019
17,Linebreak,Alex Johnston,,,,Rabbitohs,67:09,Rabbitohs vs Titans,2019
18,Conversion-Made,Michael Gordon,,,24-20,Titans,66:03,Rabbitohs vs Titans,2019
19,Video Referee,Try,,,,Titans,64:51,Rabbitohs vs Titans,2019
20,Try,Anthony Don,,,24-18,Titans,64:45,Rabbitohs vs Titans,2019
21,Error,Ethan Lowe,,,,Rabbitohs,64:42,Rabbitohs vs Titans,2019
22,Error,Brian Kelly,,,,Titans,64:42,Rabbitohs vs Titans,2019
23,Kick Bomb,Alexander Brimson,,,,Titans,64:34,Rabbitohs vs Titans,2019
24,Error,Cameron Murray,,,,Rabbitohs,61:40,Rabbitohs vs Titans,2019
25,Interchange #7,,                   John Sutton,                   Tevita Tatola,,Rabbitohs,60:32,Rabbitohs vs Titans,2019
26,Error,Ryan James,,,,Titans,60:14,Rabbitohs vs Titans,2019
27,Conversion-Made,Michael Gordon,,,24-14,Titans,59:49,Rabbitohs vs Titans,2019
28,Video Referee,Try,,,,Titans,58:38,Rabbitohs vs Titans,2019
29,Try,Brian Kelly,,,24-12,Titans,58:32,Rabbitohs vs Titans,2019
30,Kick Bomb,Ryley Jacks,,,,Titans,56:36,Rabbitohs vs Titans,2019
31,Kick Bomb,Adam Reynolds,,,,Rabbitohs,55:34,Rabbitohs vs Titans,2019
32,Interchange #6,,                   Mark Nicholls,                   Thomas Burgess,,Rabbitohs,55:27,Rabbitohs vs Titans,2019
33,Interchange #6,,                   Keegan Hipgrave,                   Ryan James,,Titans,54:26,Rabbitohs vs Titans,2019
34,Kick Bomb,Adam Reynolds,,,,Rabbitohs,54:06,Rabbitohs vs Titans,2019
35,Conversion-Made,Adam Reynolds,,,24-8,Rabbitohs,53:11,Rabbitohs vs Titans,2019
36,Video Referee,Try,,,,Rabbitohs,52:01,Rabbitohs vs Titans,2019
37,Try,Campbell Graham,,,22-8,Rabbitohs,51:54,Rabbitohs vs Titans,2019
38,Interchange #5,,                   Max King,                   Jai Arrow,,Titans,50:16,Rabbitohs vs Titans,2019
39,Interchange #5,,                   Rhys Kennedy,                   Cameron Murray,,Rabbitohs,50:16,Rabbitohs vs Titans,2019
40,Error,Cody Walker,,,,Rabbitohs,50:06,Rabbitohs vs Titans,2019
41,Line Dropout,Ryley Jacks,,,,Titans,49:41,Rabbitohs vs Titans,2019
