,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Te Maire
                
                  Martin",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,33.0,,13.0,108.0,67,,17,-,-,-,-,5,-,11,3.82s,-,-,-,,-,2,6,20.0,0.46,,88.9%,8.0,1,-,-,4,,1,-,-,-,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
1,,"Nene
                
                  Macdonald",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,19.0,,16.0,145.0,-,,55,-,-,-,-,2,-,14,3.62s,3,43,-,,-,1,8,24.0,0.5,,50%,1.0,1,-,-,-,,-,-,-,-,-,-,-,-,,1,1,1,-,-,-,-,,80:00,-,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
2,,"Jordan
                
                  Kahu",3.0,Centre,,80:00,,4,-,2,2,-,100%,-,,28.0,,10.0,92.0,-,,30,-,-,-,-,-,-,10,3.25s,-,-,-,,-,-,-,11.0,-,,89.5%,17.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,80:00,-,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
3,,"Ben
                
                  Hampton",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,20.0,,9.0,76.0,-,,15,-,-,-,-,2,-,9,3.77s,2,17,-,,-,-,3,12.0,0.33,,75%,9.0,1,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
4,,"Javid
                
                  Bowen",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,8.0,,10.0,67.0,14,,20,-,-,-,-,-,-,8,3.14s,-,-,-,,-,-,2,14.0,0.2,,80%,4.0,-,1,-,2,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
5,,"Jake
                
                  Clifford",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,16.0,,6.0,32.0,-,,-,-,-,-,-,1,-,-,-,-,-,-,,-,-,19,28.0,3.17,,73.9%,17.0,5,1,-,-,,6,181,-,-,2,-,-,-,,3,2,-,1,-,-,-,,80:00,-,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
6,,"Michael
                
                  Morgan",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,50.0,,12.0,75.0,-,,12,-,2,2,-,3,-,4,4.14s,-,-,-,,2,4,27,42.0,2.25,,82.6%,19.0,4,-,-,-,,8,192,1,5,-,-,-,-,,3,1,-,-,-,-,-,,80:00,-,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
7,,"Matthew
                
                  Scott",8.0,Prop,,45:00,,-,-,-,-,-,-,-,,31.0,,12.0,127.0,33,,48,-,-,-,-,-,9,10,3.7s,-,-,-,,-,-,1,13.0,0.08,,89.3%,25.0,2,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,20:18,24:22,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
8,,"Jake
                
                  Granville",9.0,Hooker,,71:00,,-,-,-,-,-,-,-,,31.0,,5.0,32.0,-,,3,-,-,-,-,-,-,2,4.54s,5,32,-,,-,1,90,89.0,18,,88.4%,38.0,3,2,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,70:39,-,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
9,,"Jordan
                
                  McLean",10.0,Prop,,53:00,,-,-,-,-,-,-,-,,41.0,,16.0,128.0,-,,47,-,-,-,-,-,14,14,3.38s,-,-,-,,1,-,4,19.0,0.25,,96.6%,28.0,1,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,31:55,21:13,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
10,,"Gavin
                
                  Cooper",11.0,2nd Row,,80:00,,4,1,-,-,-,-,-,,51.0,,6.0,45.0,-,,16,1,-,-,-,-,5,5,2.56s,-,-,-,,-,-,6,12.0,1,,95.1%,39.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
11,,"Coen
                
                  Hess",12.0,2nd Row,,80:00,,-,-,-,-,-,-,-,,39.0,,9.0,81.0,-,,33,-,-,-,-,2,9,6,3.11s,-,-,-,,1,-,-,9.0,-,,86.1%,31.0,2,3,-,-,,-,-,-,-,-,-,-,-,,-,-,-,2,-,-,-,,80:00,-,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
12,,"Josh
                
                  McGuire",13.0,Lock,,56:00,,-,-,-,-,-,-,-,,54.0,,15.0,130.0,-,,42,-,-,-,-,3,15,15,3.47s,-,-,-,,-,-,4,19.0,0.27,,97.1%,34.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,32:39,22:59,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
13,,"John
                
                  Asiata",14.0,Interchange,,48:00,,4,1,-,-,-,-,-,,52.0,,16.0,94.0,6,,16,1,-,-,-,4,8,6,4.05s,-,-,-,,-,1,8,17.0,0.5,,87.1%,27.0,3,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,38:29,09:21,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
14,,"Corey
                
                  Jensen",15.0,Interchange,,17:00,,-,-,-,-,-,-,-,,16.0,,6.0,58.0,-,,19,-,-,-,-,1,6,6,3.38s,-,-,-,,-,-,-,6.0,-,,88.9%,8.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,17:00,-,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
15,,"Mitchell
                
                  Dunn",16.0,Interchange,,14:00,,-,-,-,-,-,-,-,,-1.0,,2.0,10.0,-,,1,-,-,-,-,-,2,1,4.16s,-,-,-,,-,-,7,10.0,3.5,,72.7%,8.0,3,-,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,14:00,-,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
16,,"Francis
                
                  Molo",17.0,Interchange,,17:00,,-,-,-,-,-,-,-,,21.0,,4.0,46.0,19,,13,-,-,-,-,2,3,4,2.94s,-,-,-,,-,-,-,4.0,-,,100%,13.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,16:54,-,Cowboys,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
0,,"Charnze
                
                  Nicoll-Klokstad",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,29.0,,17.0,146.0,48,,37,-,-,-,-,2,-,15,4.22s,1,9,-,,1,3,3,21.0,0.18,,80%,4.0,-,1,-,3,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
1,,"Nick
                
                  Cotric",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,40.0,,11.0,109.0,-,,25,1,-,1,-,4,-,9,3.13s,1,26,-,,-,-,3,14.0,0.27,,100%,5.0,-,-,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Raiders,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
2,,"Jarrod
                
                  Croker",3.0,Centre,,80:00,,14,1,3,5,2,71.43%,-,,37.0,,8.0,78.0,-,,16,-,1,1,-,1,-,4,3.48s,2,11,-,,1,-,3,9.0,0.38,,83.3%,10.0,2,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,2,-,-,-,,80:00,-,Raiders,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
3,,"Joseph
                
                  Leilua",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,51.0,,15.0,111.0,-,,41,-,1,1,-,5,1,10,3.02s,4,20,-,,1,-,3,16.0,0.2,,90.9%,10.0,1,-,-,-,,1,9,-,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Raiders,4,2019-04-06T06:30:00Z,Cowboys vs Raiders,2019
