,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Eels vs Sharks,2019
1,Line Dropout,Clinton Gutherson,,,,Eels,80:00,Eels vs Sharks,2019
2,Kick Bomb,Chad Townsend,,,,Sharks,79:24,Eels vs Sharks,2019
3,Interchange #8,,                   Tepai Moeroa,                   Peni Terepo,,Eels,75:05,Eels vs Sharks,2019
4,Kick Bomb,Chad Townsend,,,,Sharks,74:55,Eels vs Sharks,2019
5,Error,Jaeman Salmon,,,,Eels,73:25,Eels vs Sharks,2019
6,Conversion-Made,Mitchell Moses,,,24-12,Eels,72:32,Eels vs Sharks,2019
7,Interchange #7,,                   Matt Prior,                   Jayson Bukuya,,Sharks,71:39,Eels vs Sharks,2019
8,Try,Michael Jennings,,,22-12,Eels,71:06,Eels vs Sharks,2019
9,Linebreak,Blake Ferguson,,,,Eels,71:00,Eels vs Sharks,2019
10,Interchange #7,,                   Oregon Kaufusi,                   Daniel Alvaro,,Eels,68:36,Eels vs Sharks,2019
11,Kick Bomb,Mitchell Moses,,,,Eels,67:07,Eels vs Sharks,2019
12,Penalty - Dangerous Tackle,Brad Takairangi,,,,Eels,64:22,Eels vs Sharks,2019
13,Interchange #6,,                   Jayden Brailey,                   Blayke Brailey,,Sharks,61:11,Eels vs Sharks,2019
14,Interchange #6,,                   Peni Terepo,                   Tepai Moeroa,,Eels,60:21,Eels vs Sharks,2019
15,Error,Chad Townsend,,,,Sharks,59:17,Eels vs Sharks,2019
16,Linebreak,Chad Townsend,,,,Sharks,59:14,Eels vs Sharks,2019
17,Line Dropout,Clinton Gutherson,,,,Eels,58:54,Eels vs Sharks,2019
18,Error,Reed Mahoney,,,,Eels,56:32,Eels vs Sharks,2019
19,Error,Chad Townsend,,,,Sharks,55:36,Eels vs Sharks,2019
20,Line Dropout,Clinton Gutherson,,,,Eels,55:01,Eels vs Sharks,2019
21,Interchange #5,,                   Kane Evans,                   Junior Paulo,,Eels,54:49,Eels vs Sharks,2019
22,Interchange #5,,                   Jack Williams,                   Scott Sorensen,,Sharks,54:42,Eels vs Sharks,2019
23,Interchange #4,,                   Tim Mannah,                   Oregon Kaufusi,,Eels,54:34,Eels vs Sharks,2019
24,Error,Kane Evans,,,,Eels,53:17,Eels vs Sharks,2019
25,Conversion-Made,Mitchell Moses,,,18-12,Eels,52:46,Eels vs Sharks,2019
26,Video Referee,Try,,,,Eels,52:12,Eels vs Sharks,2019
27,Try,Michael Jennings,,,16-12,Eels,52:06,Eels vs Sharks,2019
28,Error,Josh Dugan,,,,Sharks,52:06,Eels vs Sharks,2019
29,Kick Bomb,Chad Townsend,,,,Sharks,50:59,Eels vs Sharks,2019
30,Error,Shaun Lane,,,,Eels,49:32,Eels vs Sharks,2019
31,Penalty - Escorts,Josh Morris,,,,Sharks,48:42,Eels vs Sharks,2019
32,Kick Bomb,Mitchell Moses,,,,Eels,48:38,Eels vs Sharks,2019
33,Kick Bomb,Chad Townsend,,,,Sharks,47:42,Eels vs Sharks,2019
34,Interchange #4,,                   Aaron Woods,                   Matt Prior,,Sharks,46:21,Eels vs Sharks,2019
35,Conversion-Made,Kyle Flanagan,,,12-12,Sharks,44:52,Eels vs Sharks,2019
36,Try,Sosaia Feki,,,12-10,Sharks,43:24,Eels vs Sharks,2019
37,Linebreak,Sosaia Feki,,,,Sharks,43:23,Eels vs Sharks,2019
38,Penalty - 2nd Effort,Brad Takairangi,,,,Eels,42:40,Eels vs Sharks,2019
39,Penalty - Ball Strip,Clinton Gutherson,,,,Eels,41:42,Eels vs Sharks,2019
40,Linebreak,Briton Nikora,,,,Sharks,41:31,Eels vs Sharks,2019
41,Kick Bomb,Mitchell Moses,,,,Eels,40:55,Eels vs Sharks,2019
42,Error,Peni Terepo,,,,Eels,40:00,Eels vs Sharks,2019
43,Linebreak,Clinton Gutherson,,,,Eels,40:00,Eels vs Sharks,2019
44,Conversion-Made,Mitchell Moses,,,12-6,Eels,39:33,Eels vs Sharks,2019
45,Try,Brad Takairangi,,,10-6,Eels,38:05,Eels vs Sharks,2019
46,Linebreak,Brad Takairangi,,,,Eels,38:03,Eels vs Sharks,2019
47,Error,Sosaia Feki,,,,Sharks,36:50,Eels vs Sharks,2019
48,Error,Andrew Fifita,,,,Sharks,33:50,Eels vs Sharks,2019
49,Error,Josh Dugan,,,,Sharks,32:42,Eels vs Sharks,2019
50,Interchange #3,,                   Junior Paulo,                   Kane Evans,,Eels,31:44,Eels vs Sharks,2019
51,Error,Briton Nikora,,,,Sharks,31:10,Eels vs Sharks,2019
52,Interchange #3,,                   Jayson Bukuya,                   Andrew Fifita,,Sharks,30:58,Eels vs Sharks,2019
53,Error,Maika Sivo,,,,Eels,30:07,Eels vs Sharks,2019
54,Conversion-Made,Kyle Flanagan,,,6-6,Sharks,28:11,Eels vs Sharks,2019
55,Video Referee,Try,,,,Sharks,26:43,Eels vs Sharks,2019
56,Try,Sosaia Feki,,,6-4,Sharks,26:27,Eels vs Sharks,2019
57,Kick Bomb,Chad Townsend,,,,Sharks,24:14,Eels vs Sharks,2019
58,Linebreak,Sosaia Feki,,,,Sharks,23:45,Eels vs Sharks,2019
59,Interchange #2,,                   Andrew Fifita,                   Jack Williams,,Sharks,23:36,Eels vs Sharks,2019
60,Penalty - Offside inside 10m,Kyle Flanagan,,,,Sharks,21:58,Eels vs Sharks,2019
61,Interchange #2,,                   Daniel Alvaro,                   Tim Mannah,,Eels,21:45,Eels vs Sharks,2019
62,Interchange - HIA Cleared,,                   Scott Sorensen,                   Josh Dugan,,Sharks,20:51,Eels vs Sharks,2019
63,Kick Bomb,Jaeman Salmon,,,,Eels,20:42,Eels vs Sharks,2019
64,Kick Bomb,Kyle Flanagan,,,,Sharks,19:56,Eels vs Sharks,2019
65,Interchange #1,,                   Matt Prior,                   Aaron Woods,,Sharks,19:41,Eels vs Sharks,2019
66,Interchange #1,,                   Tepai Moeroa,                   Peni Terepo,,Eels,18:12,Eels vs Sharks,2019
67,Kick Bomb,Chad Townsend,,,,Sharks,17:57,Eels vs Sharks,2019
68,Error,Junior Paulo,,,,Eels,16:49,Eels vs Sharks,2019
69,Penalty - Offside inside 10m,Matt Prior,,,,Sharks,16:14,Eels vs Sharks,2019
