,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,84:00,Sea Eagles vs Rabbitohs,2019
1,Drop Goal-Made,Daly Cherry-Evans,,,13-12,Sea Eagles,83:59,Sea Eagles vs Rabbitohs,2019
2,Eagles Interchange #8,,                   Manase Fainu,                   Apisai Koroisau,,Sea,83:10,Sea Eagles vs Rabbitohs,2019
3,Drop Goal-Missed,Adam Reynolds,,,,Rabbitohs,83:07,Sea Eagles vs Rabbitohs,2019
4,Kick Bomb,Adam Reynolds,,,,Rabbitohs,80:51,Sea Eagles vs Rabbitohs,2019
5,Interchange #9,,                   George Burgess,                   Mark Nicholls,,Rabbitohs,80:01,Sea Eagles vs Rabbitohs,2019
6,Drop Goal-Missed,Daly Cherry-Evans,,,,Sea Eagles,79:59,Sea Eagles vs Rabbitohs,2019
7,Penalty - Offside Downtown,George Burgess,,,,Rabbitohs,79:39,Sea Eagles vs Rabbitohs,2019
8,Drop Goal-Missed,Adam Reynolds,,,,Rabbitohs,79:36,Sea Eagles vs Rabbitohs,2019
9,Error,Martin Taupau,,,,Sea Eagles,78:51,Sea Eagles vs Rabbitohs,2019
10,Line Dropout,Adam Reynolds,,,,Rabbitohs,77:27,Sea Eagles vs Rabbitohs,2019
11,Eagles Interchange #7,,                   Apisai Koroisau,                   Martin Taupau,,Sea,76:27,Sea Eagles vs Rabbitohs,2019
12,Error,George Burgess,,,,Rabbitohs,75:32,Sea Eagles vs Rabbitohs,2019
13,Line Dropout,Daly Cherry-Evans,,,,Sea Eagles,75:11,Sea Eagles vs Rabbitohs,2019
14,Kick Bomb,Adam Reynolds,,,,Rabbitohs,72:56,Sea Eagles vs Rabbitohs,2019
15,Penalty Shot-Made,Adam Reynolds,,,12-12,Rabbitohs,71:26,Sea Eagles vs Rabbitohs,2019
16,On Report,Joel Thompson,,,,Sea Eagles,70:49,Sea Eagles vs Rabbitohs,2019
17,Penalty - Tripping,Joel Thompson,,,,Sea Eagles,70:43,Sea Eagles vs Rabbitohs,2019
18,Eagles Interchange #6,,                   Martin Taupau,                   Addin Fonua-Blake,,Sea,70:05,Sea Eagles vs Rabbitohs,2019
19,Interchange #8,,                   Jacob Gagan,                   George Burgess,,Rabbitohs,69:59,Sea Eagles vs Rabbitohs,2019
20,Penalty - Dangerous Tackle,Apisai Koroisau,,,,Sea Eagles,69:49,Sea Eagles vs Rabbitohs,2019
21,Linebreak,Jorge Taufua,,,,Sea Eagles,68:20,Sea Eagles vs Rabbitohs,2019
22,Error,Manase Fainu,,,,Sea Eagles,66:57,Sea Eagles vs Rabbitohs,2019
23,Error,Jacob Gagan,,,,Rabbitohs,65:29,Sea Eagles vs Rabbitohs,2019
24,Interchange #7,,                   John Sutton,                   Sam Burgess,,Rabbitohs,65:02,Sea Eagles vs Rabbitohs,2019
25,Penalty - Dangerous Tackle,Apisai Koroisau,,,,Sea Eagles,64:41,Sea Eagles vs Rabbitohs,2019
26,Error,Kane Elgey,,,,Sea Eagles,64:25,Sea Eagles vs Rabbitohs,2019
27,Error,Adam Reynolds,,,,Rabbitohs,63:11,Sea Eagles vs Rabbitohs,2019
28,Linebreak,Daly Cherry-Evans,,,,Sea Eagles,62:45,Sea Eagles vs Rabbitohs,2019
29,Eagles Interchange - HIA Cleared,,                   Addin Fonua-Blake,                   Martin Taupau,,Sea,62:25,Sea Eagles vs Rabbitohs,2019
