,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Storm vs Bulldogs,2019
1,Conversion-Missed,Rhyse Martin,,,,Bulldogs,79:20,Storm vs Bulldogs,2019
2,Video Referee,Try,,,,Bulldogs,78:03,Storm vs Bulldogs,2019
3,Try,Reimis Smith,,,18-16,Bulldogs,77:51,Storm vs Bulldogs,2019
4,Kick Bomb,Lachlan Lewis,,,,Bulldogs,77:43,Storm vs Bulldogs,2019
5,Interchange #8,,                   Marion Seve,                   Christian Welch,,Storm,75:36,Storm vs Bulldogs,2019
6,Penalty - Dangerous Tackle,Will Hopoate,,,,Bulldogs,75:20,Storm vs Bulldogs,2019
7,Kick Bomb,Jack Cogger,,,,Bulldogs,75:14,Storm vs Bulldogs,2019
8,Drop Goal-Missed,Brodie Croft,,,,Storm,73:23,Storm vs Bulldogs,2019
9,Kick Bomb,Brodie Croft,,,,Storm,71:38,Storm vs Bulldogs,2019
10,Conversion-Made,Cameron Smith,,,18-12,Storm,70:32,Storm vs Bulldogs,2019
11,Try,Cameron Munster,,,16-12,Storm,69:10,Storm vs Bulldogs,2019
12,Linebreak,Cameron Munster,,,,Storm,69:07,Storm vs Bulldogs,2019
13,Error,Jayden Okunbor,,,,Bulldogs,68:09,Storm vs Bulldogs,2019
14,Kick Bomb,Brodie Croft,,,,Storm,68:05,Storm vs Bulldogs,2019
15,Interchange #7,,                   Nelson Asofa-Solomona,                   Ryan Papenhuyzen,,Storm,67:10,Storm vs Bulldogs,2019
16,Kick Bomb,Lachlan Lewis,,,,Bulldogs,67:10,Storm vs Bulldogs,2019
17,Interchange #7,,                   Chris Smith,                   Adam Elliott,,Bulldogs,64:32,Storm vs Bulldogs,2019
18,Kick Bomb,Cameron Munster,,,,Storm,64:27,Storm vs Bulldogs,2019
19,Error,Reimis Smith,,,,Bulldogs,63:17,Storm vs Bulldogs,2019
20,Interchange #6,,                   Tui Kamikamica,                   Dale Finucane,,Storm,61:42,Storm vs Bulldogs,2019
21,Interchange #6,,                   Adam Elliott,                   Aiden Tolman,,Bulldogs,60:46,Storm vs Bulldogs,2019
22,Penalty - Holding Back,Cameron Smith,,,,Storm,60:15,Storm vs Bulldogs,2019
23,Error,Lachlan Lewis,,,,Bulldogs,59:02,Storm vs Bulldogs,2019
24,Kick Bomb,Lachlan Lewis,,,,Bulldogs,58:58,Storm vs Bulldogs,2019
25,Interchange #5,,                   Jeremy Marshall-King,                   Michael Lichaa,,Bulldogs,58:15,Storm vs Bulldogs,2019
26,Kick Bomb,Cameron Munster,,,,Storm,58:04,Storm vs Bulldogs,2019
27,Interchange #5,,                   Brandon Smith,                   Jesse Bromwich,,Storm,57:22,Storm vs Bulldogs,2019
28,Kick Bomb,Josh Jackson,,,,Bulldogs,57:13,Storm vs Bulldogs,2019
29,Conversion-Made,Cameron Smith,,,12-12,Storm,55:27,Storm vs Bulldogs,2019
30,Interchange #4,,                   Aiden Tolman,                   Chris Smith,,Bulldogs,55:10,Storm vs Bulldogs,2019
31,Try,Tui Kamikamica,,,10-12,Storm,53:49,Storm vs Bulldogs,2019
32,Linebreak,Tui Kamikamica,,,,Storm,53:49,Storm vs Bulldogs,2019
33,Penalty - Leg Pull,Corey Harawira-Naera,,,,Bulldogs,52:29,Storm vs Bulldogs,2019
34,Penalty - Offside Downtown,Adam Elliott,,,,Bulldogs,51:26,Storm vs Bulldogs,2019
35,Interchange #3,,                   Ofahiki Ogden,                   Josh Jackson,,Bulldogs,50:50,Storm vs Bulldogs,2019
36,Error,Nelson Asofa-Solomona,,,,Storm,49:55,Storm vs Bulldogs,2019
37,Interchange #4,,                   Christian Welch,                   Nelson Asofa-Solomona,,Storm,49:15,Storm vs Bulldogs,2019
38,Error,Corey Harawira-Naera,,,,Bulldogs,49:01,Storm vs Bulldogs,2019
39,Linebreak,Jayden Okunbor,,,,Bulldogs,48:32,Storm vs Bulldogs,2019
40,Error,Will Chambers,,,,Storm,48:02,Storm vs Bulldogs,2019
41,Kick Bomb,Jack Cogger,,,,Bulldogs,46:58,Storm vs Bulldogs,2019
42,Error,Will Chambers,,,,Storm,45:19,Storm vs Bulldogs,2019
