,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Nick
                
                  Meaney",1.0,Fullback,,50:00,,-,-,-,-,-,-,-,,22.0,,8.0,69.0,20,,26.0,-,-,-,-,3,-,9.0,3.56s,-,-,-,,-,-,4.0,14.0,0.5,,83.3%,5.0,1,-,-,4,,-,-,-,-,-,-,-,-,,-,1,-,-,-,-,-,,40:01,10:09,Bulldogs,6,2019-04-19T06:05:00Z,Bulldogs vs Rabbitohs,2019
1,,"Jayden
                
                  Okunbor",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,11.0,,13.0,120.0,8,,50.0,-,-,-,-,-,-,13.0,3.25s,-,-,-,,-,-,6.0,20.0,0.46,,100%,3.0,-,-,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Bulldogs,6,2019-04-19T06:05:00Z,Bulldogs vs Rabbitohs,2019
2,,"Kerrod
                
                  Holland",3.0,Centre,,80:00,,2,-,1,1,-,100%,-,,26.0,,12.0,134.0,-,,51.0,-,-,-,-,1,-,8.0,3.53s,3,31,-,,2,-,12.0,22.0,1.0,,90.9%,10.0,-,1,-,-,,-,-,-,-,-,-,-,-,,1,-,-,2,-,-,-,,80:00,-,Bulldogs,6,2019-04-19T06:05:00Z,Bulldogs vs Rabbitohs,2019
3,,"Will
                
                  Hopoate",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,34.0,,20.0,186.0,67,,37.0,-,-,-,-,2,2,12.0,3.73s,-,-,-,,1,-,9.0,24.0,0.45,,92.3%,12.0,1,-,-,-,,-,-,-,-,-,-,-,-,,2,1,1,-,-,-,-,,80:00,-,Bulldogs,6,2019-04-19T06:05:00Z,Bulldogs vs Rabbitohs,2019
4,,"Reimis
                
                  Smith",5.0,Winger,,80:00,,-,-,-,-,-,-,-,,19.0,,10.0,87.0,-,,32.0,-,-,-,-,2,-,10.0,2.8s,1,11,-,,-,-,2.0,12.0,0.2,,100%,4.0,-,-,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Bulldogs,6,2019-04-19T06:05:00Z,Bulldogs vs Rabbitohs,2019
5,,"Jack
                
                  Cogger",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,21.0,,8.0,49.0,-,,7.0,-,-,-,-,-,-,2.0,4.54s,-,-,-,,1,1,41.0,54.0,5.13,,73.3%,11.0,3,1,-,1,,9,235,-,3,2,-,1,-,,1,2,-,1,-,-,-,,80:00,-,Bulldogs,6,2019-04-19T06:05:00Z,Bulldogs vs Rabbitohs,2019
6,,"Lachlan
                
                  Lewis",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,34.0,,6.0,38.0,-,,4.0,-,-,-,-,-,-,1.0,4s,-,-,-,,-,-,27.0,36.0,4.5,,76.5%,26.0,4,4,-,-,,9,226,-,2,1,-,1,-,,-,-,-,-,-,-,-,,80:00,-,Bulldogs,6,2019-04-19T06:05:00Z,Bulldogs vs Rabbitohs,2019
7,,"Aiden
                
                  Tolman",8.0,Prop,,70:00,,-,-,-,-,-,-,-,,59.0,,17.0,155.0,10,,60.0,-,-,-,-,-,15,16.0,3.12s,-,-,-,,-,-,3.0,21.0,0.18,,92.2%,47.0,1,3,-,1,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,67:34,02:09,Bulldogs,6,2019-04-19T06:05:00Z,Bulldogs vs Rabbitohs,2019
8,,"Jeremy
                
                  Marshall-King",9.0,Hooker,,56:00,,-,-,-,-,-,-,-,,25.0,,3.0,30.0,-,,8.0,-,1,1,-,-,1,2.0,2.66s,2,22,-,,-,-,43.0,44.0,14.33,,84.4%,27.0,5,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,56:28,-,Bulldogs,6,2019-04-19T06:05:00Z,Bulldogs vs Rabbitohs,2019
9,,"Ofahiki
                
                  Ogden",10.0,Prop,,45:00,,4,1,-,-,-,-,-,,42.0,,12.0,116.0,23,,36.0,1,-,-,-,4,9,8.0,2.74s,-,-,-,,-,-,1.0,12.0,0.08,,77.8%,28.0,8,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,2,-,-,-,,19:28,15:28,Bulldogs,6,2019-04-19T06:05:00Z,Bulldogs vs Rabbitohs,2019
10,,"Josh
                
                  Jackson",11.0,2nd Row,,78:00,,-,-,-,-,-,-,-,,48.0,,10.0,84.0,-,,28.0,-,-,-,-,-,8,6.0,4.08s,-,-,-,,-,-,4.0,12.0,0.4,,92%,46.0,3,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,77:39,-,Bulldogs,6,2019-04-19T06:05:00Z,Bulldogs vs Rabbitohs,2019
11,,"Corey
                
                  Harawira-Naera",12.0,2nd Row,,77:00,,-,-,-,-,-,-,-,,44.0,,13.0,95.0,7,,25.0,-,-,-,-,-,8,7.0,2.79s,-,-,1,,3,-,4.0,15.0,0.31,,91.9%,34.0,2,1,-,1,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,36:40,39:59,Bulldogs,6,2019-04-19T06:05:00Z,Bulldogs vs Rabbitohs,2019
12,,"Adam
                
                  Elliott",16.0,Lock,,40:00,,-,-,-,-,-,-,-,,22.0,,10.0,96.0,-,,38.0,-,-,-,-,1,9,8.0,3.57s,-,-,-,,-,1,1.0,11.0,0.1,,81.3%,26.0,6,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,22:13,27:52,Bulldogs,6,2019-04-19T06:05:00Z,Bulldogs vs Rabbitohs,2019
