,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Clinton
                
                  Gutherson",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,37.0,,19.0,190.0,41,,45,1,2,2,-,2,-,13,4.07s,4,35,-,,-,1,20,31.0,1.05,,33.3%,1,2,-,-,3,,-,-,-,-,-,-,-,-,,2,2,-,1,-,-,-,,80:00,-,Eels,6,2019-04-22T06:00:00Z,Eels vs Wests Tigers,2019
1,,"Maika
                
                  Sivo",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,47.0,,17.0,196.0,58,,69,1,-,-,-,4,1,14,3.2s,-,-,-,,-,-,1,18.0,0.06,,80%,4,1,-,-,2,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Eels,6,2019-04-22T06:00:00Z,Eels vs Wests Tigers,2019
2,,"Michael
                
                  Jennings",3.0,Centre,,80:00,,8,2,-,-,-,-,-,,69.0,,11.0,157.0,-,,21,2,-,-,-,5,1,7,3.47s,-,-,-,,-,-,9,17.0,0.82,,95%,19,-,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Eels,6,2019-04-22T06:00:00Z,Eels vs Wests Tigers,2019
3,,"Brad
                
                  Takairangi",4.0,Centre,,80:00,,4,1,-,-,-,-,-,,20.0,,13.0,107.0,-,,28,-,1,1,-,-,3,9,3.36s,-,-,-,,2,-,6,21.0,0.46,,50%,3,2,1,-,-,,1,-,-,-,-,-,-,-,,4,3,-,-,-,-,-,,80:00,-,Eels,6,2019-04-22T06:00:00Z,Eels vs Wests Tigers,2019
4,,"Josh
                
                  Hoffman",20.0,Winger,,80:00,,-,-,-,-,-,-,-,,17.0,,13.0,110.0,7,,30,-,-,-,-,1,1,12,3.24s,2,18,-,,-,-,1,14.0,0.08,,71.4%,5,1,1,-,-,,1,52,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Eels,6,2019-04-22T06:00:00Z,Eels vs Wests Tigers,2019
5,,"Jaeman
                
                  Salmon",6.0,Five-Eighth,,80:00,,4,1,-,-,-,-,-,,34.0,,6.0,61.0,11,,-,-,1,1,-,-,-,4,4.83s,-,-,-,,-,1,32,40.0,5.33,,90%,18,2,-,-,-,,2,19,-,-,2,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Eels,6,2019-04-22T06:00:00Z,Eels vs Wests Tigers,2019
6,,"Mitchell
                
                  Moses",7.0,Halfback,,80:00,,19,1,7,9,-,77.78%,1,,97.0,,12.0,133.0,-,,3,1,2,3,-,3,-,2,3.32s,-,-,-,,-,2,40,59.0,3.33,,76.5%,13,2,2,-,-,,13,286,2,2,3,-,3,-,,1,2,-,-,-,-,-,,80:00,-,Eels,6,2019-04-22T06:00:00Z,Eels vs Wests Tigers,2019
7,,"Daniel
                
                  Alvaro",8.0,Prop,,01:00,,-,-,-,-,-,-,-,,1.0,,1.0,11.0,11,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,1.0,-,,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,00:28,-,Eels,6,2019-04-22T06:00:00Z,Eels vs Wests Tigers,2019
8,,"Reed
                
                  Mahoney",9.0,Hooker,,80:00,,4,1,-,-,-,-,-,,68.0,,10.0,95.0,-,,17,1,-,-,-,2,3,6,3.65s,7,37,-,,1,4,110,122.0,11,,93.6%,44,2,1,-,-,,2,76,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Eels,6,2019-04-22T06:00:00Z,Eels vs Wests Tigers,2019
9,,"Junior
                
                  Paulo",10.0,Prop,,67:00,,-,-,-,-,-,-,-,,43.0,,18.0,164.0,67,,33,-,1,-,-,2,8,11,3.52s,-,-,-,,2,1,10,23.0,0.56,,87.5%,21,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,46:46,20:37,Eels,6,2019-04-22T06:00:00Z,Eels vs Wests Tigers,2019
