,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Raiders vs Broncos,2019
1,Conversion-Made,Jamayne Isaako,,,26-22,Broncos,78:44,Raiders vs Broncos,2019
2,Try,Jack Bird,,,26-20,Broncos,78:14,Raiders vs Broncos,2019
3,Linebreak,Jack Bird,,,,Broncos,78:13,Raiders vs Broncos,2019
4,Penalty - Escorts,John Bateman,,,,Raiders,77:18,Raiders vs Broncos,2019
5,Line Dropout,Jack Wighton,,,,Raiders,76:37,Raiders vs Broncos,2019
6,Interchange #8,,                   Ryan Sutton,                   Dunamis Lui,,Raiders,76:16,Raiders vs Broncos,2019
7,Penalty - Ball Strip,Elliott Whitehead,,,,Raiders,74:35,Raiders vs Broncos,2019
8,Interchange #7,,                   Josh Papalii,                   Iosia Soliola,,Raiders,73:31,Raiders vs Broncos,2019
9,Kick Bomb,Anthony Milford,,,,Broncos,73:19,Raiders vs Broncos,2019
10,Interchange #7,,                   Joe Ofahengaue,                   David Fifita,,Broncos,72:53,Raiders vs Broncos,2019
11,Error,Joe Ofahengaue,,,,Broncos,71:43,Raiders vs Broncos,2019
12,Line Dropout,Jack Wighton,,,,Raiders,70:58,Raiders vs Broncos,2019
13,Penalty - Offside inside 10m,Joseph Leilua,,,,Raiders,69:19,Raiders vs Broncos,2019
14,Error,Jack Wighton,,,,Raiders,68:27,Raiders vs Broncos,2019
15,Interchange #6,,                   Patrick Carrigan,                   Thomas Flegler,,Broncos,67:50,Raiders vs Broncos,2019
16,Conversion-Made,Jarrod Croker,,,26-16,Raiders,67:45,Raiders vs Broncos,2019
17,Try,Ryan Sutton,,,24-16,Raiders,66:11,Raiders vs Broncos,2019
18,Interchange #6,,                   Iosia Soliola,                   Hudson Young,,Raiders,64:01,Raiders vs Broncos,2019
19,Kick Bomb,Kodi Nikorima,,,,Broncos,63:46,Raiders vs Broncos,2019
20,Conversion-Made,Jarrod Croker,,,20-16,Raiders,61:48,Raiders vs Broncos,2019
21,Try,John Bateman,,,18-16,Raiders,60:18,Raiders vs Broncos,2019
22,Linebreak,John Bateman,,,,Raiders,60:18,Raiders vs Broncos,2019
23,40/20 Kick,Jack Wighton,,,,Raiders,59:16,Raiders vs Broncos,2019
24,Kick Bomb,Anthony Milford,,,,Broncos,58:25,Raiders vs Broncos,2019
25,Conversion-Made,Jamayne Isaako,,,14-16,Broncos,57:07,Raiders vs Broncos,2019
26,Try,Corey Oates,,,14-14,Broncos,55:36,Raiders vs Broncos,2019
27,Error,Jack Wighton,,,,Raiders,53:57,Raiders vs Broncos,2019
28,Interchange #5,,                   David Fifita,                   Joe Ofahengaue,,Broncos,53:12,Raiders vs Broncos,2019
29,Error,Corey Oates,,,,Broncos,53:05,Raiders vs Broncos,2019
30,Kick Bomb,Sam Williams,,,,Raiders,53:02,Raiders vs Broncos,2019
31,Interchange #5,,                   Siliva Havili,                   Ryan Sutton,,Raiders,52:27,Raiders vs Broncos,2019
32,Kick Bomb,Anthony Milford,,,,Broncos,52:06,Raiders vs Broncos,2019
33,Kick Bomb,Anthony Milford,,,,Broncos,50:28,Raiders vs Broncos,2019
34,Interchange #4,,                   JJ Collins,                   Josh Papalii,,Raiders,49:34,Raiders vs Broncos,2019
35,Conversion-Made,Jamayne Isaako,,,14-10,Broncos,49:30,Raiders vs Broncos,2019
36,Try,David Fifita,,,14-8,Broncos,48:00,Raiders vs Broncos,2019
37,Linebreak,David Fifita,,,,Broncos,47:58,Raiders vs Broncos,2019
38,Linebreak,Jack Bird,,,,Broncos,47:38,Raiders vs Broncos,2019
39,Kick Bomb,Sam Williams,,,,Raiders,46:58,Raiders vs Broncos,2019
40,Error,Jack Bird,,,,Broncos,46:07,Raiders vs Broncos,2019
41,Interchange #4,,                   Kotoni Staggs,                   James Roberts,,Broncos,45:31,Raiders vs Broncos,2019
42,Interchange #3,,                   Jaydn Su'A,                   Patrick Carrigan,,Broncos,45:23,Raiders vs Broncos,2019
43,Penalty - Offside Downtown,Alex Glenn,,,,Broncos,43:35,Raiders vs Broncos,2019
44,Kick Bomb,Kodi Nikorima,,,,Broncos,41:49,Raiders vs Broncos,2019
45,Error,Joseph Leilua,,,,Raiders,39:32,Raiders vs Broncos,2019
46,Penalty - Verbal Dissent,Corey Oates,,,,Broncos,38:34,Raiders vs Broncos,2019
47,Error,Anthony Milford,,,,Broncos,38:26,Raiders vs Broncos,2019
48,Linebreak,Anthony Milford,,,,Broncos,38:24,Raiders vs Broncos,2019
49,Penalty - Slow Peel,Charnze Nicoll-Klokstad,,,,Raiders,37:26,Raiders vs Broncos,2019
50,Kick Bomb,Sam Williams,,,,Raiders,37:09,Raiders vs Broncos,2019
51,Conversion-Made,Jarrod Croker,,,14-4,Raiders,34:01,Raiders vs Broncos,2019
52,Interchange #3,,                   Josh Papalii,                   JJ Collins,,Raiders,33:07,Raiders vs Broncos,2019
53,Video Referee,Try,,,,Raiders,32:50,Raiders vs Broncos,2019
54,Try,Joseph Leilua,,,12-4,Raiders,32:44,Raiders vs Broncos,2019
55,Linebreak,Joseph Leilua,,,,Raiders,32:43,Raiders vs Broncos,2019
56,Error,Darius Boyd,,,,Broncos,31:54,Raiders vs Broncos,2019
57,Conversion-Missed,Jarrod Croker,,,,Raiders,30:58,Raiders vs Broncos,2019
58,Try,Joseph Leilua,,,8-4,Raiders,29:04,Raiders vs Broncos,2019
59,Linebreak,Joseph Leilua,,,,Raiders,29:02,Raiders vs Broncos,2019
60,Interchange #2,,                   Ryan Sutton,                   Siliva Havili,,Raiders,28:05,Raiders vs Broncos,2019
61,Interchange #2,,                   Joe Ofahengaue,                   Jaydn Su'A,,Broncos,26:46,Raiders vs Broncos,2019
62,Error,Sam Williams,,,,Raiders,26:35,Raiders vs Broncos,2019
