,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sharks vs Panthers,2019
1,Error,Dallin Watene-Zelezniak,,,,Panthers,79:37,Sharks vs Panthers,2019
2,Interchange #8,,                   Reagan Campbell-Gillard,                   Liam Martin,,Panthers,79:00,Sharks vs Panthers,2019
3,Conversion-Made,Chad Townsend,,,24-20,Sharks,76:11,Sharks vs Panthers,2019
4,Try,Josh Dugan,,,22-20,Sharks,74:38,Sharks vs Panthers,2019
5,Linebreak,Josh Dugan,,,,Sharks,74:35,Sharks vs Panthers,2019
6,Interchange #7,,                   Scott Sorensen,                   Jack Williams,,Sharks,73:52,Sharks vs Panthers,2019
7,Conversion-Made,Chad Townsend,,,18-20,Sharks,73:27,Sharks vs Panthers,2019
8,Try,Andrew Fifita,,,16-20,Sharks,72:18,Sharks vs Panthers,2019
9,Linebreak,Andrew Fifita,,,,Sharks,72:18,Sharks vs Panthers,2019
10,Error,Josh Mansour,,,,Panthers,70:58,Sharks vs Panthers,2019
11,Penalty - Crowding,James Maloney,,,,Panthers,69:39,Sharks vs Panthers,2019
12,Error,Tim Grant,,,,Panthers,68:48,Sharks vs Panthers,2019
13,Error,Reagan Campbell-Gillard,,,,Panthers,67:54,Sharks vs Panthers,2019
14,Interchange #7,,                   Liam Martin,                   Tim Grant,,Panthers,66:08,Sharks vs Panthers,2019
15,Linebreak,Briton Nikora,,,,Sharks,65:40,Sharks vs Panthers,2019
16,Conversion-Made,Chad Townsend,,,12-20,Sharks,64:54,Sharks vs Panthers,2019
17,Video Referee,Try,,,,Sharks,64:20,Sharks vs Panthers,2019
18,Penalty Try,Chad Townsend,,,10-20,Sharks,63:42,Sharks vs Panthers,2019
19,Linebreak,Briton Nikora,,,,Sharks,63:36,Sharks vs Panthers,2019
20,Conversion-Made,Nathan Cleary,,,6-20,Panthers,61:41,Sharks vs Panthers,2019
21,Try,Waqa Blake,,,6-18,Panthers,60:09,Sharks vs Panthers,2019
22,Linebreak,Waqa Blake,,,,Panthers,60:09,Sharks vs Panthers,2019
23,Error,Josh Dugan,,,,Sharks,59:40,Sharks vs Panthers,2019
24,Error,Scott Sorensen,,,,Sharks,58:40,Sharks vs Panthers,2019
25,Interchange #6,,                   Jack Williams,                   Scott Sorensen,,Sharks,58:07,Sharks vs Panthers,2019
26,Interchange #6,,                   Moses Leota,                   James Tamou,,Panthers,57:34,Sharks vs Panthers,2019
27,Kick Bomb,Chad Townsend,,,,Sharks,57:29,Sharks vs Panthers,2019
28,Interchange #5,,                   Jayden Brailey,                   Blayke Brailey,,Sharks,56:52,Sharks vs Panthers,2019
29,Interchange #4,,                   Braden Hamlin-Uele,                   Matt Prior,,Sharks,56:46,Sharks vs Panthers,2019
30,Penalty - Slow Peel,Nathan Cleary,,,,Panthers,54:40,Sharks vs Panthers,2019
31,Error,Sione Katoa,,,,Panthers,54:36,Sharks vs Panthers,2019
32,Interchange #5,,                   Wayde Egan,                   Sione Katoa,,Panthers,52:33,Sharks vs Panthers,2019
33,Interchange #3,,                   Paul Gallen,                   Andrew Fifita,,Sharks,51:34,Sharks vs Panthers,2019
34,Kick Bomb,James Maloney,,,,Panthers,51:31,Sharks vs Panthers,2019
35,Interchange #4,,                   Dean Whare,                   Viliame Kikau,,Panthers,49:45,Sharks vs Panthers,2019
36,Conversion-Made,Chad Townsend,,,6-14,Sharks,49:40,Sharks vs Panthers,2019
37,Video Referee,Try,,,,Sharks,48:41,Sharks vs Panthers,2019
38,Try,Bronson Xerri,,,4-14,Sharks,48:28,Sharks vs Panthers,2019
39,Linebreak,Bronson Xerri,,,,Sharks,48:19,Sharks vs Panthers,2019
40,Interchange #3,,                   Viliame Kikau,                   Liam Martin,,Panthers,47:27,Sharks vs Panthers,2019
41,Error,Briton Nikora,,,,Sharks,46:42,Sharks vs Panthers,2019
42,Penalty - Marker Not Square,Isaah Yeo,,,,Panthers,45:58,Sharks vs Panthers,2019
43,Penalties - Other,Dallin Watene-Zelezniak,,,,Panthers,44:38,Sharks vs Panthers,2019
44,Linebreak,Dallin Watene-Zelezniak,,,,Panthers,44:28,Sharks vs Panthers,2019
45,Kick Bomb,Chad Townsend,,,,Sharks,44:19,Sharks vs Panthers,2019
46,Kick Bomb,Chad Townsend,,,,Sharks,42:37,Sharks vs Panthers,2019
47,Error,Braden Hamlin-Uele,,,,Sharks,39:48,Sharks vs Panthers,2019
48,Penalty - Obstruction,Viliame Kikau,,,,Panthers,36:39,Sharks vs Panthers,2019
49,40/20 Kick,James Maloney,,,,Panthers,35:32,Sharks vs Panthers,2019
50,Linebreak,Shaun Johnson,,,,Sharks,34:37,Sharks vs Panthers,2019
51,Error,William Kennedy,,,,Sharks,32:05,Sharks vs Panthers,2019
52,Interchange #2,,                   Andrew Fifita,                   Braden Hamlin-Uele,,Sharks,31:32,Sharks vs Panthers,2019
53,Interchange #2,,                   James Tamou,                   Moses Leota,,Panthers,31:01,Sharks vs Panthers,2019
54,Error,Sosaia Feki,,,,Sharks,29:54,Sharks vs Panthers,2019
55,Penalty - Slow Peel,Waqa Blake,,,,Panthers,29:10,Sharks vs Panthers,2019
56,Error,Josh Mansour,,,,Panthers,28:01,Sharks vs Panthers,2019
57,Kick Bomb,Shaun Johnson,,,,Sharks,27:56,Sharks vs Panthers,2019
58,Interchange #1,,                   Matt Prior,                   Jack Williams,,Sharks,27:34,Sharks vs Panthers,2019
59,Kick Bomb,James Maloney,,,,Panthers,26:56,Sharks vs Panthers,2019
60,Interchange #1,,                   Tim Grant,                   Reagan Campbell-Gillard,,Panthers,26:02,Sharks vs Panthers,2019
61,Error,Josh Dugan,,,,Sharks,25:50,Sharks vs Panthers,2019
62,Error,Viliame Kikau,,,,Panthers,24:13,Sharks vs Panthers,2019
63,Error,Shaun Johnson,,,,Sharks,23:45,Sharks vs Panthers,2019
64,Line Dropout,James Maloney,,,,Panthers,22:42,Sharks vs Panthers,2019
65,Penalty - Dangerous Tackle,Josh Mansour,,,,Panthers,21:08,Sharks vs Panthers,2019
66,Penalty Shot-Made,Nathan Cleary,,,0-14,Panthers,19:27,Sharks vs Panthers,2019
67,Penalty - Slow Peel,Jayden Brailey,,,,Sharks,18:23,Sharks vs Panthers,2019
68,Error,Sosaia Feki,,,,Sharks,17:19,Sharks vs Panthers,2019
69,Conversion-Made,Nathan Cleary,,,0-12,Panthers,16:23,Sharks vs Panthers,2019
70,Try,Nathan Cleary,,,0-10,Panthers,15:01,Sharks vs Panthers,2019
71,Line Dropout,Shaun Johnson,,,,Sharks,13:58,Sharks vs Panthers,2019
72,Penalty - Dangerous Tackle,Briton Nikora,,,,Sharks,12:04,Sharks vs Panthers,2019
73,Conversion-Made,Nathan Cleary,,,0-6,Panthers,11:32,Sharks vs Panthers,2019
74,Try,Tim Grant,,,0-4,Panthers,10:01,Sharks vs Panthers,2019
75,Linebreak,Tim Grant,,,,Panthers,10:00,Sharks vs Panthers,2019
76,Error,Josh Dugan,,,,Sharks,09:01,Sharks vs Panthers,2019
77,Kick Bomb,Shaun Johnson,,,,Sharks,08:20,Sharks vs Panthers,2019
78,Error,Isaah Yeo,,,,Panthers,06:46,Sharks vs Panthers,2019
79,Line Dropout,Shaun Johnson,,,,Sharks,06:40,Sharks vs Panthers,2019
80,Error,Josh Dugan,,,,Sharks,04:36,Sharks vs Panthers,2019
81,Error,Dallin Watene-Zelezniak,,,,Panthers,02:06,Sharks vs Panthers,2019
82,Kick Bomb,Shaun Johnson,,,,Sharks,01:46,Sharks vs Panthers,2019
83,Kick Bomb,Nathan Cleary,,,,Panthers,00:47,Sharks vs Panthers,2019
84,KICK OFF,,,,,,00:00,Sharks vs Panthers,2019
