,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Darius
                
                  Boyd",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,25.0,,13.0,122.0,76,,27,-,-,-,-,2,-,11,4.22s,2,29,-,,1,-,24,38.0,1.85,,85.7%,6.0,1,-,-,3,,1,18,-,-,1,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
1,,"Corey
                
                  Oates",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,57.0,,16.0,164.0,52,,47,2,-,-,-,7,-,14,3.23s,-,-,-,,-,-,-,17.0,-,,80%,4.0,1,-,-,3,,1,31,-,-,-,-,-,1,,1,-,-,-,-,-,-,,80:00,-,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
2,,"James
                
                  Roberts",3.0,Centre,,80:00,,4,1,-,-,-,-,-,,49.0,,15.0,143.0,-,,38,1,-,-,-,5,-,13,3.66s,1,8,-,,-,1,3,17.0,0.2,,82.4%,14.0,3,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
3,,"Jack
                
                  Bird",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,54.0,,17.0,118.0,-,,19,-,1,-,-,9,-,11,3.51s,2,12,-,,1,1,4,17.0,0.24,,90%,18.0,2,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
4,,"Jamayne
                
                  Isaako",5.0,Winger,,80:00,,12,-,4,4,2,100%,-,,26.0,,13.0,106.0,20,,35,-,-,-,-,2,-,14,3.86s,1,9,-,,-,-,3,18.0,0.23,,75%,3.0,1,-,-,1,,-,-,-,-,-,-,-,-,,2,1,-,-,-,-,-,,80:00,-,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
5,,"Anthony
                
                  Milford",6.0,Five-Eighth,,80:00,,1,-,-,-,-,-,1,,71.0,,13.0,73.0,-,,-,-,2,2,-,2,-,1,4.96s,-,-,-,,-,2,30,52.0,2.31,,87.5%,7.0,1,-,-,1,,20,596,3,3,6,-,1,1,,1,1,-,-,-,-,-,,80:00,-,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
6,,"Kodi
                
                  Nikorima",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,43.0,,11.0,73.0,-,,1,-,1,1,-,-,-,-,-,-,-,-,,1,3,37,39.0,3.36,,93.3%,28.0,1,1,-,-,,2,27,1,-,2,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
7,,"Payne
                
                  Haas",8.0,Prop,,63:00,,-,-,-,-,-,-,-,,50.0,,14.0,150.0,43,,50,-,-,-,-,2,11,14,3.4s,-,-,-,,-,-,-,16.0,-,,93.9%,31.0,-,2,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,34:12,29:03,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
8,,"Andrew
                
                  McCullough",9.0,Hooker,,67:00,,-,-,-,-,-,-,-,,42.0,,4.0,30.0,-,,6,-,-,-,-,-,1,3,3.49s,3,26,-,,-,2,105,107.0,26.25,,89.7%,35.0,-,4,-,-,,1,40,-,-,-,-,-,-,,-,-,-,-,-,-,-,,66:46,-,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
9,,"Matthew
                
                  Lodge",21.0,Prop,,53:00,,-,-,-,-,-,-,-,,43.0,,20.0,187.0,27,,59,-,-,-,-,3,16,17,3.49s,-,-,-,,-,3,6,24.0,0.3,,100%,14.0,-,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,25:30,28:09,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
10,,"Alex
                
                  Glenn",11.0,2nd Row,,49:00,,4,1,-,-,-,-,-,,39.0,,10.0,80.0,-,,25,1,-,-,-,2,8,7,3.22s,1,3,-,,-,-,2,11.0,0.2,,86.7%,13.0,-,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,49:16,-,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
11,,"Matt
                
                  Gillett",12.0,2nd Row,,58:00,,-,-,-,-,-,-,-,,29.0,,6.0,54.0,-,,18,-,-,-,-,2,6,6,4.5s,-,-,-,,-,-,-,7.0,-,,82.8%,24.0,3,2,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,58:10,-,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
12,,"Tevita
                
                  Pangai Junior",13.0,Lock,,58:00,,-,-,-,-,-,-,-,,46.0,,18.0,180.0,-,,65,-,-,-,-,3,16,15,3.7s,1,7,-,,2,-,5,22.0,0.28,,95%,19.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,18:15,17:39,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
13,,"Joe
                
                  Ofahengaue",10.0,Interchange,,44:00,,4,1,-,-,-,-,-,,75.0,,14.0,148.0,-,,38,1,-,-,-,8,14,13,3.18s,-,-,-,,-,-,3,17.0,0.21,,96.4%,27.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,44:06,-,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
14,,"Kotoni
                
                  Staggs",14.0,Interchange,,13:00,,-,-,-,-,-,-,-,,4.0,,3.0,23.0,-,,12,-,-,-,-,-,1,3,3.79s,2,11,-,,-,-,16,19.0,5.33,,80%,4.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,13:00,-,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
15,,"David
                
                  Fifita",15.0,Interchange,,31:00,,-,-,-,-,-,-,-,,23.0,,6.0,59.0,-,,20,-,-,-,-,1,4,4,3.9s,1,2,-,,1,-,4,9.0,0.67,,93.8%,15.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,31:00,-,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
16,,"Thomas
                
                  Flegler",16.0,Interchange,,44:00,,-,-,-,-,-,-,-,,32.0,,11.0,121.0,46,,47,-,-,-,-,2,8,11,3.47s,-,-,-,,-,-,2,13.0,0.18,,94.1%,16.0,1,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,25:27,17:39,Broncos,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
0,,"William
                
                  Kennedy",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,10.0,,14,97,22,,9,-,-,-,-,1,-,8,4.63s,-,-,-,,-,-,20,30.0,1.43,,66.7%,6.0,3,-,-,2,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
1,,"Sosaia
                
                  Feki",2.0,Winger,,80:00,,-,-,-,-,-,-,-,,20.0,,9,81,-,,26,-,-,-,-,3,1,9,3.1s,1,12,-,,-,-,2,14.0,0.22,,100%,3.0,-,-,-,2,,-,-,-,-,-,-,-,-,,1,2,-,-,-,-,-,,80:00,-,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
2,,"Bronson
                
                  Xerri",3.0,Centre,,80:00,,-,-,-,-,-,-,-,,28.0,,14,90,-,,31,-,-,-,-,4,1,10,4.12s,-,-,-,,1,-,2,16.0,0.14,,76.5%,13.0,3,1,-,-,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
3,,"Josh
                
                  Morris",4.0,Centre,,80:00,,-,-,-,-,-,-,-,,18.0,,5,83,-,,25,1,-,-,-,3,1,5,3.74s,1,28,-,,-,-,6,11.0,1.2,,60%,6.0,4,-,-,1,,-,-,-,-,-,-,-,-,,1,1,-,-,-,-,-,,80:00,-,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
4,,"Ronaldo
                
                  Mulitalo",18.0,Winger,,80:00,,-,-,-,-,-,-,-,,11.0,,13,75,34,,20,-,-,-,-,2,-,13,3.74s,-,-,-,,-,-,3,21.0,0.23,,71.4%,5.0,2,-,-,5,,-,-,-,-,-,-,-,-,,4,3,-,-,-,-,-,,80:00,-,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
5,,"Shaun
                
                  Johnson",6.0,Five-Eighth,,22:00,,-,-,-,-,-,-,-,,7.0,,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,8,11.0,-,,100%,5.0,-,-,-,-,,3,47,-,2,1,-,-,-,,-,-,-,-,-,-,-,,21:36,-,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
6,,"Chad
                
                  Townsend",7.0,Halfback,,80:00,,2,-,1,1,-,100%,-,,34.0,,10,64,-,,6,-,-,1,-,-,-,4,3.79s,-,-,-,,-,6,29,44.0,2.9,,75%,18.0,6,-,-,-,,10,355,-,3,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
7,,"Andrew
                
                  Fifita",8.0,Prop,,73:00,,-,-,-,-,-,-,-,,71.0,,20,151,15,,30,-,-,-,-,2,14,11,3.37s,-,-,-,,3,2,6,20.0,0.3,,96.2%,50.0,2,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,52:00,20:51,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
8,,"Jayden
                
                  Brailey",9.0,Hooker,,80:00,,4,1,-,-,-,-,-,,35.0,,3,22,-,,1,-,-,-,-,-,1,2,3.18s,-,-,-,,-,1,34,40.0,11.33,,91.7%,33.0,3,-,-,-,,2,59,-,1,-,-,-,-,,1,1,-,1,-,-,-,,80:00,-,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
9,,"Matt
                
                  Prior",10.0,Prop,,49:00,,-,-,-,-,-,-,-,,35.0,,10,89,-,,27,-,1,-,-,-,9,7,4.09s,-,-,-,,2,2,2,11.0,0.2,,88.6%,31.0,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,1,-,-,-,,28:28,20:32,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
10,,"Scott
                
                  Sorensen",11.0,2nd Row,,77:00,,-,-,-,-,-,-,-,,46.0,,9,82,-,,32,-,-,-,-,-,9,9,3.66s,-,-,-,,-,1,3,12.0,0.33,,97.4%,38.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,76:41,-,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
11,,"Kurt
                
                  Capewell",12.0,2nd Row,,65:00,,-,-,-,-,-,-,-,,19.0,,8,76,-,,32,-,-,-,-,-,7,6,3.96s,-,-,-,,-,-,2,10.0,0.25,,72.9%,35.0,12,1,-,-,,1,23,-,-,-,-,-,-,,-,-,-,-,-,-,-,,39:43,24:50,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
12,,"Paul
                
                  Gallen",13.0,Lock,,55:00,,-,-,-,-,-,-,-,,42.0,,11,87,-,,27,-,-,-,-,-,10,9,3.69s,-,-,-,,-,1,1,11.0,0.09,,93.9%,46.0,3,-,-,-,,-,-,-,-,-,-,-,-,,1,1,-,2,-,-,-,,40:01,15:09,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
13,,"Blayke
                
                  Brailey",14.0,Interchange,,58:00,,-,-,-,-,-,-,-,,43.0,,5,47,-,,-,1,1,-,-,-,2,-,-,1,2,-,,-,1,67,67.0,13.4,,88.6%,39.0,3,2,-,-,,1,54,-,-,-,-,-,-,,1,1,-,-,-,-,-,,58:00,-,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
14,,"Jayson
                
                  Bukuya",15.0,Interchange,,23:00,,-,-,-,-,-,-,-,,16.0,,7,48,-,,8,-,-,-,-,-,7,6,3.63s,-,-,-,,1,-,1,8.0,0.14,,81.8%,18.0,4,-,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,19:26,03:19,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
15,,"Jack
                
                  Williams",16.0,Interchange,,31:00,,-,-,-,-,-,-,-,,25.0,,6,55,-,,16,-,-,-,-,-,5,4,2.94s,-,-,-,,-,-,3,8.0,0.5,,91.7%,22.0,1,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,31:00,-,Sharks,7,2019-04-27T09:35:00Z,Broncos vs Sharks,2019
