,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Storm vs Warriors,2019
1,Error,Patrick Herbert,,,,Warriors,78:32,Storm vs Warriors,2019
2,Interchange #8,,                   Nelson Asofa-Solomona,                   Christian Welch,,Storm,77:39,Storm vs Warriors,2019
3,Drop Goal-Made,Brodie Croft,,,13-12,Storm,77:05,Storm vs Warriors,2019
4,Penalty Shot-Made,Cameron Munster,,,12-12,Storm,75:59,Storm vs Warriors,2019
5,Penalty - Crowding,Isaiah Papali'i,,,,Warriors,74:47,Storm vs Warriors,2019
6,Interchange #7,,                   Christian Welch,                   Nelson Asofa-Solomona,,Storm,72:25,Storm vs Warriors,2019
7,Interchange #8,,                   Agnatius Paasi,                   Leeson Ah Mau,,Warriors,71:59,Storm vs Warriors,2019
8,Error,Peta Hiku,,,,Warriors,69:03,Storm vs Warriors,2019
9,Kick Bomb,Cameron Munster,,,,Storm,68:56,Storm vs Warriors,2019
10,Interchange #6,,                   Brandon Smith,                   Christian Welch,,Storm,64:30,Storm vs Warriors,2019
11,Penalty - Offside inside 10m,Isaiah Papali'i,,,,Warriors,64:25,Storm vs Warriors,2019
12,Interchange #7,,                   Leeson Ah Mau,                   Hayze Perham,,Warriors,63:04,Storm vs Warriors,2019
13,Penalty - Ball Strip,Brandon Smith,,,,Storm,62:34,Storm vs Warriors,2019
14,Interchange #6,,                   Issac Luke,                   Nathaniel Roache,,Warriors,62:25,Storm vs Warriors,2019
15,Error,Will Chambers,,,,Storm,59:29,Storm vs Warriors,2019
16,Penalty - Offside inside 10m,Blake Ayshford,,,,Warriors,58:04,Storm vs Warriors,2019
17,Interchange #5,,                   Bunty Afoa,                   Lachlan Burr,,Warriors,57:28,Storm vs Warriors,2019
18,Error,Suliasi Vunivalu,,,,Storm,56:29,Storm vs Warriors,2019
19,Interchange #5,,                   Tui Kamikamica,                   Jesse Bromwich,,Storm,56:14,Storm vs Warriors,2019
20,Penalty - Dangerous Tackle,Adam Blair,,,,Warriors,53:44,Storm vs Warriors,2019
21,Line Dropout,Cameron Smith,,,,Storm,52:46,Storm vs Warriors,2019
22,Interchange #4,,                   Nelson Asofa-Solomona,                   Dale Finucane,,Storm,50:46,Storm vs Warriors,2019
23,Kick Bomb,Chanel Harris-Tavita,,,,Warriors,50:32,Storm vs Warriors,2019
24,Interchange #4,,                   Lachlan Burr,                   Agnatius Paasi,,Warriors,49:32,Storm vs Warriors,2019
25,Interchange #3,,                   Nathaniel Roache,                   Leeson Ah Mau,,Warriors,49:32,Storm vs Warriors,2019
26,Conversion-Missed,Chanel Harris-Tavita,,,,Warriors,49:26,Storm vs Warriors,2019
27,Try,Ken Maumalo,,,10-12,Warriors,47:55,Storm vs Warriors,2019
28,Linebreak,Ken Maumalo,,,,Warriors,47:53,Storm vs Warriors,2019
29,Error,Suliasi Vunivalu,,,,Storm,47:23,Storm vs Warriors,2019
30,Kick Bomb,Chanel Harris-Tavita,,,,Warriors,47:13,Storm vs Warriors,2019
31,Conversion-Made,Cameron Munster,,,10-8,Storm,43:42,Storm vs Warriors,2019
32,Try,Jahrome Hughes,,,8-8,Storm,42:07,Storm vs Warriors,2019
