,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Sharks vs Storm,2019
1,Penalty - 2nd Effort,Andrew Fifita,,,,Sharks,79:36,Sharks vs Storm,2019
2,Error,Matt Prior,,,,Sharks,79:28,Sharks vs Storm,2019
3,Kick Bomb,Chad Townsend,,,,Sharks,78:50,Sharks vs Storm,2019
4,Error,Nelson Asofa-Solomona,,,,Storm,77:44,Sharks vs Storm,2019
5,Conversion-Made,Cameron Smith,,,20-18,Storm,76:44,Sharks vs Storm,2019
6,Try,Ryan Papenhuyzen,,,20-16,Storm,75:48,Sharks vs Storm,2019
7,Linebreak,Ryan Papenhuyzen,,,,Storm,75:47,Sharks vs Storm,2019
8,Penalty - Offside inside 10m,Andrew Fifita,,,,Sharks,74:49,Sharks vs Storm,2019
9,Linebreak,Josh Addo-Carr,,,,Storm,74:38,Sharks vs Storm,2019
10,Kick Bomb,Chad Townsend,,,,Sharks,73:41,Sharks vs Storm,2019
11,Linebreak,Cameron Munster,,,,Storm,71:42,Sharks vs Storm,2019
12,Interchange #8,,                   Jesse Bromwich,                   Nelson Asofa-Solomona,,Storm,70:49,Sharks vs Storm,2019
13,Kick Bomb,Chad Townsend,,,,Sharks,68:57,Sharks vs Storm,2019
14,Interchange #7,,                   Jack Williams,                   Paul Gallen,,Sharks,68:27,Sharks vs Storm,2019
15,Interchange #6,,                   Jayson Bukuya,                   Matt Prior,,Sharks,68:23,Sharks vs Storm,2019
16,Kick Bomb,Cameron Smith,,,,Storm,68:04,Sharks vs Storm,2019
17,Interchange #7,,                   Christian Welch,                   Ryan Papenhuyzen,,Storm,67:47,Sharks vs Storm,2019
18,Error,Will Chambers,,,,Storm,65:03,Sharks vs Storm,2019
19,Penalty - Slow Peel,Christian Welch,,,,Storm,64:07,Sharks vs Storm,2019
20,Interchange #6,,                   Patrick Kaufusi,                   Dale Finucane,,Storm,62:09,Sharks vs Storm,2019
21,Interchange #5,,                   Braden Hamlin-Uele,                   Andrew Fifita,,Sharks,61:25,Sharks vs Storm,2019
22,Line Dropout,Cameron Smith,,,,Storm,58:53,Sharks vs Storm,2019
23,Interchange #5,,                   Tui Kamikamica,                   Christian Welch,,Storm,58:49,Sharks vs Storm,2019
