,Event Type,Player,Player Off,Player On,Score,Team,Time,Match,Year
0,FULL TIME,,,,,,80:00,Rabbitohs vs Cowboys,2019
1,Penalty Shot-Made,Adam Reynolds,,,32-16,Rabbitohs,79:58,Rabbitohs vs Cowboys,2019
2,Sin Bin,Michael Morgan,,,,Cowboys,78:14,Rabbitohs vs Cowboys,2019
3,Penalty - Professional Foul,Michael Morgan,,,,Cowboys,78:07,Rabbitohs vs Cowboys,2019
4,Error,Gavin Cooper,,,,Cowboys,76:52,Rabbitohs vs Cowboys,2019
5,Penalty - Hand in the Ruck,Sam Burgess,,,,Rabbitohs,75:54,Rabbitohs vs Cowboys,2019
6,Error,Mark Nicholls,,,,Rabbitohs,75:16,Rabbitohs vs Cowboys,2019
7,Error,Kyle Feldt,,,,Cowboys,74:47,Rabbitohs vs Cowboys,2019
8,Error,Cameron Murray,,,,Rabbitohs,74:02,Rabbitohs vs Cowboys,2019
9,Penalty - Dangerous Tackle,Thomas Burgess,,,,Rabbitohs,72:58,Rabbitohs vs Cowboys,2019
10,Conversion-Made,Jordan Kahu,,,30-16,Cowboys,72:24,Rabbitohs vs Cowboys,2019
11,Try,Tom Opacic,,,30-14,Cowboys,70:58,Rabbitohs vs Cowboys,2019
12,Linebreak,Tom Opacic,,,,Cowboys,70:57,Rabbitohs vs Cowboys,2019
13,Penalty - Obstruction,Mark Nicholls,,,,Rabbitohs,69:40,Rabbitohs vs Cowboys,2019
14,Interchange #7,,                   Liam Knight,                   Mark Nicholls,,Rabbitohs,69:04,Rabbitohs vs Cowboys,2019
15,Error,Mitchell Dunn,,,,Cowboys,66:34,Rabbitohs vs Cowboys,2019
16,Kick Bomb,Adam Reynolds,,,,Rabbitohs,64:15,Rabbitohs vs Cowboys,2019
17,Error,Jordan McLean,,,,Cowboys,63:12,Rabbitohs vs Cowboys,2019
18,Error,Ethan Lowe,,,,Rabbitohs,62:12,Rabbitohs vs Cowboys,2019
19,Penalty - Escorts,Adam Reynolds,,,,Rabbitohs,61:29,Rabbitohs vs Cowboys,2019
20,Kick Bomb,Kyle Feldt,,,,Cowboys,61:26,Rabbitohs vs Cowboys,2019
21,Interchange - HIA,,                   Justin O'Neill,                   Coen Hess,,Cowboys,59:57,Rabbitohs vs Cowboys,2019
22,Interchange #6,,                   Mark Nicholls,                   Thomas Burgess,,Rabbitohs,59:36,Rabbitohs vs Cowboys,2019
23,Kick Bomb,Michael Morgan,,,,Cowboys,59:33,Rabbitohs vs Cowboys,2019
24,Interchange #6,,                   Matthew Scott,                   Jordan McLean,,Cowboys,57:16,Rabbitohs vs Cowboys,2019
25,Line Dropout,Adam Reynolds,,,,Rabbitohs,56:31,Rabbitohs vs Cowboys,2019
26,Error,Tevita Tatola,,,,Rabbitohs,55:05,Rabbitohs vs Cowboys,2019
27,Kick Bomb,Michael Morgan,,,,Cowboys,55:00,Rabbitohs vs Cowboys,2019
28,Interchange #5,,                   John Sutton,                   Tevita Tatola,,Rabbitohs,54:28,Rabbitohs vs Cowboys,2019
29,Interchange #4,,                   George Burgess,                   Cameron Murray,,Rabbitohs,53:09,Rabbitohs vs Cowboys,2019
30,Error,Ben Hampton,,,,Cowboys,52:52,Rabbitohs vs Cowboys,2019
31,Interchange #5,,                   Francis Molo,                   Jason Taumalolo,,Cowboys,52:40,Rabbitohs vs Cowboys,2019
32,Interchange - HIA,,                   Jake Granville,                   Kurt Baptiste,,Cowboys,51:06,Rabbitohs vs Cowboys,2019
33,Conversion-Made,Adam Reynolds,,,30-10,Rabbitohs,50:48,Rabbitohs vs Cowboys,2019
34,Try,Damien Cook,,,28-10,Rabbitohs,49:24,Rabbitohs vs Cowboys,2019
35,Linebreak,Damien Cook,,,,Rabbitohs,49:24,Rabbitohs vs Cowboys,2019
36,Linebreak,George Burgess,,,,Rabbitohs,49:14,Rabbitohs vs Cowboys,2019
37,Penalty - Ball Strip,Gavin Cooper,,,,Cowboys,48:25,Rabbitohs vs Cowboys,2019
38,Error,John Asiata,,,,Cowboys,47:21,Rabbitohs vs Cowboys,2019
39,Error,George Burgess,,,,Rabbitohs,45:23,Rabbitohs vs Cowboys,2019
40,Conversion-Made,Adam Reynolds,,,24-10,Rabbitohs,45:08,Rabbitohs vs Cowboys,2019
41,Video Referee,Try,,,,Rabbitohs,44:05,Rabbitohs vs Cowboys,2019
42,Try,Cody Walker,,,22-10,Rabbitohs,43:57,Rabbitohs vs Cowboys,2019
43,Linebreak,Cody Walker,,,,Rabbitohs,43:56,Rabbitohs vs Cowboys,2019
44,Interchange - HIA,,                   Kyle Turner,                   Ethan Lowe,,Rabbitohs,43:13,Rabbitohs vs Cowboys,2019
45,Error,Kyle Feldt,,,,Cowboys,42:39,Rabbitohs vs Cowboys,2019
46,Kick Bomb,Adam Reynolds,,,,Rabbitohs,42:26,Rabbitohs vs Cowboys,2019
47,Kick Bomb,Michael Morgan,,,,Cowboys,41:39,Rabbitohs vs Cowboys,2019
48,Kick Bomb,Cody Walker,,,,Rabbitohs,40:48,Rabbitohs vs Cowboys,2019
49,Interchange - HIA Cleared,,                   Jason Taumalolo,                   Francis Molo,,Cowboys,40:01,Rabbitohs vs Cowboys,2019
50,Interchange - HIA Cleared,,                   Ethan Lowe,                   Liam Knight,,Rabbitohs,40:01,Rabbitohs vs Cowboys,2019
51,Interchange - HIA,,                   Francis Molo,                   Jason Taumalolo,,Cowboys,40:00,Rabbitohs vs Cowboys,2019
52,Conversion-Missed,Jordan Kahu,,,,Cowboys,40:00,Rabbitohs vs Cowboys,2019
53,Try,Justin O'Neill,,,18-10,Cowboys,38:40,Rabbitohs vs Cowboys,2019
54,Linebreak,Justin O'Neill,,,,Cowboys,38:39,Rabbitohs vs Cowboys,2019
55,Penalty - Slow Peel,Sam Burgess,,,,Rabbitohs,37:32,Rabbitohs vs Cowboys,2019
56,Penalty - Slow Peel,Mark Nicholls,,,,Rabbitohs,36:56,Rabbitohs vs Cowboys,2019
57,Interchange - HIA,,                   Liam Knight,                   Mark Nicholls,,Rabbitohs,36:49,Rabbitohs vs Cowboys,2019
58,Conversion-Made,Jordan Kahu,,,18-6,Cowboys,36:30,Rabbitohs vs Cowboys,2019
59,Interchange #4,,                   Jason Taumalolo,                   Matthew Scott,,Cowboys,36:18,Rabbitohs vs Cowboys,2019
60,Try,Justin O'Neill,,,18-4,Cowboys,35:07,Rabbitohs vs Cowboys,2019
61,Linebreak,Justin O'Neill,,,,Cowboys,35:06,Rabbitohs vs Cowboys,2019
62,Line Dropout,Adam Reynolds,,,,Rabbitohs,34:15,Rabbitohs vs Cowboys,2019
63,Penalty - Working on the Ground,Ethan Lowe,,,,Rabbitohs,33:28,Rabbitohs vs Cowboys,2019
64,Error,Adam Reynolds,,,,Rabbitohs,32:41,Rabbitohs vs Cowboys,2019
65,Kick Bomb,Tom Opacic,,,,Cowboys,31:47,Rabbitohs vs Cowboys,2019
66,Interchange #3,,                   Jordan McLean,                   Scott Bolton,,Cowboys,31:04,Rabbitohs vs Cowboys,2019
67,Interchange #2,,                   Coen Hess,                   Francis Molo,,Cowboys,31:01,Rabbitohs vs Cowboys,2019
68,Error,Kyle Feldt,,,,Cowboys,29:27,Rabbitohs vs Cowboys,2019
69,Error,Kyle Turner,,,,Rabbitohs,28:30,Rabbitohs vs Cowboys,2019
70,Error,Campbell Graham,,,,Rabbitohs,26:57,Rabbitohs vs Cowboys,2019
71,Kick Bomb,Cody Walker,,,,Rabbitohs,26:54,Rabbitohs vs Cowboys,2019
72,Interchange #3,,                   Cameron Murray,                   Ethan Lowe,,Rabbitohs,26:19,Rabbitohs vs Cowboys,2019
73,Error,Tom Opacic,,,,Cowboys,25:54,Rabbitohs vs Cowboys,2019
74,Interchange #1,,                   Kurt Baptiste,                   Jake Granville,,Cowboys,24:44,Rabbitohs vs Cowboys,2019
75,Penalties - Other,Cameron Murray,,,,Rabbitohs,24:26,Rabbitohs vs Cowboys,2019
76,Interchange #2,,                   Thomas Burgess,                   Liam Knight,,Rabbitohs,24:17,Rabbitohs vs Cowboys,2019
77,Interchange #1,,                   Tevita Tatola,                   George Burgess,,Rabbitohs,24:13,Rabbitohs vs Cowboys,2019
78,Conversion-Made,Adam Reynolds,,,18-0,Rabbitohs,23:35,Rabbitohs vs Cowboys,2019
79,Try,Kyle Turner,,,16-0,Rabbitohs,22:05,Rabbitohs vs Cowboys,2019
80,Linebreak,Damien Cook,,,,Rabbitohs,22:01,Rabbitohs vs Cowboys,2019
81,Interchange - HIA Cleared,,                   Matthew Scott,                   Jordan Kahu,,Cowboys,20:59,Rabbitohs vs Cowboys,2019
82,Conversion-Made,Adam Reynolds,,,12-0,Rabbitohs,20:58,Rabbitohs vs Cowboys,2019
83,Try,Cameron Murray,,,10-0,Rabbitohs,19:29,Rabbitohs vs Cowboys,2019
84,Linebreak,Cameron Murray,,,,Rabbitohs,19:28,Rabbitohs vs Cowboys,2019
85,Penalty - Slow Peel,Matthew Scott,,,,Cowboys,18:49,Rabbitohs vs Cowboys,2019
86,Kick Bomb,Adam Reynolds,,,,Rabbitohs,17:44,Rabbitohs vs Cowboys,2019
87,Penalty Shot-Made,Adam Reynolds,,,6-0,Rabbitohs,16:12,Rabbitohs vs Cowboys,2019
88,Penalty - Escorts,Michael Morgan,,,,Cowboys,14:48,Rabbitohs vs Cowboys,2019
89,Kick Bomb,Cody Walker,,,,Rabbitohs,13:02,Rabbitohs vs Cowboys,2019
90,Conversion-Missed,Adam Reynolds,,,,Rabbitohs,12:06,Rabbitohs vs Cowboys,2019
91,Try,Sam Burgess,,,4-0,Rabbitohs,10:35,Rabbitohs vs Cowboys,2019
92,Linebreak,Sam Burgess,,,,Rabbitohs,10:35,Rabbitohs vs Cowboys,2019
93,Line Dropout,Michael Morgan,,,,Cowboys,09:49,Rabbitohs vs Cowboys,2019
94,Line Dropout,Michael Morgan,,,,Cowboys,08:26,Rabbitohs vs Cowboys,2019
95,Linebreak,Kyle Turner,,,,Rabbitohs,07:17,Rabbitohs vs Cowboys,2019
96,Error,Jason Taumalolo,,,,Cowboys,06:19,Rabbitohs vs Cowboys,2019
97,Interchange - HIA,,                   Jordan Kahu,                   Mitchell Dunn,,Cowboys,06:00,Rabbitohs vs Cowboys,2019
98,Penalty - Dangerous Tackle,Tevita Tatola,,,,Rabbitohs,03:14,Rabbitohs vs Cowboys,2019
99,Kick Bomb,Adam Reynolds,,,,Rabbitohs,03:07,Rabbitohs vs Cowboys,2019
100,Kick Bomb,Michael Morgan,,,,Cowboys,02:21,Rabbitohs vs Cowboys,2019
101,Kick Bomb,Adam Reynolds,,,,Rabbitohs,01:38,Rabbitohs vs Cowboys,2019
102,KICK OFF,,,,,,00:00,Rabbitohs vs Cowboys,2019
