,,"
              Player
            ","
              Number
            ","
              Position
            ",,Mins Played,,Points,Tries,Conversions,Conversion Attempts,Penalty Goals,Goal Conversion Rate,Field Goals,,Total Points,,All Runs,All Run Metres,Kick Return Metres,,Post Contact Metres,Line Breaks,Line Break Assists,Try Assists,Line Engaged Runs,Tackle Breaks,Hit Ups,Play The Ball,Average Play The Ball Speed,Dummy Half Runs,Dummy Half Run Metres,One on One Steal,,Offloads,Dummy Passes,Passes,Receipts,Passes To Run Ratio,,Tackle Efficiency,Tackles Made,Missed Tackles,Ineffective Tackles,Intercepts,Kicks Defused,,Kicks,Kicking Metres,Forced Drop Outs,Bomb Kicks,Grubbers,40/20,Cross Field Kicks,Kicked Dead,,Errors,Handling Errors,One on One Lost,Penalties,On Report,Sin Bins,Send Offs,,Stint One,Stint Two,Team,Round,date,Match,Year
0,,"Roger
                
                  Tuivasa-Sheck",1.0,Fullback,,80:00,,-,-,-,-,-,-,-,,40.0,,24.0,191.0,18,,62.0,1,-,-,-,4,-,18,3.8s,-,-,-,,2,1,11,33.0,0.46,,66.7%,4.0,2,-,-,3,,1,10,-,-,1,-,-,-,,-,-,-,1,-,-,-,,80:00,-,Warriors,9,2019-05-11T07:30:00Z,Warriors vs Dragons,2019
1,,"David
                
                  Fusitu'a",2.0,Winger,,80:00,,4,1,-,-,-,-,-,,33.0,,14.0,115.0,15,,31.0,1,-,-,-,2,-,9,3.53s,-,-,-,,1,-,4,17.0,0.29,,66.7%,2.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,9,2019-05-11T07:30:00Z,Warriors vs Dragons,2019
2,,"Peta
                
                  Hiku",3.0,Centre,,80:00,,8,2,-,-,-,-,-,,55.0,,15.0,120.0,-,,36.0,2,1,1,-,2,1,12,4.11s,-,-,-,,-,-,9,25.0,0.6,,66.7%,16.0,3,5,-,-,,-,-,-,-,-,-,-,-,,2,2,-,-,-,-,-,,80:00,-,Warriors,9,2019-05-11T07:30:00Z,Warriors vs Dragons,2019
3,,"Patrick
                
                  Herbert",4.0,Centre,,80:00,,6,-,3,5,-,60%,-,,25.0,,5.0,20.0,-,,3.0,-,1,1,-,1,-,3,3.11s,1,2,-,,-,-,9,9.0,1.8,,81.3%,13.0,2,1,-,-,,-,-,-,-,-,-,-,-,,1,-,-,-,-,-,-,,80:00,-,Warriors,9,2019-05-11T07:30:00Z,Warriors vs Dragons,2019
4,,"Ken
                
                  Maumalo",5.0,Winger,,80:00,,4,1,-,-,-,-,-,,39.0,,15.0,156.0,41,,46.0,1,-,-,-,2,-,14,3.04s,-,-,-,,-,-,2,19.0,0.13,,50%,1.0,-,1,-,2,,1,23,1,-,1,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,9,2019-05-11T07:30:00Z,Warriors vs Dragons,2019
5,,"Kodi
                
                  Nikorima",6.0,Five-Eighth,,80:00,,-,-,-,-,-,-,-,,25.0,,11.0,57.0,-,,2.0,-,1,1,-,1,-,1,2.28s,1,6,-,,-,-,43,44.0,3.91,,69.6%,16.0,3,4,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,80:00,-,Warriors,9,2019-05-11T07:30:00Z,Warriors vs Dragons,2019
6,,"Blake
                
                  Green",7.0,Halfback,,80:00,,-,-,-,-,-,-,-,,37.0,,16.0,75.0,-,,2.0,-,-,-,-,-,-,-,-,-,-,-,,1,3,44,61.0,2.75,,68.8%,22.0,7,3,-,1,,15,426,-,5,3,-,2,1,,1,1,-,-,-,-,-,,80:00,-,Warriors,9,2019-05-11T07:30:00Z,Warriors vs Dragons,2019
7,,"Agnatius
                
                  Paasi",8.0,Prop,,39:00,,4,1,-,-,-,-,-,,35.0,,10.0,64.0,-,,16.0,1,-,-,-,2,9,8,2.94s,-,-,-,,-,-,1,10.0,0.1,,73.5%,25.0,7,2,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,22:41,16:01,Warriors,9,2019-05-11T07:30:00Z,Warriors vs Dragons,2019
8,,"Nathaniel
                
                  Roache",9.0,Hooker,,60:00,,-,-,-,-,-,-,-,,46.0,,4.0,64.0,-,,8.0,1,1,1,-,1,2,3,4.4s,2,25,-,,-,-,64,68.0,16,,84.2%,32.0,3,3,-,-,,1,17,1,-,1,-,-,-,,-,-,-,1,-,-,-,,52:38,07:27,Warriors,9,2019-05-11T07:30:00Z,Warriors vs Dragons,2019
9,,"Leeson
                
                  Ah Mau",10.0,Prop,,45:00,,-,-,-,-,-,-,-,,36.0,,12.0,117.0,12,,46.0,-,-,-,-,-,11,12,3.17s,-,-,-,,-,-,-,12.0,-,,96.2%,25.0,-,1,-,-,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,,30:19,15:18,Warriors,9,2019-05-11T07:30:00Z,Warriors vs Dragons,2019
